nu,[0]Isovaleraldehyde-HITRAN(x-sec)-X=0.01-T=278.1K-P=1.0atm-L=15cm
738.161352,0.9941467971302796
738.402406,0.994330731301135
738.64346,0.9947198890500412
738.884514,0.9953184925771806
739.125568,0.9953059516431823
739.366622,0.9945175835997702
739.607676,0.9951184536647568
739.84873,0.99474376261386
740.089784,0.9951134780849274
740.330838,0.9948595575269614
740.571892,0.9951925927512015
740.812946,0.9961672637551374
741.054,0.9952423536248506
741.295054,0.9952921169866055
741.536108,0.996222452950276
741.777162,0.9954285808902311
742.018216,0.9952693250580951
742.25927,0.9960689468982215
742.500324,0.9951685093818669
742.741378,0.995800841226359
742.982432,0.995873935690639
743.223486,0.9960653610564671
743.46454,0.9956028956955609
743.705594,0.9960970364385846
743.946648,0.99642719770116
744.187702,0.9963160026306968
744.428756,0.9960468344130499
744.66981,0.9967260710315663
744.910864,0.996947069698311
745.151918,0.9963814627424108
745.392972,0.9968325270606032
745.634026,0.9958733381664568
745.87508,0.9963922237203175
