nu,[0]Methylacetoacetate-HITRAN(x-sec)-X=0.01-T=298.1K-P=1.0atm-L=15cm
562.458849,0.9181807613103068
562.578452,0.9256908086860657
562.698054,0.9201026859541556
562.817656,0.9193623013367533
562.937259,0.9245898917991943
563.056861,0.923050807452702
563.176464,0.9165661844148447
563.296066,0.9231495791732923
563.415668,0.9289215401297497
563.535271,0.9284497678276742
563.654873,0.9272389311234489
563.774475,0.9264816862933553
563.894078,0.926679974590313
564.01368,0.9280701095180494
564.133283,0.9288973884836791
564.252885,0.9321943089769191
564.372487,0.930036915069024
564.49209,0.9327789780832584
564.611692,0.9332277526933577
564.731295,0.9299188078807754
564.850897,0.9296398740805732
564.970499,0.9401263479856315
565.090102,0.9317208745304897
565.209704,0.9363892720687962
565.329307,0.9321327861828013
565.448909,0.9336870137166303
565.568511,0.9329832790495979
565.688114,0.9313817898493165
565.807716,0.9315503852106991
565.927319,0.9364463935565801
566.046921,0.9375801794949449
566.166523,0.9372792645567585
566.286126,0.9374779888248727
566.405728,0.9391697863358709
566.525331,0.9417984377177285
566.644933,0.9406144001988302
566.764535,0.941436856545673
566.884138,0.9396582816225326
567.00374,0.937929962132303
567.123342,0.9424522726879967
567.242945,0.9396310319274881
567.362547,0.9411525855420784
567.48215,0.9411187046588584
567.601752,0.9415686669321012
567.721354,0.9459694540871922
567.840957,0.9444646688431584
567.960559,0.9408232397760097
568.080162,0.9444344464573161
568.199764,0.9459760758965472
568.319366,0.9460621636363865
568.438969,0.9447064827492416
568.558571,0.9485981649717438
568.678174,0.9467445204164279
568.797776,0.948602907974426
568.917378,0.9481116589125869
569.036981,0.9444127247148486
569.156583,0.9504174213468877
569.276186,0.9463356151135126
569.395788,0.9487518503226464
569.51539,0.9441775952212315
569.634993,0.9506541047506639
569.754595,0.9489871699599554
569.874197,0.9514977090247632
569.9938,0.951119088287096
570.113402,0.9524230144235079
570.233005,0.9489947618876827
570.352607,0.9545788791457679
570.472209,0.9500278300758035
570.591812,0.953146177897277
570.711414,0.9532491232434385
570.831017,0.9516147504408727
570.950619,0.9535294196872303
571.070221,0.9503879588634968
571.189824,0.9569893654245163
571.309426,0.9537869073898214
571.429029,0.9510173239891364
571.548631,0.9477656613054883
571.668233,0.9514311065162464
571.787836,0.9499651303081336
571.907438,0.9518545875761937
572.027041,0.9524544449015839
572.146643,0.955563557484628
572.266245,0.9538527209569733
572.385848,0.9538469978578169
572.50545,0.9556103812461175
572.625053,0.9514767763054254
572.744655,0.9533816340808591
572.864257,0.9563761318036518
572.98386,0.9589282734131129
573.103462,0.9511628407714566
573.223064,0.9555989139903462
573.342667,0.9515643161956187
573.462269,0.9557193270393718
573.581872,0.9524239668469985
573.701474,0.950272018605015
573.821076,0.954712529544158
573.940679,0.9523077782106941
574.060281,0.9551365160253091
574.179884,0.9510410997194315
574.299486,0.952245880216817
574.419088,0.9496070609543217
574.538691,0.9516851725379908
574.658293,0.9512998180826575
574.777896,0.9530413375840312
574.897498,0.9499689301762546
575.0171,0.9570601852578592
575.136703,0.9557642469033513
575.256305,0.9537563866971186
575.375908,0.953680089238122
575.49551,0.9557766719193234
575.615112,0.9580311364747837
575.734715,0.9526678185942032
575.854317,0.961197861447553
575.973919,0.9586674803922033
576.093522,0.959963515432756
576.213124,0.9577370660580045
576.332727,0.9582304276767368
576.452329,0.96077790974823
576.571931,0.9580378427162107
576.691534,0.9602966805734201
576.811136,0.9593579695243442
576.930739,0.9614853025784335
577.050341,0.9577964475969087
577.169943,0.9624318697508429
577.289546,0.9614891485273357
577.409148,0.9620575565621451
