nu,[0]Furfural-HITRAN(x-sec)-X=0.01-T=298.1K-P=1.0atm-L=15cm
646.748935,0.9988988067587573
646.867937,0.9969389944597512
646.98694,0.9971882603653062
647.105942,0.9978918253283604
647.224944,0.999779544303929
647.343947,0.9971100838702521
647.462949,0.9989233799716528
647.581952,0.9958045256962877
647.700954,0.9991924862148838
647.819956,0.9972931700884512
647.938959,0.998929573315808
648.057961,0.9979870287496277
648.176964,0.9979215629478435
648.295966,0.9964045790604946
648.414968,0.9977507333996934
648.533971,0.9984257404485972
648.652973,0.9977387604627304
648.771975,0.9984890426472002
648.890978,0.997559383160102
649.00998,0.9995101100352931
649.128983,0.9995044528240802
649.247985,0.9980519998199847
649.366987,0.9969396923172916
649.48599,0.9987990217523062
649.604992,0.997053649036626
649.723994,0.9975186835675464
649.842997,0.9977906442272406
649.961999,0.9989314712838003
650.081002,0.9999806811866107
650.200004,0.9981031013905646
650.319006,0.9987727536834606
650.438009,0.9979219621165485
650.557011,0.9999237739053564
650.676014,0.998023954952822
650.795016,0.9998158369600949
650.914018,0.9956774691451893
651.033021,0.9988031168366902
651.152023,0.9974690083740273
651.271025,0.9996003898654072
651.390028,0.9954798467822324
651.50903,0.9993821909226679
651.628033,0.9980758535478313
651.747035,0.9969132737654925
651.866037,0.9984231445450468
651.98504,0.9996821705184942
652.104042,0.9979684663635237
652.223044,0.9974863644857707
652.342047,0.99815680078192
652.461049,0.9981379357966599
652.580052,0.9995024638121982
652.699054,0.9970279253843173
652.818056,0.9984840502144681
652.937059,0.9979393261097557
653.056061,0.9989575437354449
653.175064,0.998712229888477
653.294066,0.9988499618013758
653.413068,0.9993827905521624
653.532071,0.9998833068091801
653.651073,0.9971792857113488
653.770075,0.9980841376117946
653.889078,0.9986886605579708
654.00808,0.9969771779544483
654.127083,0.9995995801894193
654.246085,1.0
654.365087,1.0
654.48409,0.9973170056800506
654.603092,0.9974875614701263
654.722094,0.9995797283388863
654.841097,0.9998917958544908
654.960099,0.9972562709237968
655.079102,0.9997991201790537
655.198104,0.9994633140674434
655.317106,0.9990235170700487
655.436109,0.9987544763093067
655.555111,0.9995789686585814
655.674113,0.9969372996649012
655.793116,0.9996178230482234
655.912118,0.9991209465940197
656.031121,1.0
656.150123,0.9998197462476601
656.269125,0.998935467017677
656.388128,0.9975872154551508
656.50713,0.9999577788913361
656.626133,0.9973271783653891
656.745135,0.9975798333370703
656.864137,0.9978399363025697
656.98314,0.9991911872654959
657.102142,0.9983563522709031
657.221144,0.9966684619295798
657.340147,0.9994511007003694
657.459149,0.9987022428161135
657.578152,0.9986100668530877
657.697154,0.9981728712357795
657.816156,0.9989018034596726
657.935159,1.0
658.054161,0.9973367527522584
658.173163,0.9994318914348155
658.292166,0.9988787290945226
658.411168,0.9987958256005504
658.530171,0.9979592850958671
658.649173,0.9989547466582384
658.768175,0.999967878515906
658.887178,0.9987661618050396
659.00618,0.9977712872765057
659.125183,0.9979763503455497
659.244185,0.9985331768382436
659.363187,0.9997580392772184
659.48219,0.9974905539372994
659.601192,0.9998892061380933
659.720194,1.0
659.839197,0.9992644406565047
659.958199,0.9986975489266029
660.077202,1.0
660.196204,0.9983984837979379
660.315206,0.99930432209616
660.434209,1.0
660.553211,0.9990238467478637
660.672213,0.9977334724613132
660.791216,0.9995062119534652
660.910218,1.0
661.029221,0.9996729334979136
661.148223,0.997929945524179
661.267225,0.9997881224492193
661.386228,0.9995171765967513
661.50523,1.0
661.624232,0.9966228155593333
661.743235,0.9999391378521757
661.862237,0.9995900640467129
661.98124,0.9989939064518343
662.100242,0.998258617968188
662.219244,0.9993409272838983
662.338247,0.9993620135999239
662.457249,0.9991941348838461
662.576252,0.9995616161183061
662.695254,0.9997789944253308
662.814256,0.9988706382095851
662.933259,0.9997205690481028
663.052261,0.9980316397668616
663.171263,0.9996176731055612
663.290266,0.9997993401348843
663.409268,1.0
663.528271,0.9998044091303887
663.647273,1.0
663.766275,1.0
663.885278,0.9996301084267621
664.00428,1.0
664.123282,0.9995675835189669
664.242285,0.9998939756209818
664.361287,1.0
664.48029,0.9984812544630415
664.599292,0.9984772605460115
664.718294,0.9992646904726461
664.837297,0.9998776974795631
664.956299,0.9973217928131669
665.075302,0.9994485321143411
665.194304,0.9989339686156002
665.313306,0.9988991064284443
665.432309,0.9992020885008152
665.551311,0.9981817550138662
665.670313,0.9996741431028949
665.789316,1.0
665.908318,0.9991970825108918
666.027321,0.9984593879630078
666.146323,0.9987268111934766
666.265325,0.9988874193772684
666.384328,0.9990981069502387
666.50333,0.9987641642747135
666.622332,1.0
666.741335,0.9983126252203031
666.860337,1.0
666.97934,0.9986463170564517
667.098342,0.9993852890122618
667.217344,0.9989205829901047
667.336347,0.9991892388445806
667.455349,0.9997703663698391
667.574351,1.0
667.693354,1.0
667.812356,1.0
667.931359,0.9997211388889895
668.050361,0.9997935113217223
