nu,[0]cis-1-3-Dichloropropene-HITRAN(x-sec)-X=0.01-T=278.1K-P=1.0atm-L=15cm
653.760102,0.9479154201106086
653.879304,0.9483420780404928
653.998506,0.9501874481587999
654.117708,0.9472596895488337
654.23691,0.9456422052733876
654.356112,0.9488125723841523
654.475314,0.9453131790398377
654.594516,0.9477542881857915
654.713718,0.9448604824565648
654.83292,0.947087303972899
654.952122,0.9449644228262506
655.071324,0.9431273101498142
655.190526,0.9435131281140607
655.309728,0.9430141416628413
655.42893,0.9410123642535779
655.548132,0.9414509782044334
655.667334,0.9447867862131242
655.786536,0.9410443592178739
655.905738,0.9418285757499414
656.02494,0.9439189259994425
656.144142,0.9403303775395504
656.263344,0.9411271747653157
656.382546,0.9415234727207582
656.501748,0.9404357004398072
656.62095,0.9407602067305754
656.740152,0.9379233966455472
656.859354,0.938231085977939
656.978556,0.9410622392305587
657.097758,0.9383005176472414
657.21696,0.938145710833743
657.336162,0.93708433074355
657.455364,0.9363106186734312
657.574566,0.9340381460425282
657.693768,0.9342399200728843
657.81297,0.9355974217445415
657.932172,0.933015001020356
658.051374,0.9346576186658373
658.170576,0.9331876247627485
658.289778,0.9330457910234219
658.40898,0.9327062241604077
658.528182,0.9303755101266711
658.647384,0.9328843880633334
658.766586,0.9313408099521274
658.885788,0.9294428113166592
659.00499,0.93055695104106
659.124192,0.9279336932387924
659.243394,0.9287757108958438
659.362596,0.9291054848046173
659.481798,0.9265104076708094
659.601,0.9284850495892008
659.720202,0.9276915341479931
659.839404,0.9238403533758581
659.958606,0.9257657926783799
660.077808,0.9248340157535734
660.19701,0.9241757682982589
660.316212,0.9232215876487618
660.435414,0.9248016471294762
660.554616,0.9217612840107898
660.673818,0.9233240709327079
660.79302,0.9211945751019747
660.912222,0.920075083287619
661.031424,0.9186528275322461
661.150626,0.9181412803864164
661.269828,0.9180228478003125
661.38903,0.9185655596589202
661.508232,0.9163618129439861
661.627434,0.9171795723476044
661.746636,0.9166367627282749
661.865838,0.9163224102331939
661.98504,0.9151804683363832
662.104242,0.9153461309931703
662.223444,0.9150834643480418
662.342646,0.9130569715049315
662.461848,0.9123870335851412
662.58105,0.9105158244585916
662.700252,0.9104147628111019
662.819454,0.91186894490118
662.938656,0.9111916779109623
663.057858,0.9100461194874754
663.17706,0.9077012267115905
663.296262,0.9076440433356029
663.415464,0.9080534831208787
663.534666,0.9062337536326364
663.653868,0.9064467435900798
663.77307,0.9043851124127704
663.892272,0.904168086029999
664.011474,0.9044484215864346
664.130676,0.9018744132890186
664.249878,0.9013154244572236
664.36908,0.9020187247397531
664.488282,0.9007387671355971
664.607484,0.8991099045324306
664.726686,0.9028399353734342
664.845888,0.8998294802479654
664.96509,0.8981573529751422
665.084292,0.897789183940232
665.203494,0.8968559685450535
665.322696,0.8974121916568983
665.441898,0.8951714632553041
665.5611,0.8945987368108319
665.680302,0.895646029879876
665.799504,0.8944645570640428
665.918706,0.8913661439068313
666.037908,0.8916335938654913
666.15711,0.8902348274420832
666.276312,0.8926863425057965
666.395514,0.8889627014257235
666.514716,0.8901992187611638
666.633918,0.8862289085075804
666.75312,0.8881274691070741
666.872322,0.8866544004935711
666.991524,0.8849625068613969
667.110726,0.8844670665937769
667.229928,0.884219450483004
667.34913,0.883459348646226
667.468332,0.8826557663243683
667.587534,0.8805487379447297
667.706736,0.8799413688819718
667.825938,0.8784467393499313
667.94514,0.8805135166996415
668.064342,0.8779549468906361
668.183544,0.8770949724989618
668.302746,0.87463379519982
668.421948,0.8754826015857076
668.54115,0.8737595985757819
668.660352,0.8751412299428863
668.779554,0.8728862757114152
668.898756,0.8700104986434969
669.017958,0.8691669976239447
669.13716,0.8691583059974266
669.256362,0.8676039042343074
669.375564,0.8670314745800779
669.494766,0.8664161007166984
669.613968,0.8635616400348808
669.73317,0.8656972737075789
669.852372,0.8627847841964145
669.971574,0.8619224306608487
670.090776,0.86051864149785
670.209978,0.8581812111393669
670.32918,0.8580010120065987
670.448382,0.858404367263302
670.567584,0.8579495334902493
670.686786,0.856149729925091
670.805988,0.8582927819487605
670.92519,0.8554907483735052
671.044392,0.8543109853644544
671.163594,0.8541657648410367
671.282796,0.8537131769320612
671.401998,0.8504071875723953
671.5212,0.8507814490664177
671.640402,0.8497016424484408
671.759604,0.8491240417380743
671.878806,0.8485722904495395
671.998008,0.845801990967966
672.11721,0.8462080733756118
672.236412,0.8428552870088251
672.355614,0.8440867544803625
672.474816,0.844838326091607
672.594018,0.8428131452980262
672.71322,0.8442555887141192
672.832422,0.8418276305565738
672.951624,0.8392220057070361
673.070826,0.8386515287273109
673.190028,0.8402296765954971
673.30923,0.8411376148446232
673.428432,0.8404985931163563
673.547634,0.8398768542292104
673.666836,0.8394318374363362
673.786038,0.8382742204401152
673.90524,0.8390541780892159
674.024442,0.8379557367520811
674.143644,0.8367917874101939
674.262846,0.8364069517069829
674.382048,0.8374866129064366
674.50125,0.8367332140351672
674.620452,0.835863463841065
674.739654,0.8341266747231286
674.858856,0.8343102027789137
674.978058,0.833159648763942
675.09726,0.8332429688947555
675.216462,0.8352117445428375
675.335664,0.832943055413619
675.454866,0.8301158579843755
675.574068,0.8341850656340173
675.69327,0.8308217564279997
675.812472,0.8302071757511388
675.931674,0.8304811893288904
676.050876,0.8261408495183822
676.170078,0.8303068065899597
676.28928,0.8287555837070713
676.408482,0.827761673472033
676.527684,0.8282336321213488
676.646886,0.8281094063936931
676.766088,0.8280514407640663
676.88529,0.827968639760109
677.004492,0.8239791934985691
677.123694,0.8246221479891515
677.242896,0.8231391632094787
677.362098,0.8218314118777947
677.4813,0.8218560671899788
677.600502,0.8217327980253188
677.719704,0.8195416978749697
677.838906,0.8199679703791104
677.958108,0.8209525225567256
678.07731,0.8190255492092098
678.196512,0.8189845989555141
678.315714,0.8177243333267273
678.434916,0.8182232973386082
678.554118,0.8176016838756671
678.67332,0.8161231632926282
678.792522,0.8177161561242802
678.911724,0.816612984122158
679.030926,0.8152992950212155
679.150128,0.8180596690425155
679.26933,0.8165639888129846
679.388532,0.8154949903345188
679.507734,0.8163027301401816
679.626936,0.816817162889471
679.746138,0.8155357661034212
679.86534,0.8175281030353058
679.984542,0.817103098932371
680.103744,0.8166619823711382
680.222946,0.8164170205225413
680.342148,0.8184442474558132
680.46135,0.8159681146216928
680.580552,0.8153808290273499
680.699754,0.8166293165451641
680.818956,0.8166701490317951
680.938158,0.8146310236280146
681.05736,0.81547868059781
681.176562,0.8153400610051076
681.295764,0.8160823581546005
681.414966,0.8141179677127117
681.534168,0.8165068313343029
681.65337,0.8127188883614076
681.772572,0.8128814483945414
681.891774,0.8142400945671537
682.010976,0.8136540526994547
682.130178,0.8113222133582556
682.24938,0.808730131817883
682.368582,0.8084875491675546
682.487784,0.8073806796039696
682.606986,0.8074291238980602
682.726188,0.808616917524614
682.84539,0.8065414401773269
682.964592,0.8051553812526069
683.083794,0.802358310252192
683.202996,0.8035627508221651
683.322198,0.8027756450711722
683.4414,0.799666910413542
683.560602,0.7962038762421912
683.679804,0.797526672293718
683.799006,0.8010034698704517
683.918208,0.8020133703461783
684.03741,0.8006030682442646
684.156612,0.7992511917163558
684.275814,0.8006511058694736
684.395016,0.8002108688375269
684.514218,0.8002988968745522
684.63342,0.797375156620427
684.752622,0.7969845385029374
684.871824,0.7971280086317921
684.991026,0.7972316420089378
685.110228,0.7945494933342918
685.22943,0.7908080564628702
685.348632,0.8002428779124576
685.467834,0.8084794643324872
685.587036,0.8136540526994547
685.706238,0.8126051156813104
685.82544,0.8140039991752157
