nu,[0]Phenol-HITRAN(x-sec)-X=0.01-T=298.1K-P=1.0atm-L=15cm
652.332047,0.9913084914559472
652.467049,0.9891037983850592
652.602052,0.9857593708052432
652.737055,0.9977270869875229
652.872057,0.9966173341489216
653.00706,0.9979304444892766
653.142063,0.9931595034413804
653.277066,0.9912603150339591
653.412068,0.9874800351310978
653.547071,0.9939986802924857
653.682074,0.988340504921892
653.817076,0.9822847924450996
653.952079,0.988090486402823
654.087082,0.9899617232349405
654.222084,0.9806751656402406
654.357087,0.9847081264951693
654.49209,0.9892709710526788
654.627093,0.9838429483534793
654.762095,0.975356728027685
654.897098,0.9979799430668778
655.032101,0.9871867971086657
655.167103,0.9853375560693312
655.302106,0.9884897556062783
655.437109,0.9951265141568765
655.572111,0.9905761851012868
655.707114,0.9939900325415849
655.842117,0.9953791093191396
655.97712,0.9997709962253682
656.112122,0.9911808191445212
656.247125,0.9865946626884906
656.382128,0.9891661138872752
656.51713,0.9857475417637679
656.652133,0.9816366983766542
656.787136,0.9848105414658109
656.922138,0.9783233890051823
657.057141,0.9841794801854793
657.192144,0.9828114382223099
657.327147,0.9864782513866953
657.462149,0.981184268151882
657.597152,0.9831535161209133
657.732155,0.9846579076613091
657.867157,0.9888278769181442
658.00216,0.9721355786897571
658.137163,0.979329622564515
658.272165,0.9768560271288711
658.407168,0.9801408432910325
658.542171,0.9763804140648404
658.677174,0.985587863596283
658.812176,0.982414462595744
658.947179,0.9720597550717789
659.082182,0.9773641243568082
659.217184,0.9717934471847358
659.352187,0.9748457749835874
659.48719,0.9693214387139134
659.622192,0.9668122109088485
659.757195,0.9710532226393501
659.892198,0.9668827907763786
660.027201,0.9541809027370124
660.162203,0.9653051596654305
660.297206,0.9517594068765504
660.432209,0.9494997614189717
660.567211,0.9472615840701072
660.702214,0.9560252061620739
660.837217,0.945193131889255
660.972219,0.9421149351613946
661.107222,0.9468259439463452
661.242225,0.9431744676942504
661.377228,0.9433197277470123
661.51223,0.9412372930865595
661.647233,0.9456043803416804
661.782236,0.9240805830962462
661.917238,0.8936420280928864
662.052241,0.9041138375723072
662.187244,0.9380772286964806
662.322246,0.9203373420564553
662.457249,0.9296844978654913
662.592252,0.931221605957672
662.727255,0.9395370735222939
662.862257,0.9397381559710822
662.99726,0.9392524369136406
663.132263,0.9490146909869372
663.267265,0.9420546417349545
663.402268,0.9374648642249015
663.537271,0.9309636932953745
663.672273,0.9257713472897998
663.807276,0.9321859192658921
663.942279,0.9288258661384114
664.077282,0.932542082309862
664.212284,0.9280515483014719
664.347287,0.9296770604192582
664.48229,0.9291695952948552
664.617292,0.923129270105951
664.752295,0.9256982142421574
664.887298,0.9184874849045732
665.0223,0.9158295613647217
665.157303,0.9120495128279053
665.292306,0.908583032650227
665.427309,0.9085875755767476
665.562311,0.9057544827552884
665.697314,0.9036618936489175
665.832317,0.904620283112864
665.967319,0.9033095342249482
666.102322,0.9008108291194089
666.237325,0.8967483522859327
666.372327,0.8970263873683525
666.50733,0.8911344188349803
666.642333,0.8904396050009113
666.777336,0.8934097113680652
666.912338,0.8822586605850148
667.047341,0.8824969025845955
667.182344,0.8791761528083025
667.317346,0.8798357822530305
667.452349,0.8743801881740082
667.587352,0.881561951479484
667.722354,0.8722667464145859
667.857357,0.8727378976570362
667.99236,0.8695669064148218
668.127363,0.8586705138677461
668.262365,0.8640799324910898
668.397368,0.8587993241053525
668.532371,0.8528769478378501
668.667373,0.8563552305193579
668.802376,0.8518541093262921
668.937379,0.8406667096460722
669.072381,0.8422991860529011
669.207384,0.8493873109956397
669.342387,0.8351616333415159
669.47739,0.8375284882839575
669.612392,0.8310377981688802
669.747395,0.8378635666904847
669.882398,0.8351699849996076
670.0174,0.8281176875291627
670.152403,0.8290291181804004
670.287406,0.821428813130723
670.422408,0.8179206107190707
670.557411,0.8180187670816209
670.692414,0.8158620456614238
670.827417,0.8193696121880455
670.962419,0.8127432702937857
671.097422,0.8106409888533828
671.232425,0.8060012384002114
671.367427,0.8083501179661792
671.50243,0.7935093149636109
671.637433,0.8019411923909038
671.772435,0.7960844546176007
671.907438,0.7990274327103979
672.042441,0.7900176436786672
672.177444,0.7961322211178584
672.312446,0.7859830906124936
672.447449,0.7806799564529963
672.582452,0.7817033173509887
672.717454,0.7835268096239515
672.852457,0.7774546224813453
672.98746,0.7772836012774217
673.122462,0.7756995590032812
673.257465,0.7722476424660147
673.392468,0.7725875061932366
673.527471,0.7681578754256313
673.662473,0.7693494433591276
673.797476,0.7690186942146455
673.932479,0.7604309248557505
674.067481,0.7616409717586322
674.202484,0.7681809205075685
674.337487,0.7602940596075183
674.472489,0.7599292060307703
674.607492,0.7562070988799557
674.742495,0.7516984746509409
674.877498,0.752074417866238
675.0125,0.7534595086878875
675.147503,0.7568425797075962
675.282506,0.7457983676226517
675.417508,0.7503091180239726
675.552511,0.74735124265748
675.687514,0.7472989299014617
675.822516,0.7461937455233804
675.957519,0.7471046574362022
676.092522,0.7407219205726719
676.227525,0.7434974074809328
676.362527,0.7470523619405454
676.49753,0.7372486960173107
676.632533,0.7345552977154196
676.767535,0.7346948764815484
