nu,[0]Perfluorotributylamine-HITRAN(x-sec)-X=0.01-T=298.2K-P=0.0atm-L=15cm
572.939817,0.9999972289038395
573.000082,0.9999967358053274
573.060347,0.9999975106030986
573.120613,0.999994533014944
573.180878,0.999994355715929
573.241143,0.9999914704363769
573.301408,1.0
573.361673,1.0
573.421938,0.9999957571090011
573.482203,1.0
573.542468,1.0
573.602733,0.9999964201064079
573.662998,0.9999945257149839
573.723263,0.9999932458228096
573.783528,0.9999928499255619
573.843793,0.999992723626473
573.904058,0.999990999240507
573.964323,0.9999920873313053
574.024588,0.999995179011621
574.084853,0.9999954073105465
574.145118,0.9999951766116326
574.205383,0.9999969496046525
574.265648,0.9999969131047645
574.325913,0.9999961117075594
574.386178,0.999993729119662
574.446444,1.0
574.506709,1.0
574.566974,1.0
574.627239,0.9999940618176311
574.687504,0.9999933065224014
574.747769,0.999994593714614
574.808034,0.9999950625121894
574.868299,1.0
574.928564,0.9999936368202451
574.988829,0.9999939088185513
575.049094,1.0
575.109359,1.0
575.169624,1.0
575.229889,0.9999889250613276
575.290154,0.9999929689247181
575.350419,1.0
575.410684,0.9999997454700323
575.470949,0.9999930709240061
575.531214,0.9999940424177465
575.591479,0.999991176538927
575.651744,0.9999905329448129
575.712009,0.9999885200658949
575.772275,0.999989668053375
575.83254,0.9999871520825352
575.892805,1.0
575.95307,0.9999907369429024
576.013335,0.9999911717389693
576.0736,0.9999926459270413
576.133865,0.9999984818011525
576.19413,1.0
576.254395,0.9999880340715923
576.31466,0.9999914680363974
576.374925,1.0
576.43519,1.0
576.495455,1.0
576.55572,1.0
576.615985,1.0
576.67625,1.0
576.736515,1.0
576.79678,1.0
576.857045,1.0
576.91731,1.0
576.977575,0.9999881410703176
577.03784,1.0
577.098106,0.9999855831039245
577.158371,0.9999996325400675
577.218636,1.0
577.278901,1.0
577.339166,1.0
577.399431,1.0
577.459696,1.0
577.519961,1.0
577.580226,1.0
577.640491,0.9999847141168303
577.700756,0.9999846801173506
577.761021,1.0
577.821286,1.0
577.881551,0.9999999989671
577.941816,1.0
578.002081,1.0
578.062346,1.0
578.122611,1.0
578.182876,1.0
578.243141,1.0
578.303406,1.0
578.363671,1.0
578.423937,0.9999851831097712
578.484202,1.0
578.544467,1.0
578.604732,1.0
578.664997,1.0
578.725262,1.0
578.785527,0.9999990166204835
578.845792,1.0
578.906057,0.9999995698800925
578.966322,0.9999864190922214
579.026587,1.0
579.086852,0.9999930442241916
579.147117,1.0
579.207382,0.999997959402082
579.267647,1.0
579.327912,1.0
579.388177,1.0
579.448442,1.0
579.508707,0.9999970928042259
579.568972,0.9999994576701471
579.629237,0.9999788442237866
579.689502,0.9999879050731442
579.749768,0.9999891120592741
579.810033,0.9999964201064079
579.870298,0.9999944941151574
579.930563,0.9999948123134561
579.990828,1.0
580.051093,0.9999932288229245
580.111358,0.999980983180822
580.171623,1.0
580.231888,0.9999801771964744
580.292153,0.9999807841846261
580.352418,0.9999949945125275
580.412683,0.9999847381164637
580.472948,0.9999988175006992
580.533213,0.9999812921749935
580.593478,0.9999972313038329
580.653743,0.9999840121278074
580.714008,0.9999809931806318
580.774273,0.9999778652449773
580.834538,0.9999774642539337
580.894803,0.9999775562518647
580.955068,0.9999788172243581
581.015333,0.9999774642539337
581.075599,0.9999804101918828
581.135864,0.9999784362325014
581.196129,0.9999800121997587
581.256394,0.9999795672087524
581.316659,0.9999780232414925
581.376924,0.9999776072507214
581.437189,0.9999809061822893
581.497454,0.9999762762814118
581.557719,0.9999805171897924
581.617984,0.9999770172641071
