nu,[0]FluoroetherE-1-HITRAN(x-sec)-X=0.01-T=298.0K-P=0.0atm-L=15cm
806.581239,0.9999720763898713
807.063356,0.9999705444338237
807.545473,0.9999689164831025
808.027589,0.9999672155374223
808.509706,0.99996539259885
808.991823,0.9999635456644754
809.473939,0.999962184715016
809.956056,0.9999613097484871
810.438173,0.9999603137875186
810.920289,0.9999589768414728
811.402406,0.9999579078858979
811.884523,0.9999578108899856
812.366639,0.9999586368554785
812.848756,0.9999597058118326
813.330873,0.9999606047760122
813.812989,0.9999616497353901
814.295106,0.9999629866850096
814.777223,0.9999644446321071
815.259339,0.9999660735755141
815.741456,0.9999681385075881
816.223573,0.9999705204345309
816.705689,0.9999732183586345
817.187806,0.9999761002856027
817.669923,0.9999789172222449
818.152039,0.9999817871658557
818.634156,0.9999849511132356
819.116273,0.999988026071688
819.598389,0.9999902811472283
820.080506,0.99999172233426
820.562623,0.9999928694254226
821.04474,0.9999939679181931
821.526856,0.9999948501132607
822.008973,0.9999954820102062
822.49109,0.9999960264078948
822.973206,0.9999965611059131
823.455323,0.9999971201041469
823.93744,0.9999976231028248
824.419556,0.9999980290019425
824.901673,0.9999983814013099
825.38379,0.9999985855010004
825.865906,0.9999984908011389
826.348023,0.9999983061014347
826.83014,0.9999982769014846
827.312256,0.9999986171009562
827.794373,0.9999988626006469
828.27649,0.999998605000973
828.758606,0.9999982502015309
829.240723,0.999998561201035
829.72284,0.9999992879102535
830.204956,0.9999996208700719
830.687073,0.9999994337301603
831.16919,0.9999990230104773
831.651306,0.9999987435007894
832.133423,0.9999989452005563
832.61554,0.9999994045701772
833.097656,0.9999996062900776
833.579773,0.9999995382401066
834.06189,0.9999998031400193
834.544006,0.9999996257300701
835.026123,0.999999375410195
835.50824,0.9999995965700814
835.990356,0.9999998979300052
836.472473,0.9999996451700629
836.95459,0.9999999052170044
837.436706,0.9999999270900026
837.918823,0.9999998541800106
838.40094,0.9999996597500579
838.883056,0.9999996111500756
839.365173,0.9999996062900776
839.84729,0.9999995941400823
840.329407,0.99999953095011
840.811523,0.9999996354500664
841.29364,0.999999776410025
841.775757,0.9999995431001044
842.257873,0.9999993729801966
842.73999,0.9999995722600915
843.222107,0.9999996864900491
843.704223,0.9999996427400638
844.18634,0.9999997132200411
844.668457,0.9999999829880002
845.150573,0.9999997375200345
845.63269,0.9999999149390036
846.114807,0.99999985904001
846.596923,0.9999993146502348
847.07904,0.9999993511002105
847.561157,0.9999999659750006
848.043273,0.9999997326600357
848.52539,0.999999703500044
849.007507,0.999999703500044
849.489623,0.9999998201600162
849.97174,0.9999999197990033
850.453857,0.9999998031400193
850.935973,0.9999995455301033
851.41809,0.9999993292302249
851.900207,0.9999992879102535
852.382323,0.9999994483201522
852.86444,0.999999703500044
853.346557,0.9999999441020015
853.828673,0.9999999684060005
854.31079,0.9999998760500077
854.792907,0.9999996524600604
855.275023,0.999999703500044
855.75714,0.9999999465330014
856.239257,0.9999995795500883
856.721373,0.9999994142901715
857.20349,0.9999996014300794
857.685607,0.9999999392420018
858.167723,0.9999997180800397
858.64984,0.9999998760500077
859.131957,0.9999998833400068
859.614073,0.9999995139301181
860.09619,0.9999990862004176
860.578307,0.9999988966006087
861.060424,0.9999992028503177
861.54254,0.9999998517500109
862.024657,0.9999998298800145
862.506774,0.9999998517500109
862.98889,0.9999993365202201
863.471007,0.9999993559602074
863.953124,0.9999998784800074
864.43524,0.9999990716204309
864.917357,0.999998955000546
865.399474,0.9999992052803158
865.88159,0.9999993608202042
866.363707,0.9999995795500883
866.845824,0.9999999465330014
867.32794,0.9999997399500338
867.810057,0.9999995625400957
868.292174,0.9999994580401469
868.77429,0.9999992611802729
869.256407,0.9999989744005259
869.738524,0.999998984100516
870.22064,0.9999991639703495
870.702757,0.9999988480006635
871.184874,0.9999983960012864
871.66699,0.9999983595013456
872.149107,0.9999984932011352
872.631224,0.9999987703007561
873.11334,0.9999991153603913
873.595457,0.9999992198603043
874.077574,0.9999993097902382
874.55969,0.9999993438102153
875.041807,0.999999018150482
875.523924,0.9999986196009527
876.00604,0.9999986439009195
876.488157,0.9999988772006303
876.970274,0.9999988262006889
877.45239,0.9999984665011759
877.934507,0.9999980800018432
878.416624,0.9999979853020295
878.89874,0.9999982818014761
879.380857,0.9999985151011025
879.862974,0.9999982988014471
880.345091,0.9999978078024029
880.827207,0.999997268303731
881.309324,0.9999970617043168
881.791441,0.9999974822031696
882.273557,0.9999977471025377
882.755674,0.9999970666043024
883.237791,0.9999961868072702
883.719907,0.9999958830084749
884.202024,0.9999957542090134
884.684141,0.9999955015101183
885.166257,0.9999952536112642
885.648374,0.9999948477132731
886.130491,0.9999943422160054
886.612607,0.9999940238178574
887.094724,0.9999936957198721
887.576841,0.9999931732233025
888.058957,0.9999925389278339
888.541074,0.9999917879337192
889.023191,0.9999910880397117
889.505307,0.99999066514357
889.987424,0.9999904172459149
890.469541,0.999989951050491
890.951657,0.9999890470599839
891.433774,0.9999879820722158
891.915891,0.9999870150843048
892.398007,0.9999859530986587
892.880124,0.999984635118041
893.362241,0.9999834301372816
893.844357,0.9999824891533167
894.326474,0.9999810681792092
894.808591,0.999978861223427
895.290707,0.9999765772743163
895.772824,0.9999745543237467
896.254941,0.9999723193831154
896.737057,0.9999697184584951
897.219174,0.9999671665390298
897.701291,0.9999650766098358
898.183407,0.9999632296760449
898.665524,0.9999608727654902
899.147641,0.9999576158982314
899.629757,0.9999547000260748
900.111874,0.9999531930954774
900.593991,0.9999522941379608
901.076108,0.9999513461836353
901.558224,0.9999506652170005
902.040341,0.9999503012350245
902.522458,0.9999496692666339
903.004574,0.999948988301141
903.486691,0.9999490862961466
903.968808,0.9999501552422912
904.450924,0.9999515161753786
904.933041,0.9999528771103182
905.415158,0.9999549180162232
905.897274,0.9999576648961558
906.379391,0.9999603617856148
906.861508,0.9999628406904243
907.343624,0.9999653685996808
907.825741,0.9999680175114507
908.307858,0.9999705444338237
908.789974,0.9999729993645238
909.272091,0.9999757482940774
909.754208,0.9999785842293208
910.236324,0.9999810821789442
910.718441,0.9999832721399122
911.200558,0.9999852091093863
911.682674,0.9999868370866319
912.164791,0.999988463066551
912.646908,0.9999902252477733
913.129024,0.9999915716355189
913.611141,0.9999922837297706
914.093258,0.9999927941259624
914.575374,0.9999934576214015
915.057491,0.9999941332172096
915.539608,0.9999947140139709
916.021724,0.9999951807116128
916.503841,0.9999955476099119
916.985958,0.999995936508256
917.468074,0.9999963958064951
917.950191,0.9999968430049834
918.432308,0.9999970472043596
918.914424,0.9999970058044826
919.396541,0.999996971804585
919.878658,0.9999969645046072
920.360775,0.999997020404439
920.842891,0.9999972148038787
921.325008,0.9999973169035995
921.807125,0.9999972975036517
922.289241,0.9999974311032996
922.771358,0.9999975308030484
923.253475,0.999997462703219
923.735591,0.9999976742027047
924.217708,0.999998240401548
924.699825,0.9999987241008139
925.181941,0.9999990254404749
925.664058,0.9999993583902058
926.146175,0.9999997788400244
926.628291,0.9999999246600029
927.110408,0.9999999756970003
927.592525,0.9999997812700239
928.074641,0.9999997521100307
928.556758,0.9999997618300284
929.038875,0.9999995844100864
929.520991,0.9999996962100461
930.003108,0.9999998420300125
930.485225,0.9999994288701631
930.967341,0.9999993049302416
931.449458,0.9999994240101658
