nu,[0]Toluene-PNNL(x-sec)-X=0.01-T=278.17K-P=1.0atm-L=15cm
681.185624,0.7820160612225335
681.303626,0.7863919081029476
681.421628,0.7957024257736417
681.539631,0.7956865118842656
681.657633,0.7941682010949497
681.775636,0.7946766314240012
681.893638,0.7921298092735738
682.01164,0.7892832688072913
682.129643,0.7908159645829754
682.247645,0.7916863407631528
682.365647,0.7906736305198004
682.48365,0.7924942728060255
682.601652,0.7927003481055831
682.719654,0.7937474034695902
682.837657,0.7927558390721116
682.955659,0.7917338433686626
683.073661,0.7927875499398876
683.191664,0.7928192620761237
683.309666,0.7934537712556159
683.427669,0.7928985479665598
683.545671,0.7910216034656633
683.663673,0.7925814519708002
683.781676,0.7909108681928281
683.899678,0.7903258106483549
684.01768,0.7912431205255748
684.135683,0.7916309246588857
684.253685,0.7885653477363065
684.371687,0.7887704013825368
684.48969,0.7900887484662658
684.607692,0.7891096455874081
684.725695,0.7877062797843626
684.843697,0.7882657498313738
684.961699,0.7871472068201038
685.079702,0.7858809194519834
685.197704,0.786352589490516
685.315706,0.7846559009804798
685.433709,0.7858416263883455
685.551711,0.7842323011761909
685.669713,0.7838089300540467
685.787716,0.7830803266022156
685.905718,0.7818831297916174
686.02372,0.7821646583904498
686.141723,0.7843970072529707
686.259725,0.7830255128978555
686.377728,0.7818127634764679
686.49573,0.7825167116927776
686.613732,0.7799464620902906
686.731735,0.7814610268795734
686.849737,0.7805862804788928
686.967739,0.7819769613969761
687.085742,0.780453592090044
687.203744,0.7823993429888966
687.321746,0.7798918677487685
687.439749,0.7790578297401861
687.557751,0.7797281076519532
687.675754,0.7768872877093201
687.793756,0.7758857492393767
687.911758,0.7761107887358059
688.029761,0.7753505727295305
688.147763,0.775125753663779
688.265765,0.774111003732802
688.383768,0.7733527465558464
688.50177,0.7750947492537248
688.619772,0.7748855019210874
688.737775,0.7744439430412283
688.855777,0.7738478507300783
688.973779,0.7730743896743312
689.091782,0.7692648195747516
689.209784,0.7688572172445358
689.327787,0.7625402385683803
689.445789,0.7606666949849376
689.563791,0.7530075685782659
689.681794,0.7515481499889779
689.799796,0.743936200382524
689.917798,0.7356064631953435
690.035801,0.7275518580019916
690.153803,0.7173581867589268
690.271805,0.7202405684006072
690.389808,0.7590254281300979
690.50781,0.7685036242572254
690.625813,0.772711130083875
690.743815,0.7749242471648065
690.861817,0.7775556981520442
690.97982,0.778987717690599
691.097822,0.77808461583842
691.215824,0.7775012711581406
691.333827,0.7753970951595532
691.451829,0.7720082827995154
691.569831,0.7659564229186024
691.687834,0.7583046963751628
691.805836,0.7440924433895458
691.923838,0.735157880084553
692.041841,0.7343423075641468
692.159843,0.7164047345567987
692.277846,0.7159893402867389
692.395848,0.7056188921916218
692.51385,0.720622397077521
692.631853,0.7280394810823437
692.749855,0.7163545879805303
692.867857,0.6971044659783341
692.98586,0.6822698669956004
693.103862,0.650919044573636
693.221864,0.6089311937520326
693.339867,0.5628624482303114
693.457869,0.4925742836487504
693.575872,0.4069235292554921
693.693874,0.3044647384547273
693.811876,0.2281390425856663
693.929879,0.17325340282144272
694.047881,0.10496797241217974
694.165883,0.05651212850847041
694.283886,0.029384146052499806
694.401888,0.023529507669145362
694.51989,0.27052250131398453
694.637893,0.5309698707148552
694.755895,0.6451322141591939
694.873897,0.7054848373377197
694.9919,0.7419302818501052
695.109902,0.765320942848291
695.227905,0.7776490104344475
695.345907,0.7871629499216707
695.463909,0.7944938768163593
695.581912,0.7960764938128586
695.699914,0.7998588535042909
695.817916,0.8006030682442646
695.935919,0.7994430350226436
696.053921,0.7983964503094214
696.171923,0.7976463102671858
696.289926,0.7960207704086336
696.407928,0.7933664961409971
696.525931,0.7917971846097479
696.643933,0.7893858823019689
696.761935,0.7844754508758117
696.879938,0.7809844810144426
696.99794,0.778621679489
697.115942,0.7749474952409409
697.233945,0.7717535620974191
697.351947,0.7698496830576004
697.469949,0.7696495481586697
