nu,[0]HFC-1243zf-HITRAN(x-sec)-X=0.01-T=298.0K-P=0.9211atm-L=15cm
806.725634,1.0
806.844636,1.0
806.963638,1.0
807.08264,1.0
807.201642,1.0
807.320644,1.0
807.439646,1.0
807.558648,1.0
807.67765,1.0
807.796652,1.0
807.915654,1.0
808.034656,1.0
808.153658,1.0
808.27266,1.0
808.391662,1.0
808.510664,1.0
808.629666,1.0
808.748668,1.0
808.86767,1.0
808.986672,1.0
809.105674,1.0
809.224676,1.0
809.343678,1.0
809.46268,1.0
809.581682,1.0
809.700684,1.0
809.819686,1.0
809.938688,1.0
810.05769,1.0
810.176692,1.0
810.295694,1.0
810.414696,1.0
810.533698,1.0
810.6527,1.0
810.771702,1.0
810.890704,1.0
811.009706,1.0
811.128708,1.0
811.24771,1.0
811.366712,1.0
811.485714,1.0
811.604716,1.0
811.723718,1.0
811.84272,1.0
811.961722,1.0
812.080724,1.0
812.199726,1.0
812.318728,1.0
812.43773,1.0
812.556732,1.0
812.675734,1.0
812.794736,1.0
812.913738,1.0
813.03274,1.0
813.151742,1.0
813.270744,1.0
813.389746,1.0
813.508748,1.0
813.62775,1.0
813.746752,1.0
813.865754,1.0
813.984756,1.0
814.103758,1.0
814.22276,1.0
814.341762,1.0
814.460764,1.0
814.579766,1.0
814.698768,1.0
814.81777,1.0
814.936772,1.0
815.055774,1.0
815.174776,1.0
815.293778,1.0
815.41278,1.0
815.531782,1.0
815.650784,1.0
815.769786,1.0
815.888788,1.0
816.00779,1.0
816.126792,1.0
816.245794,1.0
816.364796,1.0
816.483798,1.0
816.6028,1.0
816.721802,1.0
816.840804,1.0
816.959806,1.0
817.078808,1.0
817.19781,1.0
817.316812,1.0
817.435814,1.0
817.554816,1.0
817.673818,1.0
817.79282,1.0
817.911822,1.0
818.030824,1.0
818.149826,1.0
818.268828,1.0
818.38783,1.0
818.506832,1.0
818.625834,1.0
818.744836,1.0
818.863838,1.0
818.98284,1.0
819.101842,1.0
819.220844,1.0
819.339846,1.0
819.458848,1.0
819.57785,1.0
819.696852,1.0
819.815854,1.0
819.934856,1.0
820.053858,1.0
820.17286,1.0
820.291862,1.0
820.410864,1.0
820.529866,1.0
820.648868,1.0
820.76787,1.0
820.886872,1.0
821.005874,1.0
821.124876,1.0
821.243878,1.0
821.36288,1.0
