nu,[0]Acetol-HITRAN(x-sec)-X=0.01-T=298.1K-P=1.0atm-L=15cm
584.9963,0.973362214886065
585.116102,0.9721725205436381
585.235905,0.9727238986637116
585.355707,0.9788361647965454
585.47551,0.9730683038799651
585.595312,0.9764429044110103
585.715114,0.9719431148997205
585.834917,0.9730644116145342
585.954719,0.9725809187598884
586.074521,0.9702388506623711
586.194324,0.9703339387289752
586.314126,0.9706202294667079
586.433929,0.9718556439556311
586.553731,0.966805443247059
586.673533,0.967876289476766
586.793336,0.969479450986074
586.913138,0.9743847819654637
587.032941,0.967933395862467
587.152743,0.9726781817148311
587.272545,0.9676962812282094
587.392348,0.9643335866387682
587.51215,0.9711697560179297
587.631953,0.9670113947395259
587.751755,0.9681618551010203
587.871557,0.9661095938637598
587.99136,0.968663492854924
588.111162,0.9666420669328376
588.230965,0.9655233432853353
588.350767,0.9655619649914957
588.470569,0.9675221115733276
588.590372,0.9658024198561669
588.710174,0.9687458327512127
588.829977,0.9699216344258859
588.949779,0.9669495079906597
589.069581,0.9630470602480447
589.189384,0.9651140481644798
589.309186,0.9683448549845787
589.428989,0.966952408843535
589.548791,0.9663801424250726
589.668593,0.9660757806197098
589.788396,0.966209108276832
589.908198,0.9677069259458487
590.028001,0.9649934164480986
590.147803,0.9670017246739289
590.267605,0.9678385430375368
590.387408,0.9640877129244063
590.50721,0.9634776385110478
590.627013,0.9700972061304769
590.746815,0.9656942560424296
590.866617,0.9680989266256363
590.98642,0.9644290603897182
591.106222,0.9645968856466
591.226025,0.9642535502726324
591.345827,0.9628795046373223
591.465629,0.9610882911369745
591.585432,0.9648178036275564
591.705234,0.9643615527182869
591.825037,0.9633080813681362
591.944839,0.9649345536450289
592.064641,0.9609470215417469
592.184444,0.9639141927533638
592.304246,0.959447193964382
592.424048,0.9620286952683699
592.543851,0.960506048070013
592.663653,0.9591008960378975
592.783456,0.95938099439191
592.903258,0.9637831093370237
593.02306,0.9586320103516286
593.142863,0.9608297931561958
593.262665,0.9605348636836872
593.382468,0.9592706719212186
593.50227,0.9585553228583411
593.622072,0.9595249123346447
593.741875,0.9583780065258788
593.861677,0.9580953267112763
593.98148,0.9631231439710717
594.101282,0.9561246379538783
594.221084,0.9631086972322629
594.340887,0.9585006867620818
594.460689,0.9580234722563488
594.580492,0.9592303833990629
594.700294,0.9563321395134192
594.820096,0.956362742631531
