nu,[0]Peroxyacetalnitrate-HITRAN(x-sec)-X=0.01-T=250.0K-P=0.0011atm-L=15cm
1667.521156,0.9999470684009265
1667.641685,0.9999502202390534
1667.762215,0.9999601477941202
1667.882744,0.9999769262662027
1668.003273,0.9999938399189734
1668.123802,0.9999665815584086
1668.244331,0.9999288535310301
1668.36486,0.999930429420145
1668.48539,0.9999778302457526
1668.605919,0.9999924169287516
1668.726448,0.9999894600555456
1668.846977,0.9999729823649829
1668.967506,0.9999473923838291
1669.088035,0.9999428046357172
1669.208565,0.99990530948343
1669.329094,0.9998301344287901
1669.449623,0.9998067786696462
1669.570152,0.9998914958869971
1669.690681,0.9999716154028503
1669.811211,0.9999785952290854
1669.93174,0.9999839811283034
1670.052269,0.9999752393065511
1670.172798,0.999969682459586
1670.293327,0.9999687084895895
1670.413856,0.9999877170754358
1670.534386,0.9999928109258415
1670.654915,0.9999906556436587
1670.775444,0.9999901735482799
1670.895973,0.9999696214614372
1671.016502,0.9999831611417752
1671.137031,0.9999863310934204
1671.257561,0.9999866460891642
1671.37809,0.9998806071278963
1671.498619,0.9998648491337013
1671.619148,0.9998911259272121
1671.739677,0.9999954275104539
1671.860206,0.999984797115565
1671.980736,0.999993390321844
1672.101265,0.9999578028903231
1672.221794,0.9999768572677972
1672.342323,0.9999832261406828
1672.462852,0.9999936777199857
1672.583381,0.9999932327228981
1672.703911,0.9999674485298106
1672.82444,0.999974460326143
1672.944969,0.999958400865268
1673.065498,0.9999970011044967
1673.186027,0.9999872580811789
1673.306556,0.9999740713361536
1673.427086,0.9999557589786628
1673.547615,0.999960138794479
1673.668144,0.9999927924259747
1673.788673,0.9999935016211146
1673.909202,0.9999957987088255
1674.029731,0.9999707384281281
1674.150261,0.9999687734875576
1674.27079,0.9999839251292021
1674.391319,0.9999898490515212
1674.511848,0.9999939002186038
1674.632377,0.9999901596484165
1674.752906,0.9999553509967964
1674.873436,0.9999736633468157
1674.993965,0.9999409967407608
1675.114494,0.9998727780933933
1675.235023,0.9998624894554418
1675.355552,0.9999040116071806
1675.476082,0.9998673088042556
1675.596611,0.9999033626696876
1675.71714,0.9999892880573733
1675.837669,0.9999943312160676
1675.958198,0.9999738443420652
1676.078727,0.9999711094173409
1676.199257,0.9999883660676747
1676.319786,0.9999940300178204
1676.440315,0.9999858171005783
1676.560844,0.9999728943673643
1676.681373,0.9999894740553982
1676.801902,0.9999934506214473
1676.922432,0.9999874810783623
1677.042961,0.9999931215236568
1677.16349,0.9999956476094717
1677.284019,0.9999939373183782
1677.404548,0.9999866930885377
1677.525077,0.9999900623493788
1677.645607,0.9999916846345729
1677.766136,0.9999815611699974
1677.886665,0.9999751843079144
1678.007194,0.9999912952378867
1678.127723,0.9999870170842787
1678.248252,0.9999773022575976
1678.368782,0.999993770419404
1678.489311,0.9999792862145335
1678.60984,0.9999892650576199
1678.730369,0.9999793132139745
1678.850898,0.999995249011286
1678.971427,0.9999698394548384
1679.091957,0.9999963851065338
1679.212486,0.9999840971264521
1679.333015,0.9999784752316612
1679.453544,0.9999935062210846
1679.574073,0.999991397237004
1679.694602,0.9999965895058157
