nu,[0]Diacetonealcohol-HITRAN(x-sec)-X=0.01-T=298.1K-P=1.0atm-L=15cm
562.639253,0.861276231192944
562.768855,0.861302069867458
562.898458,0.8661129081432429
563.028061,0.8551400690608436
563.157663,0.8595554001352262
563.287266,0.859787511426877
563.416868,0.8606133037547434
563.546471,0.8588594421621473
563.676074,0.8661995237647662
563.805676,0.868610908712898
563.935279,0.8604756166414055
564.064881,0.8628796957427155
564.194484,0.8663208001872447
564.324086,0.8652126189503003
564.453689,0.8695495152506058
564.583292,0.8645293708998442
564.712894,0.8677253772838153
564.842497,0.8668234119946876
564.972099,0.8688280885864292
565.101702,0.8689149757395732
565.231305,0.8651434047093909
565.360907,0.8717261086468353
565.49051,0.869506038861762
565.620112,0.8720923105094749
565.749715,0.8692799966784152
565.879318,0.8703933874922695
566.00892,0.8728251758106369
566.138523,0.8737333861810126
566.268125,0.8743364702575565
566.397728,0.8753687962450087
566.527331,0.8734800402359576
566.656933,0.8710377169715181
566.786536,0.8760168088893375
566.916138,0.8753337821934447
567.045741,0.8758854162227004
567.175344,0.8796774260647094
567.304946,0.8825233778888005
567.434549,0.8761394598279474
567.564151,0.8743801881740082
567.693754,0.8746687812513444
567.823356,0.8820910473632639
567.952959,0.8828146586621881
568.082562,0.8811741495435155
568.212164,0.8796598326921224
568.341767,0.8779812859341265
568.471369,0.8800117670073698
568.600972,0.8810684149897704
568.730575,0.8766039368171857
568.860177,0.8840072632783711
568.98978,0.8859365012176292
569.119382,0.882479252823042
569.248985,0.88206458502878
569.378588,0.8821439744139014
569.50819,0.8859099235212602
569.637793,0.887248657995935
569.767395,0.8889627014257235
569.896998,0.8881541133308086
570.026601,0.8885716438760662
570.156203,0.8856353340085421
570.285806,0.889941098416982
570.415408,0.889941098416982
570.545011,0.8894873441739565
570.674613,0.890751313408451
570.804216,0.8900033964742777
570.933819,0.8894962390918727
571.063421,0.8914552849782014
571.193024,0.8895762973559588
571.322626,0.8945361170909709
571.452229,0.8942230842339346
571.581832,0.895646029879876
571.711434,0.8935884111797243
571.841037,0.8893450375837194
571.970639,0.8930702801737568
572.100242,0.8986964090875893
572.229845,0.8994786151738053
572.359447,0.8957803868608797
572.48905,0.8944466679517933
572.618652,0.8974750127090255
572.748255,0.8949745471949487
572.877858,0.8940084964452831
573.00746,0.9010540808807812
573.137063,0.9009549703830616
573.266665,0.8998654741470485
573.396268,0.8994606257813964
573.525871,0.9027947945051966
573.655473,0.8981034651506146
573.785076,0.9002615020754282
573.914678,0.903002461188686
574.044281,0.9056050455945386
574.173883,0.9014326030788484
574.303486,0.9030566429617942
574.433089,0.9036528570751639
574.562691,0.904394156309114
574.692294,0.9039782306674435
574.821896,0.910039749186935
574.951499,0.9057789384564733
575.081102,0.9060905800105764
