nu,[0]2-Pentylfuran-PNNL(x-sec)-X=0.01-T=298.15K-P=1.0atm-L=15cm
611.966239,0.964628717869055
612.101242,0.9637734715541193
612.236245,0.9651449323081647
612.371247,0.9656759080258716
612.50625,0.9666266007834963
612.641253,0.9668663539086493
612.776256,0.9679159732181457
612.911258,0.9682732001165726
613.046261,0.9709755414888264
613.181264,0.9685579142883393
613.316266,0.9727005535702858
613.451269,0.9708434977943586
613.586272,0.9720743360774622
613.721274,0.9704998800200739
613.856277,0.9679575944998452
613.99128,0.970896895655165
614.126283,0.9745933226218587
614.261285,0.9757986647165842
614.396288,0.9760836395309794
614.531291,0.9755635255737922
614.666293,0.9724749132171506
614.801296,0.9742912455162164
614.936299,0.9769644641660266
615.071301,0.9784045932163979
615.206304,0.9776779086004035
615.341307,0.9781228532660519
615.47631,0.9808428754323437
615.611312,0.9730342470853267
615.746315,0.9772898475059132
615.881318,0.977662265879008
616.01632,0.9809291934033167
616.151323,0.9819498904349138
616.286326,0.9796900821861211
616.421328,0.9818575914833316
616.556331,0.9786394384990765
616.691334,0.9815925257191195
616.826337,0.9832439704052297
616.961339,0.9808997659689284
617.096342,0.9836658725600752
617.231345,0.984467887022712
617.366347,0.9818683919762405
617.50135,0.9815630783850602
617.636353,0.9831407352082798
617.771355,0.9823456959902216
617.906358,0.9842798716123339
618.041361,0.9828890833928733
618.176364,0.9836570196070605
618.311366,0.9810567224876701
618.446369,0.9820205933723003
618.581372,0.9822622001546857
618.716374,0.9819891692161016
618.851377,0.9813393075140371
618.98638,0.9835370207707463
619.121382,0.9833885178928593
619.256385,0.9863283180877039
619.391388,0.9826483050639917
619.526391,0.9865956492836466
619.661393,0.9833265663677256
619.796396,0.9833236163924515
619.931399,0.9856016619229614
620.066401,0.9868443027162828
620.201404,0.9881458210194164
620.336407,0.9865404014742398
620.471409,0.982702352207053
620.606412,0.9860866972495337
620.741415,0.9861853108498565
620.876418,0.9849050878159439
621.01142,0.9870890704533013
621.146423,0.9832498698867506
621.281426,0.9892086489446695
621.416428,0.9842355800146798
621.551431,0.9855188748604652
621.686434,0.9858411922285621
621.821436,0.9842395169648738
621.956439,0.9880262626085027
622.091442,0.9892215087406943
622.226445,0.9854784694149132
622.361447,0.9869666789969922
622.49645,0.9845476321511949
622.631453,0.9864752919563803
622.766455,0.9872302342833493
622.901458,0.987617304395974
