nu,[0]Chloromethanol-HITRAN(x-sec)-X=0.01-T=295.0K-P=0.9211atm-L=15cm
853.828688,1.0
854.310804,1.0
854.792921,1.0
855.275037,1.0
855.757154,1.0
856.239271,1.0
856.721387,1.0
857.203504,1.0
857.685621,1.0
858.167737,1.0
858.649854,1.0
859.131971,1.0
859.614087,1.0
860.096204,0.99943475980846
860.57832,0.997057437847691
861.060437,0.9955896542651038
861.542554,0.9960243240089606
862.02467,0.9966130487035985
862.506787,0.996836713766009
862.988904,0.9983684324558506
863.47102,1.0
863.953137,1.0
864.435254,1.0
864.91737,1.0
865.399487,1.0
865.881603,1.0
866.36372,1.0
866.845837,1.0
867.327953,1.0
867.81007,1.0
868.292187,1.0
868.774303,1.0
869.25642,1.0
869.738537,1.0
870.220653,1.0
870.70277,1.0
871.184886,1.0
871.667003,1.0
872.14912,1.0
872.631236,1.0
873.113353,1.0
873.59547,1.0
874.077586,1.0
874.559703,1.0
875.04182,1.0
875.523936,1.0
876.006053,1.0
876.488169,1.0
876.970286,1.0
877.452403,1.0
877.934519,1.0
878.416636,1.0
878.898753,1.0
879.380869,1.0
879.862986,1.0
880.345103,1.0
880.827219,1.0
881.309336,1.0
881.791452,1.0
882.273569,1.0
882.755686,1.0
883.237802,1.0
883.719919,1.0
884.202036,1.0
884.684152,1.0
885.166269,1.0
885.648386,1.0
886.130502,1.0
886.612619,1.0
887.094735,1.0
887.576852,1.0
888.058969,1.0
888.541085,1.0
889.023202,1.0
889.505319,1.0
889.987435,1.0
890.469552,1.0
890.951669,1.0
891.433785,1.0
891.915902,1.0
892.398018,1.0
892.880135,1.0
893.362252,1.0
893.844368,1.0
894.326485,1.0
894.808602,1.0
895.290718,1.0
895.772835,1.0
896.254952,1.0
896.737068,1.0
897.219185,1.0
897.701301,1.0
898.183418,1.0
898.665535,1.0
899.147651,1.0
899.629768,1.0
900.111885,1.0
900.594001,1.0
901.076118,1.0
901.558235,1.0
902.040351,1.0
902.522468,1.0
903.004584,0.9999169644476423
903.486701,0.9989945058483579
903.968818,0.9975691592899598
904.450934,0.9984775600892345
904.933051,0.9981008057560713
905.415168,0.9959764163911632
905.897284,0.9940954010694677
906.379401,0.9944713396073139
906.861518,0.9933952081568055
907.343634,0.991716796356938
907.825751,0.992163466990683
908.307867,0.9920474898603872
908.789984,0.9908037465854403
909.272101,0.989697438738387
909.754217,0.9889801681373125
910.236334,0.9880865340487821
910.718451,0.9873299495725494
911.200567,0.9877881769696859
911.682684,0.9869765487131307
912.164801,0.9856982556188436
912.646917,0.9858303480350908
913.129034,0.9857258555563982
913.61115,0.9840230080879911
914.093267,0.9842897144602643
914.575384,0.9850754911355981
915.0575,0.98532277611684
915.539617,0.9864200508867951
916.021734,0.9882703352370957
916.50385,0.9875057099457824
916.985967,0.9876489086553801
917.468084,0.9888980861898051
917.9502,0.9885045830638179
918.432317,0.9874207881064185
918.914433,0.9887527288551611
919.39655,0.9897726586020498
919.878667,0.9884057375478698
920.360783,0.985339526746414
920.8429,0.9814825935125575
921.325017,0.9747258763271829
921.807133,0.9641561655820645
922.28925,0.964653798541767
922.771367,0.9723134957795745
923.253483,0.9757518275047798
923.7356,0.9790035600926156
924.217716,0.9802790528934845
924.699833,0.9778460836633236
925.18195,0.9747054072987056
925.664066,0.9742366867341277
926.146183,0.9724836655307549
926.6283,0.9707968984248583
927.110416,0.9693466413989534
927.592533,0.9662129731209949
928.07465,0.96375901506047
928.556766,0.9629969831029288
929.038883,0.9604522612373665
929.520999,0.9566630876844229
930.003116,0.9539051842993547
930.485233,0.9519078929256338
930.967349,0.9486418014909647
931.449466,0.9453216868967343
931.931583,0.9419481955747597
932.413699,0.9395229805718884
932.895816,0.9381682266009911
933.377933,0.9360101111988671
933.860049,0.9301094607776452
934.342166,0.9251355607918798
934.824282,0.9239595364685877
935.306399,0.9225321986416395
935.788516,0.9165267729162682
936.270632,0.9106241822888652
936.752749,0.9077175654807197
937.234866,0.9053804833900955
937.716982,0.9020548062103673
938.199099,0.8966497153923099
938.681216,0.8904128922134552
939.163332,0.8879676205494366
939.645449,0.8873285139686194
940.127565,0.8834063426755022
940.609682,0.8745201001967794
941.091799,0.8713077805214668
941.573915,0.8708896531454148
942.056032,0.8707677371282948
942.538149,0.8659916608236132
943.020265,0.8586447541387279
943.502382,0.8559956368424979
943.984499,0.8573748998265843
944.466615,0.8593233515051645
944.948732,0.8534058955023416
945.430848,0.846546624310635
945.912965,0.8483177569443394
946.395082,0.8520330174739488
946.877198,0.8537900145756271
947.359315,0.8474190165385456
947.841432,0.8437238752005725
948.323548,0.8439854701470064
948.805665,0.8486401789482793
949.287782,0.8503901795987241
949.769898,0.8449143649626532
950.252015,0.8444497898317959
950.734131,0.8455567439531213
951.216248,0.8459288707823595
951.698365,0.8525273399637482
952.180481,0.8648925494977889
952.662598,0.8620431082483753
953.144715,0.8388360523604862
953.626831,0.8437238752005725
954.108948,0.8615088071717104
954.591065,0.8658184798101272
955.073181,0.8787718247805868
955.555298,0.8909651193793593
956.037414,0.89701741714933
956.519531,0.8963090532303708
957.001648,0.8856530468923505
957.483764,0.8564066133746593
957.965881,0.8146310236280146
958.447998,0.7945812759496733
958.930114,0.8273561696085917
959.412231,0.8429985845875656
959.894348,0.8300079499370125
960.376464,0.8646850001928222
960.858581,0.8865657394866461
961.340697,0.8827970025455766
961.822814,0.8778320418016284
962.304931,0.8708286930033244
962.787047,0.8598820932550392
963.269164,0.85352538069148
963.751281,0.8480548191971432
964.233397,0.8422486496178462
964.715514,0.8387773358919214
965.19763,0.8332929649727565
965.679747,0.8250840657169177
966.161864,0.8216917124125664
966.64398,0.8223986712339623
967.126097,0.8229910114941553
967.608214,0.8177733982586601
968.09033,0.8186406976482827
968.572447,0.8238061760354038
969.054564,0.8280431602910611
969.53668,0.8282419144990819
970.018797,0.8316363608402657
970.500913,0.8390961318469555
970.98303,0.8482923077933703
971.465147,0.855790222540358
971.947263,0.8563466670098704
972.42938,0.8597961093449809
972.911497,0.8711335363903564
973.393613,0.8816765619826977
973.87573,0.8860782623984161
974.357847,0.886991393190316
974.839963,0.8947418840601962
975.32208,0.9051315379887247
975.804196,0.913445103189962
976.286313,0.9139787109285187
976.76843,0.9162747627067082
977.250546,0.9259305936563286
977.732663,0.9395229805718884
978.21478,0.9439576274687832
978.696896,0.9413333041869372
979.179013,0.9459391835489926
979.66113,0.958210305049044
980.143246,0.9648197332650933
980.625363,0.9605838522109319
981.107479,0.9595287504419703
981.589596,0.9686576808914029
982.071713,0.9764360693346023
982.553829,0.9748759956710301
983.035946,0.9710541936930582
983.518063,0.9766811855488032
984.000179,0.9866005822742255
984.482296,0.9875224976855469
984.964413,0.9800800764425401
985.446529,0.9823024737304947
985.928646,0.9915089542990301
986.410762,0.996513990289842
986.892879,0.9897795870349094
987.374996,0.988902041790061
987.857112,0.9965551471675247
988.339229,1.0
988.821346,0.9991764792794705
989.303462,0.9957163013237085
989.785579,1.0
990.267696,1.0
990.749812,1.0
991.231929,1.0
991.714045,1.0
992.196162,1.0
992.678279,1.0
993.160395,1.0
993.642512,1.0
994.124629,1.0
994.606745,1.0
995.088862,1.0
995.570979,1.0
996.053095,1.0
996.535212,1.0
997.017328,1.0
997.499445,1.0
997.981562,1.0
998.463678,1.0
998.945795,1.0
999.427912,1.0
999.910028,1.0
1000.392145,1.0
1000.874262,1.0
1001.356378,1.0
1001.838495,1.0
1002.320611,1.0
1002.802728,1.0
1003.284845,1.0
1003.766961,1.0
1004.249078,1.0
1004.731195,1.0
1005.213311,1.0
1005.695428,1.0
1006.177545,1.0
1006.659661,1.0
