nu,[0]Glycoaldehyde-HITRAN(x-sec)-X=0.01-T=298.1K-P=0.0atm-L=15cm
601.785436,0.9999929836246149
601.904038,0.9999931851232213
602.02264,0.9999921512308018
602.141243,0.9999917207342733
602.259845,0.9999907529427543
602.378448,0.9999914805362908
602.49705,0.9999926193272373
602.615652,0.9999924855282338
602.734255,0.9999914460365854
602.852857,0.9999936492201663
602.971459,0.9999927784260757
603.090062,0.9999947357138564
603.208664,0.9999924858282315
603.327267,0.9999928008259141
603.445869,0.9999932390228555
603.564471,0.9999907687426083
603.683074,0.999994156217075
603.801676,0.9999934170216679
603.920278,0.9999938702187872
604.038881,0.9999902294477322
604.157483,0.9999926557269693
604.276086,0.9999936324202732
604.394688,0.9999917502340295
604.51329,0.9999939736181587
604.631893,0.9999910601399608
604.750495,0.9999920829313401
604.869097,0.9999921106311213
604.9877,0.9999928479255762
605.106302,0.9999929409249154
605.224904,0.9999941333172091
605.343507,0.999993620520349
605.462109,0.9999941489171177
605.580712,0.9999929821246254
605.699314,0.9999928204257733
605.817916,0.9999931527234427
605.936519,0.999992123731018
606.055121,0.9999938622188362
606.173723,0.9999917959336535
606.292326,0.9999925218279617
606.410928,0.9999937310196502
606.529531,0.9999935369208858
606.648133,0.9999923382293515
606.766735,0.9999930794239473
606.885338,0.9999948439132926
607.00394,0.9999939050185744
607.122542,0.9999937025198292
607.241145,0.9999945489148572
607.359747,0.9999942554165002
607.47835,0.9999932438228231
607.596952,0.9999925407278205
607.715554,0.9999926825267729
607.834157,0.9999951987115262
607.952759,0.9999946082145357
608.071361,0.9999936277203031
608.189964,0.9999918127335159
608.308566,0.9999944314155046
608.427169,0.9999927272264467
608.545771,0.9999941232172683
608.664373,0.9999932812225711
608.782976,0.9999940844174972
608.901578,0.9999941280172402
609.02018,0.999993415021681
609.138783,0.9999934723213054
609.257385,0.9999942204167018
609.375988,0.9999939501183006
609.49459,0.9999946313144115
609.613192,0.9999940165179011
609.731795,0.9999940595176448
609.850397,0.9999944580153568
609.968999,0.9999941998168211
610.087602,0.9999942023168066
610.206204,0.999993248122794
610.324806,0.9999942728164004
610.443409,0.9999940728175658
610.562011,0.9999958654085475
610.680614,0.9999933560220713
610.799216,0.9999950117124415
610.917818,0.9999942187167117
611.036421,0.9999941890168839
611.155023,0.9999951818116075
611.273625,0.9999947406138306
611.392228,0.9999942813163517
611.51083,0.9999950739121332
611.629433,0.9999948359133339
611.748035,0.9999949861125695
611.866637,0.9999950140124301
611.98524,0.9999944820152241
612.103842,0.9999940370177787
612.222444,0.9999952463112988
612.341047,0.9999953608107611
612.459649,0.9999952044114989
612.578252,0.9999946240144507
612.696854,0.9999959952080192
612.815456,0.9999940303178186
612.934059,0.9999949046129816
613.052661,0.9999949422127906
613.171263,0.9999960323078713
613.289866,0.9999945916146253
613.408468,0.9999954040105616
