nu,[0]Isopropylamine-HITRAN(x-sec)-X=0.01-T=278.1K-P=1.0atm-L=15cm
707.027976,0.9555673797465025
707.26903,0.9553361604192708
707.510084,0.9548805737368129
707.751138,0.9546714777880067
707.992192,0.9541379655624829
708.233246,0.9539738679452058
708.4743,0.9534989072340021
708.715354,0.9539318940184494
708.956408,0.9537916763362807
709.197462,0.9541818569183922
709.438516,0.9531576157200384
709.67957,0.9530746946145913
709.920624,0.9530022636902105
710.161678,0.9528374085589721
710.402732,0.9523534900811244
710.643786,0.9523953945565796
710.88484,0.9520754434588031
711.125894,0.9519212197294222
711.366948,0.9516842208532942
711.608002,0.9518098514618846
711.849056,0.9512826948400416
712.09011,0.9514244465218108
712.331164,0.9514948545359179
712.572218,0.9510049608442851
712.813272,0.9509431475307847
713.054326,0.9504887053266045
713.29538,0.9504906063059161
713.536434,0.9503024277961548
713.777488,0.9506512527926276
714.018542,0.9504811014473774
714.259596,0.9501123863153771
714.50065,0.9500525311204977
714.741704,0.9496099097797778
714.982758,0.9491209865847701
715.223812,0.9491788847308272
715.464866,0.949830244836725
715.70592,0.9493981703797174
715.946974,0.9488590653392672
716.188028,0.9491580030250628
716.429082,0.9487916987371708
716.670136,0.9484160516075115
716.91119,0.9483079383402017
717.152244,0.9482899206605416
717.393298,0.9473307366897843
717.634352,0.9467681893252984
717.875406,0.9460120236704347
718.11646,0.9446630272505192
718.357514,0.9449757624673623
718.598568,0.9455911419730244
718.839622,0.9449048919428551
719.080676,0.9447546640084734
719.32173,0.9443163995295957
719.562784,0.9444863917803545
719.803838,0.9445392844992766
720.044892,0.945023012436725
720.285946,0.9444032806348219
720.527,0.9437556421497049
720.768054,0.9433565179337985
721.009108,0.9426850871507532
721.250162,0.9423391852006591
721.491216,0.9421554469746043
721.73227,0.9419095764904378
721.973324,0.9414142623322476
722.214378,0.9408608734582694
722.455432,0.9401517317397063
722.696486,0.9402551541183242
722.93754,0.9398941654534022
723.178594,0.9398387133334941
723.419648,0.9389246950074469
723.660702,0.938800765127258
723.901756,0.9381016190214995
724.14281,0.9372595818988715
724.383864,0.9362029491434005
724.624918,0.934680985398387
724.865972,0.93200136472538
725.107026,0.930232243329938
725.34808,0.9306965450530053
725.589134,0.9261361730665906
725.830188,0.9252863701789199
726.071242,0.9303978394068644
726.312296,0.9317935515930716
726.55335,0.9318373469191786
726.794404,0.9320777919707617
727.035458,0.9320293251857265
727.276512,0.9316910599395407
727.517566,0.9311480423566019
727.75862,0.9312150874292452
727.999674,0.9312458180341825
728.240728,0.9306025494488128
728.481782,0.9303392261893175
728.722836,0.9299234574864388
728.96389,0.9288750952138758
729.204944,0.9283931341191823
729.445998,0.9272917852488513
729.687052,0.9267226028495866
729.928106,0.9252391817773553
730.16916,0.9253363369920014
730.410214,0.9251253843566815
730.651268,0.925123534107763
730.892322,0.9253455904016383
731.133376,0.9246065345670311
731.37443,0.9243476809785459
731.615484,0.9233416142567167
731.856538,0.9228532957144169
732.097592,0.9226955012926573
732.338646,0.9216681908223899
732.5797,0.9216119707774786
732.820754,0.9207718438162547
733.061808,0.9203262980746147
733.302862,0.9189780882009342
733.543916,0.9188310634691143
733.78497,0.9173244981688737
734.026024,0.9171447201860504
734.267078,0.9159257285173522
734.508132,0.9151100021533042
734.749186,0.9131400634699655
734.99024,0.9117595271929857
735.231294,0.9111288078542283
735.472348,0.9090801635219846
735.713402,0.908579398325365
735.954456,0.9069091493327525
736.19551,0.9066788236614206
736.436564,0.9060171896459455
736.677618,0.9064956930358569
736.918672,0.9058776737417403
737.159726,0.9053243515402306
737.40078,0.9052437812583742
737.641834,0.90384264410209
737.882888,0.9042313800112847
738.123942,0.9024066761949764
738.364996,0.9015317661190543
738.60605,0.9001534771768027
738.847104,0.8991278869103444
739.088158,0.8980046792027747
739.329212,0.8959774802254642
739.570266,0.8949566478829986
739.81132,0.8905642752723268
740.052374,0.8922758012199787
740.293428,0.8924185767699133
740.534482,0.8909383908267082
740.775536,0.8888649209065939
741.01659,0.888367295898893
741.257644,0.888225168502044
741.498698,0.8866810005245844
741.739752,0.886166874655195
741.980806,0.8837597758945038
742.22186,0.8834946877269487
742.462914,0.8812622713644874
742.703968,0.8802934158342212
742.945022,0.8784203863430479
743.186076,0.8769809575636683
743.42713,0.8753250288993892
743.668184,0.8724673908394857
743.909238,0.8718743146824613
744.150292,0.8683590480709295
744.391346,0.8688454653219678
744.6324,0.8674130523698507
744.873454,0.8665287421313248
745.114508,0.8652385757182185
745.355562,0.8634148470338335
745.596616,0.8626640027815233
745.83767,0.8592889792585537
746.078724,0.8588079121415336
746.319778,0.8560213170968051
746.560832,0.8551913790042701
746.801886,0.852365375156299
747.04294,0.8502966418236402
747.283994,0.848835388637691
