nu,[0]2-Methylfuran-HITRAN(x-sec)-X=0.01-T=278.1K-P=1.0atm-L=15cm
616.760335,0.9266679278289475
616.879338,0.9278817304069439
616.99834,0.9276006248322759
617.117342,0.9284386264973084
617.236345,0.9284590523717751
617.355347,0.929386117034362
617.474349,0.9305253126425804
617.593352,0.9310055876041877
617.712354,0.931108934960084
617.831357,0.9324963888673273
617.950359,0.9325364870741539
618.069361,0.9330569876400937
618.188364,0.9342642106265819
618.307366,0.9345286448138619
618.426369,0.9354561571995996
618.545371,0.9361720549558357
618.664373,0.9371461803503938
618.783376,0.9372361507022151
618.902378,0.937929962132303
619.02138,0.9383155305756269
619.140383,0.9392233205394024
619.259385,0.939111559614165
619.378388,0.9396460661442724
619.49739,0.9398311946538622
619.616392,0.9400840432518358
619.735395,0.9419585570618991
