nu,[0]Dimethylsulfate-PNNL(x-sec)-X=0.01-T=298.15K-P=1.0atm-L=15cm
561.47861,0.5959610299765067
561.598212,0.5966527458889442
561.717814,0.5957048218223177
561.837416,0.5877814992845813
561.957018,0.5957226932350422
562.07662,0.5800505639601056
562.196222,0.5977515975749083
562.315824,0.5879990186779228
562.435426,0.5979309499556927
562.555028,0.5920524796320643
562.67463,0.5955559142310866
562.794232,0.5841777359947018
562.913834,0.5821832606344807
563.033436,0.5826142356884533
563.153038,0.5897538691821868
563.27264,0.584469897897088
563.392242,0.576972888834468
563.511844,0.58012597543506
563.631446,0.5779256799375404
563.751048,0.5806889706397628
563.87065,0.5727992343592013
563.990252,0.5838857201367526
564.109854,0.5709634967520695
564.229456,0.5776194604824971
564.349058,0.5716204824677156
564.46866,0.564649553256131
564.588262,0.5677239397356092
564.707864,0.5667596289344777
564.827466,0.5636566440587968
564.947068,0.5640231399757043
565.06667,0.5591989308455925
565.186272,0.5656951217823367
565.305874,0.5576465166733475
565.425476,0.5616198957459467
565.545078,0.5602792269325155
565.66468,0.5551816064118473
565.784282,0.5627217502062396
565.903884,0.5569721724487043
566.023486,0.5479671166213408
566.143088,0.5566213904879813
566.26269,0.5594674107624237
566.382292,0.5565267728943217
566.501894,0.5560761687276017
566.621496,0.5536015914244031
566.741098,0.5561039732311448
566.8607,0.5577190154328323
566.980302,0.5502899268047037
567.099904,0.5621930402936354
567.219506,0.5585115389933045
567.339108,0.5684397227482759
567.45871,0.5688605238203037
567.578312,0.576972888834468
567.697914,0.5808399694011175
567.817516,0.5716719306262701
567.937118,0.5891820852891008
568.05672,0.5856107261440282
568.176322,0.5899485200746477
568.295924,0.5903911474292134
568.415526,0.5993677076551822
568.535128,0.595359413203843
568.65473,0.6044054689886424
568.774332,0.6032823196689947
568.893934,0.6092052744527535
569.013536,0.6121732183484588
569.133138,0.6112250848533016
569.25274,0.6133497200078596
569.372342,0.6127060407925774
569.491944,0.6221960767418422
569.611546,0.609455099825981
569.731148,0.6095526204433945
569.85075,0.6123507743261523
569.970352,0.6086207180212599
570.089954,0.6136871551400191
570.209556,0.6108828946279895
570.329158,0.6104371128450582
570.44876,0.6077510123822265
570.568362,0.6070039381818171
570.687964,0.6102295995059576
570.807566,0.6128714937587367
570.927168,0.6160913690919047
571.04677,0.6211081857897659
571.166372,0.6229992276017668
571.285974,0.6294744588689871
571.405576,0.6306905176938955
571.525178,0.6337821471989482
571.64478,0.6400173459172475
571.764382,0.6440493019403711
571.883984,0.646488415321745
572.003586,0.6479576109306566
572.123188,0.6538547807265083
572.24279,0.6539005521631407
572.362392,0.6603006614767293
572.481994,0.6608753730154835
572.601596,0.6610736653697541
572.721198,0.6650187787521171
572.8408,0.6679847066126565
572.960402,0.6656641599267732
573.080004,0.6704273058235592
573.199606,0.6716351617182258
573.319208,0.6695563165916536
573.43881,0.6708900602965109
573.558412,0.6694157245278528
573.678014,0.6730201562059074
573.797616,0.6710175415182997
573.917218,0.6737204612638709
574.03682,0.6748802575961621
574.156422,0.67196434359044
574.276024,0.6693822545783821
574.395626,0.6715142782689533
574.515228,0.6729730464438339
574.63483,0.6731547736984491
574.754432,0.6694023363472444
574.874034,0.677070415771067
574.993636,0.6759474112325332
575.113238,0.6724348833006382
575.23284,0.6759136147068918
575.352442,0.6735924665361149
575.472044,0.6780054179479482
575.591646,0.6744552169357427
575.711248,0.680226124541102
575.83085,0.6782088500866277
575.950452,0.6759676899590495
576.070054,0.6766507622193328
576.189656,0.6797909191019913
576.309258,0.6807977545367029
576.42886,0.6826725249895557
