nu,[0]Ethylacetate-PNNL(x-sec)-X=0.01-T=278.1K-P=1.0atm-L=15cm
621.452144,0.8895762973559588
621.571746,0.8884117153741655
621.691348,0.8874527486568003
621.81095,0.8864593579809257
621.930552,0.8858390535622147
622.050154,0.8842725052416598
622.169756,0.8819322852637562
622.289358,0.8821439744139014
622.40896,0.8786575918686654
622.528562,0.8795454843466759
622.648164,0.8775862832377285
622.767766,0.8760868930373772
622.887368,0.8744064199731284
623.00697,0.8745638272949575
623.126572,0.8722841919239687
623.246174,0.8709331987167023
623.365776,0.8697408371886024
623.485378,0.8674217265437453
623.60498,0.8655154963673891
623.724582,0.8652645332648512
623.844184,0.8642009121500172
623.963786,0.8620948323865788
624.083388,0.8614226605983937
624.20299,0.8604411983051111
624.322592,0.8588165002635956
624.442194,0.857212014070254
624.561796,0.8556361941632705
624.681398,0.8562781620167458
624.801,0.8545331350988632
624.920602,0.8538070905466778
625.040204,0.8515304662608252
625.159806,0.8508324974847989
625.279408,0.8507389110574235
625.39901,0.8483601738926015
625.518612,0.8487674845228008
625.638214,0.8472326048609435
625.757816,0.8451763290181222
625.877418,0.8458865753962138
625.99702,0.8448214294940517
626.116622,0.8440867544803625
626.236224,0.8439179540100761
626.355826,0.842358149059606
626.475428,0.841617199953856
626.59503,0.8420717959717092
626.714632,0.8421054795172145
626.834234,0.8405322137324888
626.953836,0.841490966841583
627.073438,0.839717292785724
627.19304,0.8412217328119359
627.312642,0.8398600568601001
627.432244,0.8400364459922514
627.551846,0.840145657828846
627.671448,0.8406919300256653
627.79105,0.8426783059822114
627.910652,0.8412049085455229
628.030254,0.8410366843867905
628.149856,0.8419623337534312
628.269458,0.8424760874559695
628.38906,0.8442724739947457
628.508662,0.8450157607700755
628.628264,0.844973511038289
628.747866,0.8460473091147588
628.867468,0.84703776376941
628.98707,0.8477580519477224
629.106672,0.8510707639398417
629.226274,0.8496931454745013
629.345876,0.8521778753994941
629.465478,0.8508750401732316
629.58508,0.8538241668592512
629.704682,0.854123057620484
629.824284,0.85662074179294
629.943886,0.8585932369990091
630.063488,0.8585760653059867
630.18309,0.8582756162647789
630.302692,0.8596585529722889
630.422294,0.8610092769413211
630.541896,0.8616035783528188
630.661498,0.864235480877873
630.7811,0.8641317788424143
630.900702,0.8643391953583228
631.020304,0.8648406575015944
631.139906,0.8637948331573452
631.259508,0.8632421813315725
631.37911,0.8645120804853309
631.498712,0.8621551811370274
631.618314,0.8599852852976285
631.737916,0.8568434921420968
631.857518,0.8553453273074225
631.97712,0.8513601771970469
632.096722,0.8475376635059549
632.216324,0.8468514359581915
