nu,[0]HFE-356mff2-HITRAN(x-sec)-X=0.01-T=296.0K-P=0.9211atm-L=15cm
602.930058,0.9820058631738765
603.171112,0.9614968404712917
603.412166,0.9845722461496724
603.65322,0.9510867507878349
603.894274,0.9437603609397126
604.135328,0.9637050460667725
604.376382,0.9579200113083368
604.617436,0.9539748219195506
604.85849,0.959735071302013
605.099544,0.9688892177446877
605.340598,0.9537582942117996
605.581652,0.961717048460612
605.822706,0.9649297289843224
606.06376,0.9696820933667213
606.304814,0.9677562802575963
606.545868,0.9774745727430768
606.786922,0.9556591186183535
607.027976,0.9578548749622287
607.26903,0.9554087687265435
607.510084,0.964379875761857
607.751138,0.9666817000700556
607.992192,0.9620190750295184
608.233246,0.9713008727851747
608.4743,0.9549636519605783
608.715354,0.9644242382564716
608.956408,0.956961613135329
609.197462,0.965976279938679
609.438516,0.9497324173597084
609.67957,0.9902772743165293
609.920624,0.9349950909762628
610.161678,0.9584259266241976
610.402732,0.9501579928044672
610.643786,0.9510905551424468
610.88484,0.9643567309225779
611.125894,0.9747346488995464
611.366948,0.9567224026346037
611.608002,0.9455069881062914
611.849056,0.9755069445301751
612.09011,0.9597475479390378
612.331164,0.9661289162488602
612.572218,0.9733641616124415
612.813272,0.9525249291383913
613.054326,0.9577428124976402
613.29538,0.9662738464557914
613.536434,0.972691799304698
613.777488,0.9616208815641909
614.018542,0.971048367385375
614.259596,0.9621547292824977
614.50065,0.9687448640058643
614.741704,0.9796665699062972
614.982758,0.9692196653060459
615.223812,0.9668953603343607
615.464866,0.9691353468630697
615.70592,0.9603811903996884
615.946974,0.9632001969046656
616.188028,0.9511799618566799
616.429082,0.9766011009751007
616.670136,0.9544719722981988
616.91119,0.966219736635479
617.152244,0.9614506897305757
617.393298,0.9507910087986029
617.634352,0.9547812713209594
617.875406,0.9753469745091724
618.11646,0.940862755181898
618.357514,0.9675966136442116
618.598568,0.9673102474308634
618.839622,0.9644184517284017
619.080676,0.9752367665279211
619.32173,0.9441842044875304
619.562784,0.9412523530037278
619.803838,0.964711679506091
620.044892,0.9570553999688961
620.285946,0.9503413909944346
620.527,0.9483041451160347
620.768054,0.9563904775532217
621.009108,0.9428566714503123
621.250162,0.9485602218040132
621.491216,0.9642477647686872
621.73227,0.9556361830747343
621.973324,0.9652443473559795
622.214378,0.9430009395572729
622.455432,0.9580416748752459
622.696486,0.9477400719780905
622.93754,0.9560405026877443
623.178594,0.949071633576657
623.419648,0.9609450996496257
623.660702,0.9529250736330911
623.901756,0.9556438281947793
624.14281,0.9604945220665924
624.383864,0.9629449826698655
624.624918,0.9661907504781744
624.865972,0.9642641571200229
625.107026,0.9598857615370813
625.34808,0.9497979511573962
625.589134,0.955462273115701
625.830188,0.9502254564168863
626.071242,0.9542267045195777
626.312296,0.9524915913492861
626.55335,0.9596371833171122
626.794404,0.956269023675057
627.035458,0.9550687037400359
627.276512,0.9521868428024224
627.517566,0.9531471310439313
627.75862,0.9598790423602677
627.999674,0.9370833936596878
628.240728,0.9658294627025209
628.481782,0.9218387152107116
628.722836,0.9265632202691914
628.96389,0.9574584051189147
629.204944,0.9347623061815193
629.445998,0.9582840900832201
629.687052,0.9461917830315305
629.928106,0.9323826312472414
630.16916,0.9360157272763826
630.410214,0.9683806844070533
630.651268,0.9397663485386478
630.892322,0.9637175743138048
631.133376,0.9195103305833031
631.37443,0.913307183392587
631.615484,0.9425474651746779
631.856538,0.9524687318254091
632.097592,0.9462826218028928
632.338646,0.9297495780581221
632.5797,0.9541866278396041
632.820754,0.9355824523055494
633.061808,0.9275403327511756
633.302862,0.9322707520443781
633.543916,0.9475287495053709
633.78497,0.9129337171336356
634.026024,0.9462949235569376
634.267078,0.9437631922250423
634.508132,0.9382423448185236
634.749186,0.9182358538087438
634.99024,0.9402175446643536
635.231294,0.9195002160252969
635.472348,0.9180476347518255
635.713402,0.9115370850074008
635.954456,0.9032282400251618
636.19551,0.9262260126325265
636.436564,0.9123751726308009
636.677618,0.9262667674736822
636.918672,0.9245418143748446
637.159726,0.9062518784889569
637.40078,0.9065056645433234
637.641834,0.9246989998436747
637.882888,0.9118169698526236
638.123942,0.9232557474794578
638.364996,0.933459221877018
638.60605,0.9262547260839743
638.847104,0.9151035964057093
639.088158,0.9027225738105026
639.329212,0.9249487022819446
639.570266,0.9184112536069687
639.81132,0.9211365416718155
640.052374,0.9073164429713823
640.293428,0.9201100468050866
640.534482,0.8981483714465202
640.775536,0.9258278210644171
641.01659,0.9051595975013226
641.257644,0.9141048486939325
641.498698,0.9122693432489986
641.739752,0.9080344141979576
641.980806,0.9009549703830616
642.22186,0.900891905742423
642.462914,0.8886693921329482
