nu,[0]Ethylbenzoate-HITRAN(x-sec)-X=0.01-T=323.1K-P=1.0atm-L=15cm
617.820698,0.976823791411868
617.9403,0.9753030848828435
618.059902,0.9749920128173982
618.179504,0.9731490719010137
618.299106,0.9732872688809769
618.418708,0.9797576831339978
618.53831,0.981672037933904
618.657912,0.9848844050262697
618.777514,0.9833934348477412
618.897116,0.9857159983471289
619.016718,0.986275057796568
619.13632,0.9889722563276148
619.255922,0.9868216055583385
619.375524,0.9851099693811537
619.495126,0.9855238024671584
619.614728,0.9853543069501665
619.73433,0.9852538059364964
619.853932,0.9852597174770665
619.973534,0.9858964008811548
620.093136,0.9848755411065122
620.212738,0.9826974387075758
620.33234,0.9850331338001685
620.451942,0.9794696767141746
620.571544,0.9783664361813296
620.691146,0.9808634733490051
620.810748,0.9807124320045914
620.93035,0.9818006453944781
621.049952,0.9811715128393057
621.169554,0.9809419455657199
621.289156,0.9801496645983179
621.408758,0.9790388048551808
621.52836,0.9787099030753428
621.647962,0.9774364519780996
621.767564,0.9777091947940552
621.887166,0.978325345653917
622.006768,0.9812294036663258
622.12637,0.9780260238967114
622.245972,0.9808948614823597
622.365574,0.9778323939139807
622.485176,0.9790378258168655
622.604778,0.9796009344449259
622.72438,0.9825549579090707
622.843982,0.9831997254220811
622.963584,0.985216367003215
623.083186,0.9817122873125659
623.202788,0.983797692618745
623.32239,0.9857021984197517
623.441992,0.9840535132740699
623.561594,0.9841263359284571
623.681196,0.9878089207392111
623.800798,0.9907313214787349
623.9204,0.9904359294438113
624.040002,0.9877970671032842
624.159604,0.9926613602881625
624.279206,0.9883217266306927
624.398808,0.9913683682970936
624.51841,0.9890642350243963
624.638012,0.9916145556258338
624.757614,0.9912175926350554
624.877216,0.9930411258840128
624.996818,0.9927433575029607
625.11642,0.9912701285596548
625.236022,0.9913966226982134
625.355624,0.9943434588159515
625.475226,0.9950969593382972
625.594828,0.9953138145912588
625.71443,0.9956837419330041
625.834032,0.9957876967420086
625.953634,0.997182676126684
626.073236,0.9969200527988029
626.192838,0.9973549044463383
626.31244,0.9967277654673273
626.432042,0.995967253450282
626.551644,0.9987652629158985
626.671246,0.9968572488138229
626.790848,0.9981900399568152
626.91045,0.9963952129014725
627.030052,0.994471836843108
627.149654,0.9970589334349694
627.269256,0.9989387635101573
627.388858,0.9976124547309774
627.50846,0.9972489909795909
627.628062,0.99852339126106
627.747664,0.9987308061087112
627.867266,0.9966305892476119
627.986868,0.9984807552225391
628.10647,1.0
628.226072,0.9997465721182722
628.345674,0.9996973857969174
628.465276,0.9984189511766457
628.584878,0.9968487755632193
628.70448,1.0
628.824082,0.9998471616809661
628.943684,0.9999004039600149
629.063286,0.9995107597170757
629.182888,1.0
629.30249,0.9983988831574113
629.422092,1.0
629.541694,0.9987992215121304
629.661296,0.9998752277847004
629.780898,0.998670384722707
629.9005,0.9981935336280691
630.020102,0.99952715182795
630.139704,1.0
630.259306,0.996906594468934
630.378908,0.9985887966851918
630.49851,0.9989842162579392
630.618112,0.9981151785111578
630.737714,0.9965049220537909
630.857316,0.9994395671012162
630.976918,0.99923939940339
631.09652,0.998316119320606
631.216122,0.9988415714969359
631.335724,0.9992571560452848
631.455326,0.9997799942048251
631.574928,0.9991827441356359
631.69453,0.9977199033783577
631.814132,0.9998074385423379
631.933734,0.9999259507417817
632.053336,1.0
632.172938,0.9999874990781372
632.29254,0.9995667638738845
632.412142,0.998932270429297
632.531744,0.9998142972448916
632.651346,0.9996144343495471
632.770948,0.9997362247947983
632.89055,1.0
633.010152,1.0
633.129754,0.9989096948150907
633.249356,0.997938028789475
633.368958,1.0
633.48856,0.9989772233929004
633.608162,0.999912105862916
633.727764,0.9985712216770307
633.847366,1.0
633.966968,1.0
634.08657,0.9992026780302213
634.206172,0.9997207689922366
634.325774,0.9991497516661332
634.445376,0.9992861149372793
634.564978,0.99745883424203
634.68458,1.0
634.804182,1.0
634.923784,1.0
635.043386,0.998005391879897
635.162988,0.9988495622614709
635.28259,0.9986884608202586
635.402192,0.9989229804023807
635.521794,0.9984386202237234
635.641396,0.9989678330511352
635.760998,0.9989250781428423
635.8806,0.9996087165713355
636.000202,0.9987621667483825
636.119804,0.9990013389941473
636.239406,0.9999750863103511
636.359008,0.9990953594342225
636.47861,0.9988165008881288
636.598212,1.0
636.717814,0.9984033759624944
636.837416,0.9983181159548413
636.957018,0.99987246813288
637.07662,0.9992445754768849
637.196222,0.9996909177757554
637.315824,0.9989838166643327
637.435426,0.9995247629609119
637.555028,0.9974222281745387
637.67463,0.9950061111331933
637.794232,0.9971303254104056
637.913834,0.9994793355927801
638.033436,0.9998812870469403
638.153038,0.9989046003886379
638.27264,1.0
638.392242,0.9992286076761518
638.511844,0.9985647309851846
638.631446,0.9970708982139592
638.751048,0.9999855611042419
638.87065,0.9999756532963858
638.990252,0.9991637998103998
639.109854,0.9974275145263569
639.229456,0.9978275631640732
639.349058,0.9986336343287606
639.46866,0.9989523491697233
639.588262,0.9983737238225647
639.707864,0.9992389897153202
639.827466,0.9979336378718083
639.947068,0.9996850696009922
640.06667,0.9998592599048165
640.186272,0.9980474087913449
640.305874,0.9999511211946077
640.425476,0.9964801093901507
640.545078,0.9998340337739181
640.66468,0.9996491015792567
640.784282,0.9991846925438866
640.903884,0.9985681261110416
641.023486,0.9947524169222409
641.143088,0.9974948431559031
641.26269,0.9969735888430681
641.382292,0.9966120520910481
641.501894,0.997357497572461
641.621496,0.9972599607788254
641.741098,0.9975810304335886
641.8607,0.9992854054443895
641.980302,0.9993587157107205
642.099904,0.9952760929125162
642.219506,0.9989417603309431
642.339108,0.9979806416530824
642.45871,0.9982422466610984
642.578312,0.9979442160244338
642.697914,0.9976576475987874
642.817516,0.9997629381036129
642.937118,0.9987444888144812
643.05672,0.9958985340806394
643.176322,0.9985961862696288
643.295924,0.9972014233372184
643.415526,0.997473596742019
643.535128,0.9978145914900681
643.65473,0.9984631821158909
643.774332,0.9993988807446159
643.893934,0.9967996321299796
644.013536,0.9997270872474623
644.133138,0.9986266439177868
644.25274,0.9973255826431803
644.372342,0.9974600311933493
644.491944,0.9970818660541626
644.611546,0.9979152760618006
644.731148,0.9988721365166662
644.85075,0.9962298250237045
644.970352,0.9969408886456402
645.089954,0.996288205801991
645.209556,0.9975424247947348
645.329158,0.9960994270743408
645.44876,0.9992471935011022
645.568362,0.9984353253817131
645.687964,0.996183003322247
645.807566,0.9977050374625487
