nu,[0]Allyl2-2-2-trifluoroacetate-HITRAN(x-sec)-X=0.01-T=298.0K-P=0.0atm-L=15cm
729.214968,0.9999727953700527
729.33417,0.9999720823897037
729.453372,0.9999713844094338
729.572574,0.9999707044291236
729.691776,0.9999700214493658
729.810978,0.9999693654692469
729.93018,0.9999687174893079
730.049382,0.9999680735096612
730.168584,0.9999674535296479
730.287786,0.999966851549422
730.406988,0.9999662755686815
730.52619,0.9999656985883069
730.645392,0.9999651476073588
730.764594,0.9999646216258294
730.883796,0.9999641406429621
731.002998,0.999963684659418
731.1222,0.9999632526751995
731.241402,0.9999628676894213
731.360604,0.9999625067028912
731.479806,0.9999621707155454
731.599008,0.9999618557275113
731.71821,0.9999615677385383
731.837412,0.9999612797496482
731.956614,0.9999610117600611
732.075816,0.9999607467704282
732.195018,0.9999605067798778
732.31422,0.9999602907884316
732.433422,0.9999600927963136
732.552624,0.9999599248030322
732.671826,0.9999597748090547
732.791028,0.9999596548138889
732.91023,0.9999595518180497
733.029432,0.9999594558219373
733.148634,0.9999593838248592
733.267836,0.999959287828763
733.387038,0.9999591668336965
733.50624,0.9999590188397507
733.625442,0.9999588508466496
733.744644,0.9999586458551062
733.863846,0.999958417864561
733.983048,0.9999581538755735
734.10225,0.9999578648877088
734.221452,0.9999575659003519
734.340654,0.9999572299146662
734.459856,0.9999568929291365
734.579058,0.9999565569436769
734.69826,0.999956195959425
734.817462,0.9999558349753034
734.936664,0.9999554979902439
735.055866,0.9999551690049391
735.175068,0.9999548620187493
735.29427,0.9999545980307006
735.413472,0.9999543870403027
735.532674,0.9999542280475677
735.651876,0.9999541370517372
735.771078,0.9999541160527005
735.89028,0.9999541440514161
736.009482,0.9999542210478882
736.128684,0.9999543410424019
736.247886,0.9999545100346998
736.367088,0.9999546790270263
736.48629,0.9999548470194265
736.605492,0.9999550400107307
736.724694,0.9999552080031915
736.843896,0.9999553519967518
736.963098,0.9999554969902883
737.0823,0.9999556169849552
737.201502,0.9999557149806104
737.320704,0.9999558109763637
737.439906,0.9999558619741113
737.559108,0.9999558909728318
737.67831,0.9999558949726554
737.797512,0.99995587197367
737.916714,0.9999558239757893
738.035916,0.9999557509790168
738.155118,0.9999556619829589
738.27432,0.9999555409883312
738.393522,0.9999554449926038
738.512724,0.9999553489968858
738.631926,0.9999552680005057
738.751128,0.999955220002654
738.87033,0.9999551860041771
738.989532,0.9999551860041771
739.108734,0.9999552230025197
739.227936,0.9999552710003715
739.347138,0.9999553549966178
739.46634,0.999955451992292
739.585542,0.9999555829864648
739.704744,0.9999557619785301
739.823946,0.9999559639696145
739.943148,0.9999562129586804
740.06235,0.9999565349446329
740.181552,0.9999569119283176
740.300754,0.9999573519094557
740.419956,0.9999578648877088
740.539158,0.9999584308640205
740.65836,0.9999590558382351
740.777562,0.9999597098116715
740.896764,0.9999603877845845
741.015966,0.9999611097562452
741.135168,0.9999618347283125
741.25437,0.999962603699259
741.373572,0.999963372670797
741.492774,0.9999641656420659
741.611976,0.9999649616138586
741.731178,0.999965802584745
741.85038,0.9999666205571061
741.969582,0.9999674615293875
742.088784,0.9999683025023763
742.207986,0.9999691204767823
