nu,[0]Methylisothiocyanate-HITRAN(x-sec)-X=0.01-T=278.1K-P=1.0atm-L=15cm
652.157043,0.9601056005470792
652.275046,0.9587863625303122
652.393048,0.9618363087686075
652.51105,0.9612651476528441
652.629053,0.9622615343850216
652.747055,0.9626648064475261
652.865057,0.9595038030187767
652.98306,0.9564306467968271
653.101062,0.9594577479415625
653.219064,0.9577399392735125
653.337067,0.9532338713794818
653.455069,0.9591421382631286
653.573071,0.9586550177959653
653.691074,0.9605684829922506
653.809076,0.9543946631995034
653.927079,0.9516528157921923
654.045081,0.9513892444685316
654.163083,0.9556142036952874
654.281086,0.9500031296733282
654.399088,0.9536934408528324
654.51709,0.9493298161722311
654.635093,0.9486019593719924
654.753095,0.950734913783903
654.871097,0.9443343417116369
654.9891,0.9503033780990577
655.107102,0.9436367364300117
655.225105,0.9454228417289193
655.343107,0.9466574239270494
655.461109,0.944756553519691
655.579112,0.9444920587157061
655.697114,0.9423976120413549
655.815116,0.940655788142967
655.933119,0.9369241030228534
656.051121,0.9393473062005872
656.169123,0.9407018814058618
656.287126,0.9389988729883442
656.405128,0.9370562186353115
656.52313,0.9324106031457552
656.641133,0.9398913457751354
656.759135,0.9315289597982325
656.877138,0.9338868441186561
656.99514,0.9305057718161943
657.113142,0.9311741148668012
657.231145,0.9281768437177428
657.349147,0.9293117691189555
657.467149,0.9205168253372076
657.585152,0.9262695462781528
657.703154,0.9232852921360891
657.821156,0.9246758826576446
657.939159,0.9219677816652821
658.057161,0.9205867872744531
658.175164,0.9225358887778143
658.293166,0.9187704226200953
658.411168,0.9169576417457822
658.529171,0.9161519901144529
658.647173,0.9155905610401046
658.765175,0.9141395853381749
658.883178,0.9131647185845218
659.00118,0.9114331757026529
659.119182,0.9113055839896829
659.237185,0.9064240827047523
659.355187,0.9139302713404999
659.473189,0.9104821359963271
659.591192,0.9086384579056718
659.709194,0.9066733836047988
659.827197,0.9034360064125863
659.945199,0.9018834320782454
660.063201,0.8993167235937534
660.181204,0.8984807478297944
660.299206,0.8956818564375976
660.417208,0.8980944841608681
660.535211,0.8933471748770722
660.653213,0.8917227616831944
660.771215,0.8927309779387983
660.889218,0.891865448739724
661.00722,0.8923025698955435
661.125223,0.8884205995357399
661.243225,0.887825557095528
661.361227,0.8912235367326844
661.47923,0.8895940890598224
