nu,[0]HFC-272ca-HITRAN(x-sec)-X=0.01-T=296.0K-P=0.9211atm-L=15cm
546.357188,1.0
546.598242,1.0
546.839296,1.0
547.08035,1.0
547.321404,1.0
547.562458,1.0
547.803512,1.0
548.044566,1.0
548.28562,1.0
548.526674,1.0
548.767728,1.0
549.008782,1.0
549.249836,1.0
549.49089,1.0
549.731944,1.0
549.972998,1.0
550.214052,1.0
550.455106,1.0
550.69616,1.0
550.937214,1.0
551.178268,1.0
551.419322,1.0
551.660376,1.0
551.90143,1.0
552.142484,1.0
552.383538,1.0
552.624592,1.0
552.865646,1.0
553.1067,1.0
553.347754,1.0
553.588808,1.0
553.829862,1.0
554.070916,1.0
554.31197,1.0
554.553024,1.0
554.794078,1.0
555.035132,1.0
555.276186,1.0
555.51724,1.0
555.758294,1.0
555.999348,1.0
556.240402,1.0
556.481456,1.0
556.72251,1.0
556.963564,1.0
557.204618,1.0
557.445672,1.0
557.686726,1.0
557.92778,1.0
558.168834,1.0
558.409888,1.0
558.650942,1.0
558.891996,1.0
559.13305,1.0
559.374104,1.0
559.615158,1.0
559.856212,1.0
560.097266,1.0
560.33832,1.0
560.579374,1.0
560.820428,1.0
561.061482,1.0
561.302536,1.0
561.54359,1.0
561.784644,1.0
562.025698,1.0
562.266752,1.0
562.507806,1.0
562.74886,1.0
562.989914,1.0
563.230968,1.0
563.472022,1.0
563.713076,1.0
563.95413,1.0
564.195184,1.0
564.436238,1.0
564.677292,1.0
564.918346,1.0
565.1594,1.0
565.400454,1.0
565.641508,1.0
565.882562,1.0
566.123616,1.0
566.36467,1.0
566.605724,1.0
566.846778,1.0
567.087832,1.0
567.328886,1.0
567.56994,1.0
567.810994,1.0
568.052048,1.0
568.293102,1.0
568.534156,1.0
568.77521,1.0
569.016264,1.0
569.257318,1.0
569.498372,1.0
569.739426,1.0
569.98048,1.0
570.221534,1.0
570.462588,1.0
570.703642,1.0
570.944696,1.0
571.18575,1.0
571.426804,1.0
571.667858,1.0
571.908912,1.0
572.149966,1.0
572.39102,1.0
572.632074,1.0
572.873128,1.0
573.114182,1.0
573.355236,1.0
573.59629,1.0
573.837344,1.0
574.078398,1.0
574.319452,1.0
574.560506,1.0
574.80156,1.0
575.042614,1.0
575.283668,1.0
575.524722,1.0
575.765776,1.0
576.00683,1.0
576.247884,1.0
576.488938,1.0
576.729992,1.0
576.971046,1.0
577.2121,1.0
577.453154,1.0
577.694208,1.0
577.935262,1.0
578.176316,1.0
578.41737,1.0
578.658424,1.0
578.899478,1.0
579.140532,1.0
579.381586,1.0
579.62264,1.0
579.863694,1.0
580.104748,1.0
580.345802,1.0
580.586856,1.0
580.82791,1.0
581.068964,1.0
581.310018,1.0
581.551072,1.0
581.792126,1.0
582.03318,1.0
582.274234,1.0
582.515288,1.0
582.756342,1.0
582.997396,1.0
583.23845,1.0
583.479504,1.0
583.720558,1.0
583.961612,1.0
584.202666,1.0
584.44372,1.0
584.684774,1.0
584.925828,1.0
585.166882,1.0
585.407936,1.0
585.64899,1.0
585.890044,1.0
586.131098,1.0
586.372152,1.0
586.613206,1.0
586.85426,1.0
587.095314,1.0
587.336368,1.0
587.577422,1.0
587.818476,1.0
588.05953,1.0
588.300584,1.0
588.541638,1.0
588.782692,1.0
589.023746,1.0
589.2648,1.0
589.505854,1.0
589.746908,1.0
589.987962,1.0
590.229016,1.0
590.47007,1.0
590.711124,1.0
590.952178,1.0
591.193232,1.0
591.434286,1.0
591.67534,1.0
591.916394,1.0
592.157448,1.0
592.398502,1.0
592.639556,1.0
592.88061,1.0
593.121664,1.0
593.362718,1.0
593.603772,1.0
593.844826,1.0
594.08588,1.0
594.326934,1.0
594.567988,1.0
594.809042,1.0
595.050096,1.0
595.29115,1.0
595.532204,1.0
595.773258,1.0
596.014312,1.0
596.255366,1.0
596.49642,1.0
596.737474,1.0
596.978528,1.0
597.219582,1.0
597.460636,1.0
597.70169,1.0
597.942744,1.0
598.183798,1.0
598.424852,1.0
598.665906,1.0
598.90696,1.0
599.148014,1.0
599.389068,1.0
599.630122,1.0
599.871176,1.0
600.11223,1.0
600.353284,1.0
600.594338,1.0
600.835392,1.0
601.076446,1.0
601.3175,1.0
601.558554,1.0
601.799608,1.0
602.040662,1.0
602.281716,1.0
602.52277,1.0
