nu,[0]2-3-Dimethylfuran-HITRAN(x-sec)-X=0.01-T=278.1K-P=1.0atm-L=15cm
596.856737,0.945368954162751
596.97654,0.9455041515895819
597.096342,0.9438481347346982
597.216144,0.9430301730395158
597.335947,0.9410848249953283
597.455749,0.9433253876823586
597.575552,0.9401366894323372
597.695354,0.9413003580978505
597.815156,0.9395859307203932
597.934959,0.9380115655887074
598.054761,0.9367648394631257
598.174563,0.9346080831247515
598.294366,0.9329711503458069
598.414168,0.932834013666499
598.533971,0.932213885262958
598.653773,0.9289577687762688
598.773575,0.9267745007684745
598.893378,0.9229354333128044
599.01318,0.919243711249106
599.132983,0.914305059578088
599.252785,0.9100725112076186
599.372587,0.9079463391314901
599.49239,0.9074117161996512
599.612192,0.9010630914666429
599.731995,0.8941247251045201
599.851797,0.8852545926801706
599.971599,0.8734188987731173
600.091402,0.8613537495420248
600.211204,0.8539693293060757
600.331007,0.8517348580987673
600.450809,0.8494042989117382
600.570611,0.843529841024062
600.690414,0.8313370256339331
600.810216,0.8175444537608733
600.930019,0.7982846826302983
601.049821,0.7730125461969294
601.169623,0.7426280242025729
601.289426,0.7402924264240831
601.409228,0.757766491126209
601.529031,0.7559802707762086
601.648833,0.746454959044013
601.768635,0.7311694795023992
601.888438,0.7126178336156415
602.00824,0.7025490908515607
602.128043,0.7046951366348452
602.247845,0.7017556587524623
602.367647,0.6921933187661787
602.48745,0.6869182427691671
602.607252,0.6906997947842263
602.727055,0.7017626763441377
602.846857,0.713630469740868
602.966659,0.7242272895655165
603.086462,0.7343423075641468
603.206264,0.7450603925966174
603.326067,0.7554588243090925
603.445869,0.7683960412808134
603.565671,0.7802663057032078
603.685474,0.7941046701801325
603.805276,0.8085360598758113
603.925079,0.8209689417713684
604.044881,0.831453420965005
604.164683,0.8408096351350344
604.284486,0.8509686415756333
604.404288,0.8594952333630784
604.52409,0.867543174086591
604.643893,0.8731569124034056
604.763695,0.876823115197546
604.883498,0.8825763308800477
605.0033,0.8859010644663203
605.123102,0.8874882474767183
605.242905,0.890101302232608
605.362707,0.8921687345479612
605.48251,0.8903772764100875
605.602312,0.8915890133003215
605.722114,0.8931953187654783
605.841917,0.8920706013845838
605.961719,0.8919368008296686
606.081522,0.8904128922134552
606.201324,0.889709743808796
606.321126,0.8886249597741597
606.440929,0.887071226008126
606.560731,0.8857416166254526
606.680534,0.884944807788251
606.800336,0.8833445063958101
606.920138,0.8818793709140867
607.039941,0.8785873020729453
607.159743,0.8780515272466163
607.279546,0.8757628008477059
607.399348,0.8739868056070458
607.51915,0.8713862017506161
607.638953,0.8694538700645099
607.758755,0.8659483623230436
607.878558,0.8609748372590418
607.99836,0.854123057620484
608.118162,0.8492429274257216
608.237965,0.851564528160709
608.357767,0.8504837276635292
608.47757,0.8497526260764813
608.597372,0.8461657640296855
608.717174,0.8441036363842706
608.836977,0.842720440950876
608.956779,0.8424423890864431
609.076582,0.8401372564142747
609.196384,0.8380814395400673
609.316186,0.8363818598748111
609.435989,0.8342851738482661
609.555791,0.832019001566872
609.675594,0.8309380796163328
609.795396,0.8298751592885577
609.915198,0.8279024049183572
610.035001,0.826537492312806
610.154803,0.8240039132451684
610.274605,0.823098007280225
610.394408,0.8203944646025952
610.51421,0.8184442474558132
610.634013,0.8165558232139246
610.753815,0.8152585310755714
610.873617,0.8129790000213293
610.99342,0.8123288769052318
611.113222,0.8106166699885019
611.233025,0.8098226547829116
611.352827,0.8084228727507123
611.472629,0.8061785781793199
611.592432,0.8070577919139713
611.712234,0.8055822267087248
611.832037,0.8057272445607475
611.951839,0.8047931428407986
612.071641,0.8048494803325866
612.191444,0.8042058582314875
612.311246,0.8039324747175198
612.431049,0.8035306089549739
612.550851,0.8030486351961877
612.670653,0.8030165138932103
612.790456,0.802406453195081
612.910258,0.8027595897188248
613.030061,0.8021015966692752
613.149863,0.8024545990266332
613.269665,0.801299895989754
613.389468,0.802085554797761
613.50927,0.8018209102334325
613.629073,0.8022620330317105
613.748875,0.8026391848109607
613.868677,0.8022138987537714
613.98848,0.8028800126887795
614.108282,0.8029522751416831
614.228085,0.8037556290268212
614.347887,0.8040611142043591
614.467689,0.8039887519604305
614.587492,0.8042943257415168
614.707294,0.8060899034129217
614.827097,0.8051634328466772
614.946899,0.8068641212853169
615.066701,0.8056627889594411
615.186504,0.8076713889731739
615.306306,0.8082692869959984
615.426109,0.8092236076931321
615.545911,0.8099684359806868
615.665713,0.8098145565968549
615.785516,0.8112735354858049
615.905318,0.8108436744352382
616.025121,0.8121745490802275
616.144923,0.8110139694872243
616.264725,0.8127188883614076
616.384528,0.8137272848595954
616.50433,0.81391446365985
616.624132,0.8146961967167937
616.743935,0.8158049373170428
