nu,[0]HFE-263m1-HITRAN(x-sec)-X=0.01-T=298.0K-P=0.0atm-L=15cm
803.206417,0.9999985540010454
803.688534,0.9999986876008612
804.17065,0.9999986998008452
804.652767,0.9999986390009261
805.134884,0.9999985977009832
805.617001,0.9999985394010666
806.099117,0.9999983693013296
806.581234,0.9999981821016524
807.063351,0.9999982064016085
807.545467,0.9999983328013897
808.027584,0.9999983206014101
808.509701,0.9999983182014143
808.991817,0.999998459201187
809.473934,0.9999985029011207
809.956051,0.9999983304013937
810.438167,0.9999981335017419
810.920284,0.9999980144019713
811.402401,0.9999979537020937
811.884518,0.9999978662022766
812.366634,0.9999976620027331
812.848751,0.9999975259030606
813.330868,0.9999976426027787
813.812984,0.999997873502261
814.295101,0.9999979294021437
814.777218,0.9999977592025105
815.259334,0.9999975429030187
815.741451,0.999997462703219
816.223568,0.999997496803133
816.705684,0.9999975356030366
817.187801,0.9999975672029593
817.669918,0.9999975041031147
818.152035,0.9999972780037046
818.634151,0.9999969913045261
819.116268,0.9999967191053821
819.598385,0.9999964323063643
820.080501,0.9999961674073444
820.562618,0.9999960143079429
821.044735,0.9999958903084448
821.526851,0.9999956206095896
822.008968,0.9999951904115661
822.491085,0.999994665414229
822.973201,0.9999942255166724
823.455318,0.9999940894174676
823.937435,0.9999940506176976
824.419551,0.9999937735193846
824.901668,0.9999933506221073
825.383785,0.9999928646254569
825.865902,0.9999921671306771
826.348018,0.9999914258367584
826.830135,0.9999909009413966
827.312252,0.9999905047450802
827.794368,0.9999901377486323
828.276485,0.9999897610524184
828.758602,0.9999891970583522
829.240718,0.9999885020661018
829.722835,0.9999880570713173
830.204952,0.9999878820734227
830.687068,0.9999877030756078
831.169185,0.9999875300777501
831.651302,0.9999874670785377
832.133419,0.9999873450800741
832.615535,0.9999871990819325
833.097652,0.999987311080505
833.579769,0.9999876660760635
834.061885,0.9999879870721557
834.544002,0.9999880350715803
835.026119,0.9999877830746272
835.508235,0.9999874210791153
835.990352,0.9999869270854513
836.472469,0.9999861400960494
836.954585,0.9999852841082798
837.436702,0.9999848861142159
837.918819,0.9999851391104241
838.400935,0.9999859530986587
838.883052,0.9999871410826766
839.365169,0.9999882640688665
839.847286,0.9999888790618381
840.329402,0.9999889150614384
840.811519,0.9999886650642409
841.293636,0.9999883340680475
841.775752,0.9999878650736288
842.257869,0.9999873870795436
842.739986,0.9999871680823298
843.222102,0.9999872580811789
843.704219,0.9999875810771155
844.186336,0.9999880870709595
844.668452,0.9999886600642975
845.150569,0.9999891700586442
845.632686,0.9999896400536646
846.114803,0.999990205847963
846.596919,0.9999909154412648
847.079036,0.9999917004344416
847.561153,0.9999924563284537
848.043269,0.9999930833239203
848.525386,0.9999935839205831
849.007503,0.9999940335177995
849.489619,0.9999944904151779
849.971736,0.9999949498127523
850.453853,0.9999953338108867
850.935969,0.9999956594094204
851.418086,0.9999960167079334
851.900203,0.9999964323063643
852.382319,0.9999968406049909
852.864436,0.9999971735039945
853.346553,0.9999973704034574
853.82867,0.9999975041031147
854.310786,0.9999976596027388
854.792903,0.9999977714024834
855.27502,0.9999977519025269
855.757136,0.9999977252025873
856.239253,0.999997756802516
856.72137,0.9999978565022973
857.203486,0.999998046001909
857.685603,0.9999982988014471
858.16772,0.9999985151011025
858.649836,0.999998566101028
859.131953,0.9999984276012363
859.61407,0.9999982915014595
860.096187,0.999998301201443
860.578303,0.9999983352013858
861.06042,0.9999983474013655
861.542537,0.9999984543011946
862.024653,0.9999985928009901
862.50677,0.9999986463009163
862.988887,0.9999987095008327
863.471003,0.9999988310006833
863.95312,0.9999989136005901
864.435237,0.9999989331005691
864.917353,0.9999989477005536
865.39947,0.999998906400598
865.881587,0.9999987921007295
866.363704,0.9999987241008139
866.84582,0.9999987970007236
867.327937,0.9999989671005335
867.810054,0.9999991250803827
868.29217,0.9999992636102711
868.774287,0.9999993413802168
869.256404,0.9999992538902783
869.73852,0.9999991566803555
870.220637,0.999999234450293
870.702754,0.9999993656802012
871.18487,0.9999994458901535
871.666987,0.9999994726201391
872.149104,0.9999994847701328
872.63122,0.999999504210123
873.113337,0.9999993972801816
873.595454,0.9999992004203196
874.077571,0.9999991105003956
874.559687,0.9999991202203871
875.041804,0.9999991809803354
875.523921,0.999999300070245
876.006037,0.9999994021401787
876.488154,0.9999994118601729
876.970271,0.9999993948501831
877.452387,0.9999994410201563
877.934504,0.999999482340134
878.416621,0.9999994726201391
878.898737,0.9999994677601416
879.380854,0.9999994531801495
879.862971,0.9999993656802012
880.345088,0.9999992781902605
880.827204,0.999999234450293
881.309321,0.9999992417402874
881.791438,0.9999993511002105
882.273554,0.9999994969201266
882.755671,0.9999994969201266
883.237788,0.999999385130189
883.719904,0.9999993948501831
884.202021,0.9999995552500989
884.684138,0.9999996524600604
885.166254,0.9999995479601022
885.648371,0.9999993559602074
886.130488,0.9999992393102893
886.612604,0.9999991834103334
887.094721,0.9999991542503577
887.576838,0.9999992441702856
888.058955,0.9999993997101801
888.541071,0.999999465330143
889.023188,0.9999994507501508
889.505305,0.9999993681101996
889.987421,0.9999992660402693
890.469538,0.9999992781902605
890.951655,0.9999993219402299
891.433771,0.9999992247303006
