nu,[0](Perfluorohexyl)ethylene-HITRAN(x-sec)-X=0.01-T=298.0K-P=0.9211atm-L=15cm
678.101478,1.0
678.161743,1.0
678.222008,1.0
678.282273,1.0
678.342538,1.0
678.402803,1.0
678.463068,1.0
678.523333,1.0
678.583598,1.0
678.643863,1.0
678.704128,1.0
678.764393,1.0
678.824658,1.0
678.884922,1.0
678.945187,1.0
679.005452,1.0
679.065717,1.0
679.125982,1.0
679.186247,1.0
679.246512,1.0
679.306777,1.0
679.367042,1.0
679.427307,1.0
679.487572,1.0
679.547837,1.0
679.608102,1.0
679.668367,1.0
679.728632,1.0
679.788897,1.0
679.849162,1.0
679.909427,1.0
679.969692,1.0
680.029957,1.0
680.090222,1.0
680.150487,1.0
680.210752,1.0
680.271017,1.0
680.331282,1.0
680.391547,1.0
680.451812,1.0
680.512077,1.0
680.572342,1.0
680.632607,1.0
680.692872,1.0
680.753137,1.0
680.813402,1.0
680.873667,1.0
680.933932,1.0
680.994197,1.0
681.054462,1.0
681.114727,1.0
681.174991,1.0
681.235256,1.0
681.295521,1.0
681.355786,1.0
681.416051,1.0
681.476316,1.0
681.536581,1.0
681.596846,1.0
681.657111,1.0
681.717376,1.0
681.777641,1.0
681.837906,1.0
681.898171,1.0
681.958436,1.0
682.018701,1.0
682.078966,1.0
682.139231,1.0
682.199496,1.0
682.259761,1.0
682.320026,1.0
682.380291,1.0
682.440556,1.0
682.500821,1.0
682.561086,1.0
682.621351,1.0
682.681616,1.0
682.741881,1.0
682.802146,1.0
682.862411,1.0
682.922676,1.0
682.982941,1.0
683.043206,1.0
683.103471,1.0
683.163736,1.0
683.224001,1.0
683.284266,1.0
683.344531,1.0
683.404796,1.0
683.46506,1.0
683.525325,1.0
683.58559,1.0
683.645855,1.0
683.70612,1.0
683.766385,1.0
683.82665,1.0
683.886915,1.0
683.94718,1.0
684.007445,1.0
684.06771,1.0
684.127975,1.0
684.18824,1.0
684.248505,1.0
684.30877,1.0
684.369035,1.0
684.4293,1.0
684.489565,1.0
684.54983,1.0
684.610095,1.0
684.67036,1.0
684.730625,1.0
684.79089,1.0
684.851155,1.0
684.91142,1.0
684.971685,1.0
685.03195,1.0
685.092215,1.0
685.15248,1.0
685.212745,1.0
685.27301,1.0
685.333275,1.0
685.39354,1.0
685.453805,1.0
685.51407,1.0
685.574335,1.0
685.6346,1.0
685.694865,1.0
685.75513,1.0
685.815394,1.0
685.875659,1.0
685.935924,1.0
685.996189,1.0
686.056454,1.0
686.116719,1.0
686.176984,1.0
686.237249,1.0
686.297514,1.0
686.357779,1.0
686.418044,1.0
686.478309,1.0
686.538574,1.0
686.598839,1.0
686.659104,1.0
686.719369,1.0
686.779634,1.0
686.839899,1.0
686.900164,1.0
686.960429,1.0
687.020694,1.0
687.080959,1.0
687.141224,1.0
687.201489,1.0
687.261754,1.0
687.322019,1.0
687.382284,1.0
687.442549,1.0
687.502814,1.0
687.563079,1.0
687.623344,1.0
687.683609,1.0
687.743874,1.0
687.804139,1.0
687.864404,1.0
687.924669,1.0
687.984934,1.0
688.045199,1.0
688.105463,1.0
688.165728,1.0
688.225993,1.0
688.286258,1.0
688.346523,1.0
688.406788,1.0
688.467053,1.0
688.527318,1.0
688.587583,1.0
688.647848,1.0
688.708113,1.0
688.768378,1.0
688.828643,1.0
688.888908,1.0
688.949173,1.0
689.009438,1.0
689.069703,1.0
689.129968,1.0
689.190233,1.0
689.250498,1.0
689.310763,1.0
689.371028,1.0
689.431293,1.0
689.491558,1.0
689.551823,1.0
689.612088,1.0
689.672353,1.0
689.732618,1.0
689.792883,1.0
689.853148,1.0
689.913413,1.0
689.973678,1.0
690.033943,1.0
690.094208,1.0
690.154473,1.0
690.214738,1.0
690.275003,1.0
690.335268,1.0
690.395532,1.0
690.455797,1.0
690.516062,1.0
690.576327,1.0
690.636592,1.0
690.696857,1.0
690.757122,1.0
690.817387,1.0
690.877652,1.0
690.937917,1.0
690.998182,1.0
691.058447,1.0
691.118712,1.0
691.178977,1.0
691.239242,1.0
691.299507,1.0
691.359772,1.0
691.420037,1.0
691.480302,1.0
691.540567,1.0
691.600832,1.0
691.661097,1.0
691.721362,1.0
691.781627,1.0
691.841892,1.0
691.902157,1.0
691.962422,1.0
692.022687,1.0
692.082952,1.0
692.143217,1.0
692.203482,1.0
692.263747,1.0
692.324012,1.0
692.384277,1.0
692.444542,1.0
692.504807,1.0
692.565072,1.0
692.625337,1.0
692.685602,1.0
692.745866,1.0
692.806131,1.0
692.866396,1.0
692.926661,1.0
692.986926,1.0
693.047191,1.0
693.107456,1.0
693.167721,1.0
693.227986,1.0
693.288251,1.0
693.348516,1.0
693.408781,1.0
693.469046,1.0
693.529311,1.0
693.589576,1.0
693.649841,1.0
693.710106,1.0
693.770371,1.0
693.830636,1.0
693.890901,1.0
693.951166,1.0
694.011431,1.0
694.071696,1.0
694.131961,1.0
694.192226,1.0
694.252491,1.0
694.312756,1.0
694.373021,1.0
694.433286,1.0
694.493551,1.0
694.553816,1.0
694.614081,1.0
694.674346,1.0
694.734611,1.0
694.794876,1.0
694.855141,1.0
694.915406,1.0
694.975671,1.0
695.035935,1.0
695.0962,1.0
695.156465,1.0
695.21673,1.0
695.276995,0.9332613494971935
695.33726,0.9316752213261503
695.397525,0.9307244663681745
695.45779,0.9288267949647421
695.518055,0.9263019662796194
