nu,[0]Piperidine-PNNL(x-sec)-X=0.01-T=278.11K-P=1.0atm-L=15cm
558.035361,0.8508239892023656
558.159163,0.8613279093171439
558.282966,0.8572548757424905
558.406768,0.8588594421621473
558.530571,0.8608973530105319
558.654373,0.8573748998265843
558.778176,0.8681419854428708
558.901978,0.8655674288551302
559.025781,0.8694712593158032
559.149583,0.8727117159128347
559.273385,0.8847589888902827
559.397188,0.8747912434528736
559.52099,0.8860162390908893
559.644793,0.8830972045578922
559.768595,0.8888471437859475
559.892398,0.8875059974191667
560.0162,0.8893628246623413
560.140003,0.8887938145572133
560.263805,0.8951088034459951
560.387608,0.8969187506602
560.51141,0.8982022619655063
560.635213,0.9022171906896499
560.759015,0.9036438205917756
560.882818,0.9097886128745647
561.00662,0.9101598823624428
561.130423,0.9071340906933628
561.254225,0.918790635791737
561.378028,0.907128647905147
561.50183,0.9194937795463124
561.625633,0.9124071063206793
561.749435,0.9205969137848088
561.873237,0.9159669461025242
561.99704,0.9213944960154064
562.120842,0.9246370470861257
562.244645,0.9243754118249359
562.368447,0.9267559654638127
562.49225,0.9302210806099945
562.616052,0.9300099443895637
562.739855,0.9362703581824351
562.863657,0.9319631534527626
562.98746,0.9363284087441912
563.111262,0.9329944749161215
563.235065,0.9405730140757229
563.358867,0.9382489125379244
563.48267,0.9410904715212178
563.606472,0.9437848990280908
563.730275,0.9449039470384356
563.854077,0.9466915042077522
563.97788,0.9465570835582466
564.101682,0.9481163994827329
564.225485,0.9488846848798936
564.349287,0.9514225436748206
564.473089,0.9552377658621544
564.596892,0.9620258091866132
564.720694,0.9561380237925103
564.844497,0.958174851923644
564.968299,0.9520525939223556
565.092102,0.9567549317492852
565.215904,0.9621701238813227
565.339707,0.9586732324143418
565.463509,0.9598675238808704
565.587312,0.9612930247463419
565.711114,0.9609306855812367
565.834917,0.9641793056077177
565.958719,0.9715204115893746
566.082522,0.9615651091704752
566.206324,0.966637233734586
566.330127,0.9697751873161226
566.453929,0.9684688110590361
566.577732,0.9731043080732822
566.701534,0.9725390986795198
566.825337,0.9737866933413343
566.949139,0.9692545578420587
567.072941,0.9774706628526056
567.196744,0.9806820303904267
567.320546,0.9737078198135947
567.444349,0.976409705916638
567.568151,0.982081480536572
567.691954,0.9776779086004035
567.815756,0.9794020956380554
567.939559,0.9777023508536453
568.063361,0.9843231808794818
568.187164,0.9835114491406389
568.310966,0.9852439534476995
568.434769,0.9755420634123143
568.558571,0.9807163548621651
568.682374,0.9863056327972697
568.806176,0.9855996907216088
568.929979,0.987409926537488
569.053781,0.9814924083875669
569.177584,0.9878543609946829
569.301386,0.9882209229556512
569.425189,0.987332911566841
569.548991,0.9887823918819698
569.672793,0.9868778559929776
