nu,[0]HFE-125-HITRAN(x-sec)-X=0.01-T=296.0K-P=0.9211atm-L=15cm
572.835718,0.9845742152961339
573.076772,0.9813815060115214
573.317826,0.9689958014206344
573.55888,0.9876439704231824
573.799934,0.9729213816589861
574.040988,0.9901286448525748
574.282042,0.9697771268684368
574.523096,0.9797165341754404
574.76415,0.9631799699129148
575.005204,0.9738207764720526
575.246258,0.9607202648030106
575.487312,0.9546562031665593
575.728366,0.9758669730138768
575.96942,0.977081706936152
576.210474,0.9628554329506037
576.451528,0.9385876815394762
576.692582,0.9605089295924796
576.933636,0.9666304672976324
577.17469,0.9682896609008909
577.415744,0.9382808135432646
577.656798,0.9412372930865595
577.897852,0.9502482621015074
578.138906,0.9527697595045342
578.37996,0.9486380069313478
578.621014,0.9356151982644311
578.862068,0.9398998048353131
579.103122,0.9595738493530571
579.344176,0.9482889723710951
579.58523,0.9333780144572887
579.826284,0.9085067148808756
580.067338,0.9087229652117859
580.308392,0.9294019167326487
580.549446,0.9174281616940456
580.7905,0.9165148581456665
581.031554,0.8850067560929615
581.272608,0.8973852696949801
581.513662,0.903408903738936
581.754716,0.8978071399034698
581.99577,0.8966228163043364
582.236824,0.899037978617143
582.477878,0.9028670209777775
582.718932,0.8988671776278135
582.959986,0.8796686293344325
583.20104,0.8687498975771047
583.442094,0.8684024671088
583.683148,0.8630522889406085
583.924202,0.8748349841085535
584.165256,0.8693408484079683
584.40631,0.8534997753141418
584.647364,0.8475037626774358
584.888418,0.8421728506503853
585.129472,0.8518626279099784
585.370526,0.8340349258351905
585.61158,0.8310045573217749
585.852634,0.8252490990328426
586.093688,0.8103411071690397
586.334742,0.8215273905028226
586.575796,0.7969526597589763
586.81685,0.8185752090120513
587.057904,0.8288799063685938
587.298958,0.8279769194879052
587.540012,0.8190828830043139
587.781066,0.8019492118429249
588.02212,0.8135482845476826
588.263174,0.814020279418001
588.504228,0.8191893707006547
588.745282,0.8176016838756671
588.986336,0.809166964023145
589.22739,0.807396827379039
589.468444,0.8099684359806868
589.709498,0.8104788768673511
589.950552,0.8136133710138703
590.191606,0.8189927888424531
590.43266,0.8283661601044442
590.673714,0.825331628069129
590.914768,0.8170867570338118
591.155822,0.8001468545286263
591.396876,0.7909029591236916
591.63793,0.7820238814222467
591.878984,0.7766464899757074
592.120038,0.7633794943368531
592.361092,0.7673440594763336
592.602146,0.772394383458036
592.8432,0.7621743070844494
593.084254,0.7671829341425956
593.325308,0.7866121286666566
593.566362,0.784844240996613
593.807416,0.7965064912083654
594.04847,0.7852132044895103
594.289524,0.7902309772411954
594.530578,0.8082692869959984
594.771632,0.8088029208052019
595.012686,0.8005390225606666
595.25374,0.8201565847021133
595.494794,0.8389115510025866
595.735848,0.8268516362434516
595.976902,0.8113871217316246
596.217956,0.820361649480318
596.45901,0.817021392707857
596.700064,0.8178878945489697
596.941118,0.7933585625157039
597.182172,0.7957262972044846
597.423226,0.8205503543599277
597.66428,0.800122850483053
597.905334,0.817266535895309
598.146388,0.8148835983924052
598.387442,0.8079702826790197
598.628496,0.8129220934830799
598.86955,0.8031851650688815
599.110604,0.8248448260292912
599.351658,0.8142889504384891
599.592712,0.816898848689982
599.833766,0.8076471591949532
600.07482,0.816645649294822
600.315874,0.839969245764617
600.556928,0.8229663221341527
600.797982,0.8114033496363378
601.039036,0.8442809167616994
601.28009,0.841617199953856
601.521144,0.8408432681930964
601.762198,0.8504582135344132
602.003252,0.8489202764208733
602.244306,0.8656713031789276
602.48536,0.8800997725842761
602.726414,0.8766127029003842
602.967468,0.8660782643197983
603.208522,0.8765338113072981
603.449576,0.8847324465187535
603.69063,0.9013965464958618
603.931684,0.8929899074653672
604.172738,0.8954848281030928
604.413792,0.9021450162014127
604.654846,0.8933739756943287
604.8959,0.8980765224508026
605.136954,0.9134834686899658
605.378008,0.9031108279859065
605.619062,0.9150377113186596
605.860116,0.9363770990873839
606.10117,0.9192933517497949
606.342224,0.9290803992951834
606.583278,0.916020989746616
606.824332,0.9479561813500338
607.065386,0.9335507053633796
607.30644,0.9180164216628695
607.547494,0.9306407049355224
607.788548,0.9227905438238968
608.029602,0.9148757639765188
608.270656,0.9424287116756934
608.51171,0.9377517723680615
608.752764,0.9296473112293144
608.993818,0.9132514733535735
609.234872,0.9469443045867244
609.475926,0.9441974231589237
609.71698,0.9112436173168623
609.958034,0.9346174292523133
610.199088,0.9232409755056742
610.440142,0.9413954342352825
610.681196,0.9432178547176583
610.92225,0.9344585577937969
611.163304,0.9416326957784087
611.404358,0.9427680470886062
611.645412,0.9464842014688092
611.886466,0.9430226288283083
612.12752,0.9241997971806087
612.368574,0.9489719862867058
612.609628,0.9419001574417682
612.850682,0.9341754597423062
613.091736,0.9432301166294719
613.33279,0.9342231039056689
613.573844,0.9429434182543774
613.814898,0.9542381553087366
614.055952,0.9320544903172343
614.297006,0.9409276769517809
614.53806,0.9335591073575368
614.779114,0.933067251323408
615.020168,0.9375173637272705
615.261222,0.9349174896042132
615.502276,0.9294065637538499
615.74333,0.9374658016902345
615.984384,0.9315140554541108
616.225438,0.9219668596979614
616.466492,0.9352934019883609
616.707546,0.9312746871020098
616.9486,0.9418370522452674
617.189654,0.9249376029641133
617.430708,0.9354084501521225
617.671762,0.9350792443212943
617.912816,0.9327528606375179
618.15387,0.9346426642635742
618.394924,0.9372848882492169
618.635978,0.9255482632778061
618.877032,0.9271545562198331
619.118086,0.9357733305947433
619.35914,0.9282863750475229
619.600194,0.9323900903381277
619.841248,0.9313221833221953
620.082302,0.9239041005594936
620.323356,0.9249764511592442
620.56441,0.9280868149303689
620.805464,0.9385398147883303
621.046518,0.9311629408444672
621.287572,0.926826401593727
621.528626,0.9410283615997473
621.76968,0.9289103931381503
622.010734,0.9383708928251012
622.251788,0.9425974215141635
622.492842,0.9288444428415007
622.733896,0.9324376434453289
622.97495,0.914748605083074
623.216004,0.9240473167940517
623.457058,0.92625102107248
623.698112,0.9218894177343548
623.939166,0.9193190923240102
624.18022,0.9171584774600325
624.421274,0.9266586611960025
624.662328,0.9227840843126983
624.903382,0.9376429994714168
625.144436,0.9280895991949901
625.38549,0.9296454519365512
625.626544,0.9290283722495938
625.867598,0.9204312212531028
626.108652,0.9185967914188855
626.349706,0.9331773597553338
