nu,[0]Octanoicacid-HITRAN(x-sec)-X=0.01-T=298.1K-P=1.0atm-L=15cm
643.542871,0.700381564713359
643.660873,0.728862630687904
643.778876,0.7678583522650281
643.896878,0.7852210566608159
644.01488,0.765412786871964
644.132883,0.7513678000758358
644.250885,0.769118673143383
644.368887,0.7633031602041898
644.48689,0.772796132983258
644.604892,0.7269482404957678
644.722894,0.8035225736890608
644.840897,0.811151853581853
644.958899,0.8103897290941131
645.076902,0.7918288571305785
645.194904,0.8296096417226617
645.312906,0.7526838449293498
645.430909,0.7907368869404652
645.548911,0.8470123530176601
645.666913,0.8210182013856483
645.784916,0.8077036964748786
645.902918,0.8300743532291037
646.02092,0.8105923518531761
646.138923,0.7788864558694603
646.256925,0.8246881203998518
646.374927,0.8240615955379522
646.49293,0.8336513579966727
646.610932,0.879237697293031
646.728935,0.8478513104625609
646.846937,0.7755366791988686
646.964939,0.8018209102334325
647.082942,0.8007632048710424
647.200944,0.8472580222203479
647.318946,0.8464789032895671
647.436949,0.828680999060897
647.554951,0.8673523355812972
647.672953,0.821782103472349
647.790956,0.8821439744139014
647.908958,0.8327764834602869
648.026961,0.9914916030441538
648.144963,0.8162292662003958
648.262965,0.8804430784358737
648.380968,0.8562439115752786
648.49897,0.8452523983108008
648.616972,0.8559870769289292
648.734975,0.8805487379447297
648.852977,0.8274802823422553
648.970979,0.9271304505147469
649.088982,0.870027899027473
649.206984,0.8449650613454271
649.324986,0.8768406518352158
649.442989,0.8863707164772766
649.560991,0.8637430070221553
649.678994,0.8771388283439737
649.796996,0.891883286227073
649.914998,0.8823292441011646
650.033001,0.918758478682237
650.151003,0.8859276418969138
650.269005,0.9126105957936218
650.387008,0.9324954563714047
650.50501,0.9474491604332003
650.623012,0.9281527114335272
650.741015,0.9481211400765817
650.859017,0.8901102032901355
650.97702,0.9117385569650188
651.095022,0.8593749124530677
651.213024,0.9074534580986526
651.331027,0.8965331585056706
651.449029,0.8720487069840467
651.567031,0.9487565940937575
651.685034,0.9156189447874427
651.803036,0.8872664031465458
651.921038,0.8786488053366794
652.039041,0.9393707901767906
652.157043,0.9497637590466163
652.275046,0.9581576049315328
652.393048,0.8916425102460118
652.51105,0.9509631175465673
652.629053,0.9256241613471733
652.747055,0.9626657691128139
652.865057,0.9255038380273833
652.98306,0.9125065641156196
653.101062,0.8870623553402194
653.219064,0.9182762570751767
653.337067,0.934970781419923
653.455069,0.9397710473821376
653.573071,0.8845289814554335
653.691074,0.9511514268858509
653.809076,0.9214064742217127
653.927079,0.9108591536378964
654.045081,0.9000184642814465
654.163083,0.9077820157158252
654.281086,0.976431187166461
654.399088,0.9232908318644611
654.51709,0.9331213707934342
654.635093,0.9367798278204637
654.753095,0.9152070089548021
654.871097,0.941549835747075
654.9891,0.9228523728615826
655.107102,0.893463317558917
655.225105,0.9569759676671848
655.343107,0.9672135212425103
655.461109,0.8942677965059438
655.579112,0.9387735402998312
655.697114,0.9590069087555378
655.815116,0.929167736957523
655.933119,0.9116929711768247
656.051121,0.8683764154255639
656.169123,0.9028579923527109
656.287126,0.9397249997289926
656.405128,0.9476481456496076
656.52313,0.8857681892725391
656.641133,0.8666500646476012
656.759135,0.9819587280236968
656.877138,0.9150148356618236
656.99514,0.977257597473074
657.113142,0.9664690534880219
657.231145,0.9418992155420818
657.349147,0.9620258091866132
657.467149,0.9142282611786614
657.585152,0.9688223666950511
657.703154,0.9853267174158271
657.821156,0.9537811846855452
657.939159,0.9802604277684187
658.057161,0.9749929878098985
658.175164,0.9302136388711166
658.293166,1.0
658.411168,0.8743889320196091
658.529171,0.96943970314342
658.647173,0.9676720891235813
658.765175,0.979814510727604
658.883178,0.9634612595304148
659.00118,0.9399054442510604
659.119182,0.9451052330153503
659.237185,0.9423241078943146
659.355187,0.9510515612290665
659.473189,0.9278752352575641
659.591192,0.9186647700966305
