nu,[0]Methanethiol-PNNL(x-sec)-X=0.01-T=278.14K-P=1.0atm-L=15cm
769.702016,0.9991205769193379
769.94307,0.999314585004248
770.184124,0.9992209835909612
770.425178,0.9988942118348145
770.666232,0.9991032623097714
770.907286,0.9994955572740354
771.14834,0.9991675666650256
771.389394,0.9987815429223657
771.630448,0.999247463297881
771.871502,0.9991956736439987
772.112556,0.9991134332327516
772.35361,0.9991603826760478
772.594664,0.9992168568168208
772.835718,0.9990271834930843
773.076772,0.9987114309190126
773.317826,0.9989029022522607
773.55888,0.9990669455662473
773.799934,0.9987594700941728
774.040988,0.9987526785528674
774.282042,0.9989631379133534
774.523096,0.9990195509545586
774.76415,0.9984153568748912
775.005204,0.9987188214109463
775.246258,0.9986007798226507
775.487312,0.9988734350512877
775.728366,0.9986636936535445
775.96942,0.9990272134639002
776.210474,0.9986855646279218
776.451528,0.9985278846264307
776.692582,0.998685864233636
776.933636,0.9984456093185268
777.17469,0.9982528280849945
777.415744,0.9983457697496565
777.656798,0.998420049438096
777.897852,0.9986017784239298
778.138906,0.9982974509837242
778.37996,0.998651110570278
778.621014,0.9982433447281737
778.862068,0.9984498027988922
779.103122,0.9984993271373045
779.344176,0.9981579985707997
779.58523,0.9985282840376645
779.826284,0.9982298685339843
780.067338,0.9984207483323753
780.308392,0.997959684279661
780.549446,0.9982606144874204
780.7905,0.9983742230095515
781.031554,0.99810360044224
781.272608,0.9980522992356295
781.513662,0.9982957538795001
781.754716,0.9981107868140341
781.99577,0.9980857345476923
782.236824,0.9982513307068753
782.477878,0.9981205683476743
782.718932,0.9979438168468273
782.959986,0.9979038998924978
783.20104,0.9979133800245774
783.442094,0.9979621791819903
783.683148,0.997313914002125
783.924202,0.9980690666551026
784.165256,0.9981786606552219
784.40631,0.9979827374146305
784.647364,0.9977938371624109
784.888418,0.9982405496507215
785.129472,0.9980124777433341
785.370526,0.9978561014404751
785.61158,0.9980303423265733
785.852634,0.9979727576371553
786.093688,0.9978479190539911
786.334742,0.9976608401083676
786.575796,0.9980844370370808
786.81685,0.9980206614792049
787.057904,0.9978572988685153
787.298958,0.9977094273743713
787.540012,0.9978979124870607
787.781066,0.997704139528419
788.02212,0.9976091626153087
788.263174,0.9982341609316477
788.504228,0.9979782465024166
788.745282,0.9977083298946048
788.986336,0.9979817394323921
789.22739,0.99812825390564
789.468444,0.9979679673794153
789.709498,0.9976945616146536
789.950552,0.9980465105490812
790.191606,0.9978780545161897
790.43266,0.9978920249067454
790.673714,0.9980157711899449
790.914768,0.9980360311157376
791.155822,0.9979055963305696
791.396876,0.9981974265904414
791.63793,0.998117174743511
791.878984,0.9982992479207532
792.120038,0.9983581493139546
792.361092,0.997996709270757
792.602146,0.9983344885061975
792.8432,0.9984810547668106
793.084254,0.9983504619858011
793.325308,0.9983966866822845
793.566362,0.9986997460636274
793.807416,0.998414657984386
794.04847,0.9988002203118513
794.289524,0.9986022777249439
794.530578,0.9987483839255831
794.771632,0.9986122637976514
795.012686,0.9988676416021653
795.25374,0.9989447571607193
795.494794,0.9989892111915079
795.735848,0.9990381928333076
795.976902,0.9988941119453983
796.217956,0.9991741412092445
796.45901,0.9990416994635186
796.700064,0.9987804442632727
796.941118,0.9989342682958358
797.182172,0.9991363032009841
797.423226,0.9993414269544869
797.66428,0.99937729396193
797.905334,0.9989612398851946
798.146388,0.9994328109125785
798.387442,0.9993194916509062
798.628496,0.9991260121500601
798.86955,0.9993393982934493
799.110604,0.9990420990802784
799.351658,0.9990243762306428
799.592712,0.999117609535631
799.833766,0.9993406274816652
800.07482,0.9989608403007786
800.315874,0.9988815259588797
800.556928,0.9981731706876857
800.797982,0.9963515717468957
801.039036,0.9952949038084346
801.28009,0.9929194857966994
801.521144,0.9945904844104301
801.762198,0.9960793060691367
802.003252,0.9964832981316027
802.244306,0.9971857673977714
802.48536,0.9968807749225018
802.726414,0.9981886424917376
802.967468,0.9985396673249871
803.208522,0.998676776233622
803.449576,0.9985210946599011
803.69063,0.9985043196464214
803.931684,0.9988047149229556
804.172738,0.9991052705093469
804.413792,0.9987888340542416
804.654846,0.9987921300628324
804.8959,0.9988975081911525
805.136954,0.998893912166596
805.378008,0.9989088956876545
805.619062,0.9987177228208469
805.860116,0.9988090097924638
806.10117,0.998781343166077
806.342224,0.9987290083948781
806.583278,0.9984924375157165
806.824332,0.9986030766070857
807.065386,0.9987604688541423
807.30644,0.9985837038953154
807.547494,0.9984170541824406
807.788548,0.9983720265886769
808.029602,0.9985000260870781
808.270656,0.9982251768646276
808.51171,0.9981597952568141
808.752764,0.9984281366732498
808.993818,0.998125958213296
809.234872,0.9978898295467056
809.475926,0.9985556440874781
809.71698,0.9982529279102823
809.958034,0.9978299579530985
810.199088,0.9980426181752802
810.440142,0.9982463394626999
810.681196,0.9978719674786226
810.92225,0.9977486381253533
811.163304,0.9981858475674514
811.404358,0.9978307562173842
811.645412,0.9977358670245206
811.886466,0.9980385262089342
812.12752,0.9978515113129658
812.368574,0.9976740093183737
812.609628,0.9977905444481812
812.850682,0.9979089892153651
813.091736,0.9977135179914093
813.33279,0.99779643142976
813.573844,0.9977835599388158
813.814898,0.99786667877121
814.055952,0.9977108241685474
814.297006,0.9977538264317611
814.53806,0.9979378292018892
814.779114,0.9974464658291697
815.020168,0.9979053967494703
815.261222,0.9978597935148807
815.502276,0.9976256233022921
815.74333,0.9974516525642775
815.984384,0.997767894859896
816.225438,0.9978455242218591
816.466492,0.9976761044359932
816.707546,0.997970761693636
816.9486,0.9980070884905053
