nu,[0]o-Toluidine-PNNL(x-sec)-X=0.01-T=298.15K-P=1.0atm-L=15cm
628.97658,0.8461573024143533
629.111582,0.8447622940637514
629.246585,0.844297802548892
629.381588,0.8426361731202426
629.51659,0.8425856164665702
629.651593,0.8426951597168678
629.786596,0.840582647178301
629.921598,0.8370930866842768
630.056601,0.8381401072941825
630.191604,0.8345688790345231
630.326607,0.834835983810299
630.461609,0.8333346306626387
630.596612,0.8311209061040247
630.731615,0.8324351150873666
630.866617,0.8300162500580124
631.00162,0.8292612788344657
631.136623,0.8292364013692645
631.271625,0.8265540232279609
631.406628,0.8271410849667086
631.541631,0.8258104592610315
631.676634,0.8226372014338273
631.811636,0.8240863177566498
631.946639,0.8189272720400528
632.081642,0.8192794864877092
632.216644,0.8179451487054602
632.351647,0.8164088563931567
632.48665,0.8142482370088115
632.621652,0.8141261089330949
632.756655,0.8117523281016743
632.891658,0.812036491142141
633.026661,0.8082450392811061
633.161663,0.8080349228872079
633.296666,0.8053486417344377
633.431669,0.8045195596840049
633.566671,0.8045356502361036
633.701674,0.8018930773628257
633.836677,0.8005310172104678
633.971679,0.7989794925026559
634.106682,0.7965702142765508
634.241685,0.796904844033877
634.376688,0.7941284936775886
634.51169,0.7917338433686626
634.646693,0.7917892666774915
634.781696,0.7894648248372601
634.916698,0.7885259204546099
635.051701,0.7859909504826991
635.186704,0.784357788383088
635.321706,0.7830333431921359
635.456709,0.780633117060805
635.591712,0.780633117060805
635.726715,0.7772836012774217
635.861717,0.7772913741522988
635.99672,0.7745291365605206
636.131723,0.7713600681302399
636.266725,0.7713215010910175
636.401728,0.7685189944834122
636.536731,0.766186244316964
636.671733,0.7654816771227972
636.806736,0.7626393752431384
636.941739,0.7644183967426578
637.076742,0.7614505853149897
637.211744,0.7593746601442428
637.346747,0.7569636842084512
637.48175,0.7544622765272392
637.616752,0.755965151321988
637.751755,0.7527591170773874
637.886758,0.750969680652762
638.02176,0.7505417499066388
638.156763,0.747097186426983
638.291766,0.7455672059605976
638.426769,0.744449693495539
638.561771,0.7443454778337162
638.696774,0.7408774885100539
638.831777,0.7369243779462711
638.966779,0.7383406319206701
639.101782,0.7376395413910748
639.236785,0.7335936602854513
639.371787,0.7332562848040297
639.50679,0.732201155629244
639.641793,0.7302487861168668
639.776796,0.7297669809312305
639.911798,0.7273045324180029
640.046801,0.7265412634452999
640.181804,0.7241838372317256
640.316806,0.7226501937333033
640.451809,0.7199381308782046
640.586812,0.7169780876551045
640.721814,0.7169852574718301
640.856817,0.7158891087954667
640.99182,0.716798865536889
641.126823,0.7161110688212199
641.261825,0.7138303142493209
641.396828,0.7119981257124218
641.531831,0.7092834811444226
641.666833,0.7064520139295634
641.801836,0.7063813722603127
641.936839,0.7049418231002805
642.071841,0.705428400808224
642.206844,0.7052732236301616
642.341847,0.7034348606238029
642.47685,0.7018890049951171
642.611852,0.6994786549968569
642.746855,0.6978647241116612
642.881858,0.6965539709243878
643.01686,0.6942174770898968
643.151863,0.6943216175217974
643.286866,0.6910314102670716
643.421868,0.6906238219853806
643.556871,0.6896852119869504
643.691874,0.685676045277615
643.826877,0.6839092811865003
643.961879,0.6791793825075457
644.096882,0.6747385476221349
644.231885,0.6717291972231981
644.366887,0.6694358073008286
644.50189,0.6671702621827096
644.636893,0.6693554798236976
644.771895,0.6732894181171819
644.906898,0.6742394257947473
645.041901,0.6738686960705798
645.176904,0.6736733024821591
645.311906,0.6706888234654558
645.446909,0.6693554798236976
645.581912,0.6662302150020367
645.716914,0.6619534782905965
645.851917,0.6577962803009564
645.98692,0.6519743880232358
646.121922,0.6472646670780347
646.256925,0.6469799332705516
646.391928,0.6535410057437798
646.526931,0.6575726675819704
646.661933,0.6558586406976755
646.796936,0.6536063631121681
646.931939,0.6531881888698077
647.066941,0.6521113170217624
647.201944,0.6496379963026745
647.336947,0.6489627239889874
647.471949,0.6468052722688649
647.606952,0.6430196470008779
647.741955,0.6386555597875291
647.876958,0.6361887391478654
648.01196,0.6316372633521653
648.146963,0.62543992303179
648.281966,0.6268926281395621
648.416968,0.6275135591515567
648.551971,0.6280032106669606
648.686974,0.6274947340271604
648.821976,0.6251085277001034
648.956979,0.6230677612860867
649.091982,0.6205680566583696
649.226985,0.6167879458307144
649.361987,0.61473745792826
649.49699,0.6139081222875696
649.631993,0.6140186356954898
649.766995,0.611897802373444
649.901998,0.610333347356191
650.037001,0.609485573342804
650.172003,0.6061971595707375
650.307006,0.6041577135396947
650.442009,0.6007178032854188
650.577012,0.5994576195545543
650.712014,0.5979967259778027
650.847017,0.5965393926361253
650.98202,0.5930005218309856
651.117022,0.5920524796320643
651.252025,0.5896182413900688
651.387028,0.5880342996774629
651.52203,0.5845692662257991
651.657033,0.5842653692274291
651.792036,0.5830163782343016
651.927039,0.580526400488867
652.062041,0.580921292689331
652.197044,0.5770998368337794
652.332047,0.5767363784379902
652.467049,0.5746983411127073
652.602052,0.5717405353741478
652.737055,0.5695093946035326
652.872057,0.5664706552182823
653.00706,0.564638260377995
653.142063,0.5630200717820834
653.277066,0.5591094661740218
653.412068,0.552153053667944
653.547071,0.5498553694352896
653.682074,0.5530206148195023
653.817076,0.555425940068131
653.952079,0.5576130588860908
654.087082,0.5604753589830486
654.222084,0.5618164971126901
