nu,[0]2-Butanone-PNNL(x-sec)-X=0.01-T=278.15K-P=1.0atm-L=15cm
633.322198,0.9995593571116063
633.4414,0.9991280004128027
633.560602,1.000208581750149
633.679804,0.9997238281424702
633.799006,0.9993789329420361
633.918208,0.9996416742140246
634.03741,1.0000314594948396
634.156612,0.9991575650477414
634.275814,1.0000937873977631
634.395016,0.9999230089639619
634.514218,0.9995431144040255
634.63342,0.9996735532953245
634.752622,0.9993709779173908
634.871824,0.9997936912845705
634.991026,0.9994107836561673
635.110228,0.9995598568914098
635.22943,0.9998280147911519
635.348632,0.9997698164962888
635.467834,0.9995798183010659
635.587036,0.9999101430373787
635.706238,0.9996989553230452
635.82544,1.0002587234631435
635.944642,1.0000403798152429
636.063844,1.0002055111145163
636.183046,0.9993830104164004
636.302248,0.9998719382006124
636.42145,0.99988696638878
636.540652,0.9993939137445217
636.659854,0.9994795154990767
636.779056,1.0000129460837999
636.898258,0.9997166601483197
637.01746,0.9997898820778633
637.136662,0.9998945955554388
637.255864,0.9999991941203247
637.375066,0.9997533104328763
637.494268,1.0003150396145593
637.61347,1.0005307007718516
637.732672,0.9994138218695677
637.851874,1.0001466207477714
637.971076,0.999546912675077
638.090278,0.9998433722674043
638.20948,0.9996926872302457
638.328682,1.0001863873679675
638.447884,1.0001475508845612
638.567086,1.0001721148100546
638.686288,0.9999872580811789
638.80549,0.9998048490444255
638.924692,0.9997358748871809
639.043894,0.9987597697220587
639.163096,0.9999538940629114
639.282298,0.9997825536448864
639.4015,1.0005796579367676
639.520702,1.0002167034768068
639.639904,0.9998409526493711
639.759106,1.0000554785388773
639.878308,0.999382640644755
639.99751,0.9998043091499528
640.116712,0.99985788009999
640.235914,1.0006080948147325
640.355116,1.0001452005405782
640.474318,0.9995896442189741
640.59352,1.0001373194274494
640.712722,1.0000390617628907
640.831924,0.9996664756316221
640.951126,0.9998247153641472
641.070328,0.9999246168414531
641.18953,0.9997808540159899
641.308732,1.0001709846162035
641.427934,0.9996331872922376
641.547136,1.0000126530800495
641.666338,0.9996907178375918
641.78554,0.9999697184584951
641.904742,1.0001123963159926
642.023944,1.0002461002777059
642.143146,0.9994892404820744
642.262348,0.999913270761198
642.38155,0.9998260351336425
642.500752,1.0000889309541228
642.619954,0.9995785988144315
642.739156,0.9999301814374293
642.858358,0.9999125568233774
642.97756,1.0002412691007088
643.096762,0.9992185454947358
643.215964,0.9999204051678368
643.335166,1.000465978534282
643.454368,0.9994354694073914
643.57357,0.9998010597912282
643.692772,0.9998197762422529
643.811974,0.999819136357801
643.931176,0.9992426169594364
644.050378,1.0000486831849877
644.16958,0.9998977052324666
644.288782,0.9995785988144315
644.407984,0.9994508308486085
644.527186,0.9995252427329132
644.646388,1.0001665338652248
644.76559,0.9998239454994128
644.884792,0.9999472573909403
645.003994,0.9999603277869631
645.123196,1.0000954205522512
645.242398,1.0000105650558098
645.3616,1.000204870983194
645.480802,0.999686139264589
645.600004,0.999732595758889
645.719206,0.9995455832785672
645.838408,0.9999365640121474
645.95761,1.000145440575455
646.076812,1.000042506903393
646.196014,0.9996316078730494
646.315216,0.9997635579568268
646.434418,0.9998422124497651
646.55362,1.0000717125712235
646.672822,0.9996065574188395
646.792024,0.9997691566484276
646.911226,0.9998354135458368
647.030428,0.9994836033786547
647.14963,0.9997429530422316
647.268832,1.0003644563981007
647.388034,0.9997746853871509
647.507236,0.9997880224704121
647.626438,0.9995768395576458
647.74564,1.000118597032072
647.864842,0.9996378256009875
647.984044,0.9997843832486336
648.103246,0.999956101963547
648.222448,1.0004223191516335
648.34165,1.0004353647437323
648.460852,0.9994141816586083
648.580054,0.9993597250635332
648.699256,1.0003504313867375
648.818458,0.999853860679391
648.93766,0.9993441951340736
649.056862,1.0004559539154005
649.176064,0.9996154239683269
649.295266,1.0000533894251646
649.414468,0.9999409557431808
649.53367,1.0001082658603253
649.652872,1.000396678656178
649.772074,1.0005655298517422
649.891276,1.0002896119294395
650.010478,0.9999733603548416
650.12968,0.9998878562885761
650.248882,1.000259633698996
650.368084,1.00004633407339
650.487286,1.0002811095038735
650.606488,0.99980680866385
650.72569,0.99997707726273
650.844892,0.9994017490235196
650.964094,1.0002752178654895
651.083296,0.9999064603751036
651.202498,0.9997067430082401
651.3217,0.9999348481224758
651.440902,0.9999536180756747
651.560104,0.9996522804684541
651.679306,1.0000884599123474
651.798508,1.0000601458086866
651.91771,1.0001055355684862
