nu,[0]o-Xylene-PNNL(x-sec)-X=0.01-T=298.15K-P=1.0atm-L=15cm
660.889218,1.0000125750790656
661.00722,0.9988774305530188
661.125223,1.0007203393198432
661.243225,1.0004693200962307
661.361227,0.9997989902051765
661.47923,0.9989677331543569
661.597232,0.9998247053659001
661.715234,1.0001239276784004
661.833237,0.9999110619552224
661.951239,0.9991208666643472
662.069241,1.000745397670869
662.187244,0.9988160014800032
662.305246,1.0001174568975213
662.423248,0.9991298188274181
662.541251,0.9996332972518942
662.659253,0.9997069729408175
662.777256,0.9991710637576289
662.895258,0.9997138409513131
663.01326,1.0002417492166333
663.131263,0.9999136347296947
663.249265,0.9997445126424549
663.367267,1.0001125063283622
663.48527,0.9997927014893061
663.603272,0.9987401942224127
663.721274,0.9993417967108833
663.839277,1.000080563245044
663.957279,0.9996331273142481
664.075282,0.999848631457374
664.193284,0.998895510398134
664.311286,1.0005290098763961
664.429289,0.9986638933863031
664.547291,0.998956844465409
664.665293,0.9997646476996989
664.783296,0.9998387430033074
664.901298,0.9992761620971397
665.0193,0.9989788217577366
665.137303,0.9998703784016054
665.255305,1.0000406208250034
665.373307,0.999196333113361
665.49131,0.9987365987641853
665.609312,0.9997890722483868
665.727315,0.9995367773207688
665.845317,0.9995679733504005
665.963319,0.9992815781886158
666.081322,0.9997634879733801
666.199324,0.9990013689641879
666.317326,0.999621601610736
666.435329,0.9989429590617748
666.553331,0.9994668121951643
666.671333,0.998875632575262
666.789336,0.998834479746954
666.907338,0.9987463864308127
667.025341,1.000119127095069
667.143343,0.9987421917047986
667.261345,0.999474638050942
667.379348,0.9993819210895127
667.49735,0.9993590954671047
667.615352,0.999539715963214
667.733355,0.9978377410571246
667.851357,0.9995620659211345
667.969359,0.9994370685054217
668.087362,0.9994464432690918
668.205364,0.9993106277263267
668.323366,0.9996324975455763
668.441369,0.9990995856165312
668.559371,0.9997859029220512
668.677374,0.9995415950996464
668.795376,1.0000442329782493
668.913378,0.9991695650021573
669.031381,0.9990496418766004
669.149383,0.9992982663303172
669.267385,0.9989338687222084
669.385388,0.9994048371796953
669.50339,0.9990889152899365
669.621392,0.9998754877522934
669.739395,0.9998559903703823
669.857397,0.9996927372148814
669.9754,0.9988273880473234
670.093402,0.999845281970069
670.211404,0.9984463082306979
670.329407,0.9994272840644159
670.447409,0.9988400732357023
670.565411,1.0004788546142833
670.683414,0.9996332472702306
670.801416,0.999499915084165
670.919418,0.9991311876362076
671.037421,0.9994011393886387
671.155423,0.9998298044849002
671.273425,0.9986058726996146
671.391428,0.99932838563396
671.50943,0.9994871215671307
671.627433,1.000234337452732
671.745435,0.9988884182651873
671.863437,0.9996200921832572
671.98144,0.9992632015693664
672.099442,0.9990763468304379
672.217444,0.9986868629199996
672.335447,1.0001870975005545
672.453449,0.999178457650858
672.571451,0.9991571853679388
