nu,[0]Hexachloro-1-3-butadiene-PNNL(x-sec)-X=0.01-T=298.15K-P=1.0atm-L=15cm
590.059401,0.9661144244238055
590.178804,0.9677204739376477
590.298206,0.964759916295976
590.417608,0.9693902629792945
590.537011,0.9670133287642494
590.656413,0.9661308485086251
590.775816,0.9690723551127777
590.895218,0.9640761439412653
591.01462,0.9649364835160661
591.134023,0.9656981188271794
591.253425,0.9678820967519247
591.372827,0.9602889982307049
591.49223,0.9673286265001652
591.611632,0.9658101463064315
591.731035,0.964573735599146
591.850437,0.9632445051328047
591.969839,0.965143967163715
592.089242,0.9656054162575665
592.208644,0.9639219040977511
592.328047,0.9653312232565984
592.447449,0.9642390865778563
592.566851,0.9660815770917829
592.686254,0.9635788089744478
592.805656,0.9659695181283858
592.925059,0.9666575333296394
593.044461,0.9661008989165424
593.163863,0.9631096603414417
593.283266,0.967628544859324
593.402668,0.9675269491959795
593.52207,0.967350875314435
593.641473,0.9671835380880931
593.760875,0.966178190080061
593.880278,0.9703446124610067
593.99968,0.9685424174856855
594.119082,0.9697577315198536
594.238485,0.96943970314342
594.357887,0.9688281796466901
594.47729,0.9677775711299607
594.596692,0.9721608545433877
594.716094,0.9671429172325373
594.835497,0.9671255088167033
594.954899,0.9729573804160804
595.074301,0.9700060212788557
595.193704,0.9719304797213557
595.313106,0.974025300309363
595.432509,0.9733047882094903
595.551911,0.9725663301555217
595.671313,0.974342884320645
595.790716,0.9738490176840658
595.910118,0.976291567489741
596.029521,0.977300597753362
596.148923,0.9754113495338425
596.268325,0.9759665165217568
596.387728,0.9760055559632014
596.50713,0.977775681279816
596.626533,0.9751275461265266
596.745935,0.975105118450885
596.865337,0.9790162872216229
596.98474,0.9777375487718348
597.104142,0.9763735794258632
597.223544,0.9805771030268889
597.342947,0.9775469085378512
597.462349,0.981256878474274
597.581752,0.9797410273949587
597.701154,0.9821590680382003
597.820556,0.9803153238894509
597.939959,0.9819783673946503
598.059361,0.9798213694531845
598.178764,0.9814099664878706
598.298166,0.9831987422228473
598.417568,0.9830522565237116
598.536971,0.9856696707839128
598.656373,0.9820372878642905
598.775776,0.9856952985285125
598.895178,0.9831672803664885
599.01458,0.9858904855204956
599.133983,0.9837790006401596
599.253385,0.9865009406474027
599.372787,0.9869469398608043
599.49219,0.9863510038999057
599.611592,0.986709114307428
599.730995,0.9866114349403201
599.850397,0.9879482116168115
599.969799,0.9866558334538514
600.089202,0.9902782645942988
600.208604,0.9868295001627614
600.328007,0.9911782420777415
600.447409,0.9890711584982735
600.566811,0.9943192965634748
600.686214,0.9888585310574655
600.805616,0.9921110821425981
600.925019,0.9902464771721962
601.044421,0.9916686000918138
601.163823,0.9935054811449485
601.283226,0.9930375509423945
601.402628,0.9952295150812975
601.52203,0.9923119057482871
601.641433,0.9917683669711729
601.760835,0.9932458127523147
601.880238,0.9951851288347456
601.99964,0.9905358694709817
602.119042,0.9962049195893982
602.238445,0.992382759347801
602.357847,0.99786667877121
602.47725,0.9938471070514945
602.596652,0.9946573231367385
602.716054,0.9949134803762755
602.835457,0.9966338781339832
602.954859,0.9948653277291287
603.074261,0.9959130743053805
603.193664,0.9957952647572622
603.313066,0.9934067316080559
603.432469,0.9976791972367107
603.551871,0.9964130485354119
603.671273,0.9958489395685558
603.790676,0.9946979059834069
603.910078,0.9939255246817756
604.029481,0.9950970588479982
604.148883,0.9974858657427131
604.268285,0.9952692255311675
604.387688,0.9970187527695978
604.50709,0.999350590957389
604.626493,0.9966059727760722
604.745895,0.999336829994496
604.865297,0.9972422097095085
604.9847,0.9996636865660459
605.104102,0.9965219624336529
605.223504,0.999259164554187
605.342907,0.9965453809749368
605.462309,0.999519125657146
605.581712,0.9985664285466702
605.701114,0.9982191875315345
605.820516,0.9995800681960517
605.939919,0.9985909935829611
606.059321,0.9995977209359294
606.178724,0.999635616403834
606.298126,0.9997413234625463
606.417528,0.9976240271025718
606.536931,0.9995954018719069
606.656333,0.9988904160440215
606.775736,1.000039167767037
606.895138,0.9975227734025331
607.01454,1.0006758983163937
607.133943,0.9982826762907827
607.253345,0.9985594386061352
607.372747,0.9999574169066856
607.49215,1.0000371806911847
607.611552,1.0009432045378954
607.730955,0.9985372708326613
607.850357,0.9991635200445751
607.969759,0.9976779002545973
608.089162,1.0017883972783173
608.208564,0.999818676441104
608.327967,0.9999327702600203
608.447369,0.998613062687782
608.566771,1.0008718498403122
608.686174,1.000036195655047
