nu,[0]HFC-236cb-HITRAN(x-sec)-X=0.01-T=296.0K-P=0.9211atm-L=15cm
420.828804,1.0
420.949332,1.0
421.069861,1.0
421.190389,1.0
421.310918,1.0
421.431446,1.0
421.551975,1.0
421.672504,1.0
421.793032,1.0
421.913561,1.0
422.034089,1.0
422.154618,1.0
422.275146,1.0
422.395675,1.0
422.516203,1.0
422.636732,1.0
422.75726,1.0
422.877789,1.0
422.998318,1.0
423.118846,1.0
423.239375,1.0
423.359903,1.0
423.480432,1.0
423.60096,1.0
423.721489,1.0
423.842017,1.0
423.962546,1.0
424.083074,1.0
424.203603,1.0
424.324132,1.0
424.44466,1.0
424.565189,1.0
424.685717,1.0
424.806246,1.0
424.926774,1.0
425.047303,1.0
425.167831,1.0
425.28836,1.0
425.408888,1.0
425.529417,1.0
425.649946,1.0
425.770474,1.0
425.891003,1.0
426.011531,1.0
426.13206,1.0
426.252588,1.0
426.373117,1.0
426.493645,1.0
426.614174,1.0
426.734703,1.0
426.855231,1.0
426.97576,1.0
427.096288,1.0
427.216817,1.0
427.337345,1.0
427.457874,1.0
427.578402,1.0
427.698931,1.0
427.819459,1.0
427.939988,1.0
428.060517,1.0
428.181045,1.0
428.301574,1.0
428.422102,1.0
428.542631,1.0
428.663159,1.0
428.783688,1.0
428.904216,1.0
429.024745,1.0
429.145273,1.0
429.265802,1.0
429.386331,1.0
429.506859,1.0
429.627388,1.0
429.747916,1.0
429.868445,1.0
429.988973,1.0
430.109502,1.0
430.23003,1.0
430.350559,1.0
430.471087,1.0
430.591616,1.0
430.712145,1.0
430.832673,1.0
430.953202,1.0
431.07373,1.0
431.194259,1.0
431.314787,1.0
431.435316,1.0
431.555844,1.0
431.676373,1.0
431.796901,1.0
431.91743,1.0
432.037959,1.0
432.158487,1.0
432.279016,1.0
432.399544,1.0
432.520073,1.0
432.640601,1.0
432.76113,1.0
432.881658,1.0
433.002187,1.0
433.122715,1.0
433.243244,1.0
433.363773,1.0
433.484301,1.0
433.60483,1.0
433.725358,1.0
433.845887,1.0
433.966415,1.0
434.086944,1.0
434.207472,1.0
434.328001,1.0
434.448529,1.0
434.569058,1.0
434.689587,1.0
434.810115,1.0
434.930644,1.0
435.051172,1.0
435.171701,1.0
435.292229,1.0
435.412758,1.0
435.533286,1.0
435.653815,1.0
435.774344,1.0
435.894872,1.0
436.015401,1.0
436.135929,1.0
436.256458,1.0
436.376986,1.0
436.497515,1.0
436.618043,1.0
436.738572,1.0
436.8591,1.0
436.979629,1.0
437.100158,1.0
437.220686,1.0
437.341215,1.0
437.461743,1.0
437.582272,1.0
437.7028,1.0
437.823329,1.0
437.943857,1.0
438.064386,1.0
438.184914,1.0
438.305443,1.0
438.425972,1.0
438.5465,1.0
438.667029,1.0
438.787557,1.0
438.908086,1.0
439.028614,1.0
439.149143,1.0
439.269671,1.0
439.3902,1.0
439.510728,1.0
439.631257,1.0
439.751786,1.0
439.872314,1.0
439.992843,1.0
440.113371,1.0
440.2339,1.0
440.354428,1.0
440.474957,1.0
440.595485,1.0
440.716014,1.0
440.836542,1.0
440.957071,1.0
441.0776,1.0
441.198128,1.0
441.318657,1.0
441.439185,1.0
441.559714,1.0
441.680242,1.0
441.800771,1.0
441.921299,1.0
442.041828,1.0
442.162356,1.0
442.282885,1.0
442.403414,1.0
442.523942,1.0
442.644471,1.0
442.764999,1.0
442.885528,1.0
443.006056,1.0
443.126585,1.0
443.247113,1.0
443.367642,1.0
443.48817,1.0
443.608699,1.0
443.729228,1.0
443.849756,1.0
443.970285,1.0
444.090813,1.0
444.211342,1.0
444.33187,1.0
444.452399,1.0
444.572927,1.0
444.693456,1.0
444.813985,1.0
444.934513,1.0
445.055042,1.0
445.17557,1.0
445.296099,1.0
445.416627,1.0
445.537156,1.0
445.657684,1.0
445.778213,1.0
445.898741,1.0
446.01927,1.0
446.139799,1.0
446.260327,1.0
446.380856,1.0
446.501384,1.0
446.621913,1.0
446.742441,1.0
446.86297,1.0
446.983498,1.0
447.104027,1.0
447.224555,1.0
447.345084,1.0
447.465613,1.0
447.586141,1.0
447.70667,1.0
447.827198,1.0
447.947727,1.0
448.068255,1.0
448.188784,1.0
448.309312,1.0
448.429841,1.0
448.550369,1.0
448.670898,1.0
448.791427,1.0
448.911955,1.0
449.032484,1.0
449.153012,1.0
449.273541,1.0
449.394069,1.0
449.514598,1.0
449.635126,1.0
449.755655,1.0
449.876183,1.0
449.996712,1.0
450.117241,0.9563474409500626
450.237769,0.9566755243854012
450.358298,0.9589062183164591
450.478826,0.9549073107671942
450.599355,0.9562824115351032
450.719883,0.9574622349601948
450.840412,0.9552349001531553
450.96094,0.9577571787475742
451.081469,0.95710133973064
