nu,[0]2-(Perfluorononyl)ethanol-HITRAN(x-sec)-X=0.01-T=296.0K-P=0.9211atm-L=15cm
668.941128,0.6239531459814724
669.001393,0.6093758758126762
669.061658,0.6060456292229275
669.121923,0.6089616410728969
669.182188,0.614405589313569
669.242453,0.6222458544190621
669.302718,0.6275951412169658
669.362983,0.6267359245712895
669.423248,0.6245899028811855
669.483513,0.630829284871618
669.543778,0.6377812007433225
669.604043,0.6351652993679318
669.664308,0.6226691254959231
669.724573,0.6137730773561535
669.784838,0.6146145227306038
669.845103,0.6218166528710756
669.905368,0.626949051015086
669.965633,0.6248085476077891
670.025897,0.6209653473340863
670.086162,0.6224574539794514
670.146427,0.6314730590111831
670.206692,0.63603607217124
670.266957,0.6334273285550097
670.327222,0.6342957187065604
670.387487,0.6472452494292885
670.447752,0.6568497353332626
670.508017,0.6537044114200743
670.568282,0.6483529856503539
670.628547,0.6516940993027796
670.688812,0.6530314425147938
670.749077,0.6419467003502015
670.809342,0.6353812922864323
670.869607,0.6501319088428561
670.929872,0.6675106057966674
670.990137,0.6645401375629211
671.050402,0.651023199952976
671.110667,0.6516940993027796
671.170932,0.6588759512888698
671.231197,0.6523656900349143
671.291462,0.6386555597875291
671.351727,0.6415039099072304
671.411992,0.654823202257147
671.472257,0.6572965450513764
671.532522,0.6541556231140867
671.592787,0.6636303409274549
671.653052,0.6785751817663261
671.713317,0.6764883855223832
671.773582,0.6624965027523967
671.833847,0.6593307325767599
671.894112,0.6638626521988805
671.954377,0.6586519715441458
672.014642,0.6508018896898686
672.074907,0.6618144826552079
672.135172,0.6830071164950248
672.195436,0.6862865686004912
672.255701,0.6781071263885827
672.315966,0.6839434775054605
672.376231,0.6986258113781492
672.436496,0.694564672620091
672.496761,0.6741720052232526
672.557026,0.6700318703780507
672.617291,0.6893542425242224
672.677556,0.7022189703632522
672.737821,0.6948008647591702
672.798086,0.6844087172337445
672.858351,0.6848811222096098
672.918616,0.6865268109394582
672.978881,0.683239378396919
673.039146,0.6893542425242224
673.099411,0.7048713324425622
673.159676,0.7153595468170558
673.219941,0.7116422156344999
673.280206,0.7075337127994987
673.340471,0.7100854244907732
673.400736,0.7160394612947738
673.461001,0.7186721541541669
673.521266,0.7173653603766623
673.581531,0.7103268945826895
673.641796,0.6995835846646348
673.702061,0.6979065972512896
673.762326,0.7145016302137873
673.822591,0.729482427300232
673.882856,0.7243286884838144
673.943121,0.7109380384662337
674.003386,0.7186505943129414
