nu,[0]2-(Perfluorononyl)ethanol-HITRAN(x-sec)-X=0.01-T=296.0K-P=0.9211atm-L=15cm
654.41727,0.319595226838413
654.477535,0.3406158419310661
654.5378,0.3507084596299173
654.598065,0.34986776855962154
654.65833,0.34662908154941746
654.718595,0.3332374433510153
654.77886,0.31192266203264674
654.839125,0.30937535443851255
654.89939,0.3286046245448707
654.959654,0.3321063599749712
655.019919,0.3075861710303276
655.080184,0.29188365438520397
655.140449,0.30327963842193173
655.200714,0.3074631611655286
655.260979,0.2894710462280245
655.321244,0.2838810405144686
655.381509,0.30946818096812734
655.441774,0.3281448999528107
655.502039,0.31276599120219134
655.562304,0.2897896395730903
655.622569,0.2882866446209329
655.682834,0.290282700943784
655.743099,0.28331384581720187
655.803364,0.2854466878206563
655.863629,0.2991530391239921
655.923894,0.2928777478112949
655.984159,0.2666282267661001
656.044424,0.2610352038770641
656.104689,0.2910675232696927
656.164954,0.3143966102917489
656.225219,0.30008185246212604
656.285484,0.2731047111528614
656.345749,0.2668149318639969
656.406014,0.2706848635185634
656.466279,0.2689311177540696
656.526544,0.2673758319598812
656.586809,0.26930788499445485
656.647074,0.26644165231603983
656.707339,0.26310554908375017
656.767604,0.270766081159656
656.827869,0.27878901552309526
656.888134,0.2706848635185634
656.948399,0.2629214396452128
657.008664,0.2766782500736356
657.068929,0.2914753031816046
657.129193,0.2786775222170338
657.189458,0.2581795515168342
657.249723,0.265086259079794
657.309988,0.28771064752079023
657.370253,0.2895868578072874
657.430518,0.2743364516906979
657.490783,0.26911943543999783
657.551048,0.2697660977694513
657.611313,0.25905885596248596
657.671578,0.25423404480124123
657.731843,0.27659525904788984
657.792108,0.2974229735372224
657.852373,0.28029854827719325
657.912638,0.253548538729919
657.972903,0.2567634617999375
658.033168,0.2731866548571483
658.093433,0.2632634597816724
658.153698,0.24600584085958407
658.213963,0.2628162921002657
658.274228,0.2942869403572507
658.334493,0.2893842179390506
658.394758,0.26229118479840274
658.455023,0.2658029590889266
658.515288,0.2957029132873307
658.575553,0.302764501027462
658.635818,0.28128131202949214
658.696083,0.2722593974614645
658.756348,0.2811688220041853
658.816613,0.27934715150407713
658.876878,0.2700359987952419
658.937143,0.28195719791700274
658.997408,0.3061132951394408
659.057673,0.3052573767579843
659.117938,0.282323980631404
659.178203,0.27725988490160886
659.238467,0.2964134525853191
659.298732,0.31073960514861376
659.358997,0.3061132951394408
659.419262,0.29763124250433265
659.479527,0.29499407723894044
659.539792,0.2925557594147877
659.600057,0.29499407723894044
659.660322,0.30431254413725006
659.720587,0.3052573767579843
659.780852,0.293963402701192
659.841117,0.29205883712740227
659.901382,0.30906613372020164
659.961647,0.3185104482357901
660.021912,0.3078939110457206
660.082177,0.30431254413725006
660.142442,0.32400381129591416
660.202707,0.34041153372449867
660.262972,0.3326714209526742
660.323237,0.32400381129591416
660.383502,0.33393797728523716
660.443767,0.34215206713408347
660.504032,0.33220600682924445
660.564297,0.3260188751690383
660.624562,0.3383075114244174
660.684827,0.3474619904360038
660.745092,0.342015233675746
660.805357,0.345452543919518
660.865622,0.3644011345962703
660.925887,0.36918404217457024
660.986152,0.353101403945268
661.046417,0.3499727446358135
661.106682,0.37274154811529675
661.166947,0.3863931131165282
661.227212,0.37376426043316535
661.287477,0.36791991013572345
661.347742,0.3849391535160073
661.408006,0.39293149314703246
661.468271,0.3749172290154562
661.528536,0.36019850381885676
661.588801,0.3718480410371971
661.649066,0.3874532820145809
661.709331,0.3874532820145809
661.769596,0.38758503852780385
661.829861,0.3997203905220534
661.890126,0.404262847481348
661.950391,0.39374176631774155
662.010656,0.3889128486206114
662.070921,0.3967178326457157
662.131186,0.3965829715103083
662.191451,0.3887806407286956
