nu,[0]Vinylchloride-HITRAN(x-sec)-X=0.01-T=278.1K-P=1.0atm-L=15cm
615.335907,0.878306199115154
615.455109,0.884599746604518
615.574311,0.8905286534137579
615.693514,0.8909116630759016
615.812716,0.8915355195643516
615.931919,0.8893183576327932
616.051121,0.8906622427307183
616.170323,0.8889982606449602
616.289526,0.8851129632759962
616.408728,0.8853165626705826
616.527931,0.8824880776596943
616.647133,0.8803022188123942
616.766335,0.8763322317132394
616.885538,0.8664854167773611
617.00474,0.8578122725460592
617.123942,0.8501776086263031
617.243145,0.8402884947314696
617.362347,0.8304894941823078
617.48155,0.8224068952617947
617.600752,0.8071062168342192
617.719954,0.7930492130033987
617.839157,0.7723403177435161
617.958359,0.7401739891110929
618.077562,0.6890234318887148
618.196764,0.6224387805359352
618.315966,0.5504220122367547
618.435169,0.5511600721228372
618.554371,0.4731702588372971
618.673573,0.39277827974326085
618.792776,0.5716204824677156
618.911978,0.6980322317455601
619.031181,0.7597088585129557
619.150383,0.7917813488244141
619.269585,0.8120202505747245
619.388788,0.8267772229448384
619.50799,0.8408264514959001
619.627193,0.8485298628957147
619.746395,0.8555848575317351
619.865597,0.8640453699850449
619.9848,0.8723365305456271
620.104002,0.8792025284885201
620.223204,0.8868317491079402
620.342407,0.895869969378617
620.461609,0.8994606257813964
620.580812,0.9015768438342937
620.700014,0.9031288903830895
620.819216,0.9036438205917756
620.938419,0.9035805677382099
621.057621,0.9078056183550667
621.176824,0.9070515452469845
621.296026,0.9039149544059918
621.415228,0.9064304276955387
621.534431,0.9054592549186622
621.653633,0.9043037214153031
621.772835,0.9045931449114456
621.892038,0.9062382848127325
622.01124,0.9078274059513574
622.130443,0.9155337961850488
622.249645,0.9188448460384353
622.368847,0.9207607946204242
622.48805,0.9201523728407309
622.607252,0.9215677344645612
622.726455,0.9201238485593015
622.845657,0.920259116707005
622.964859,0.9194735509056783
623.084062,0.9209550956461264
623.203264,0.9214599173470532
623.322466,0.9204008475239707
623.441669,0.9231228082236769
623.560871,0.927009004380625
623.680074,0.9245640036446597
623.799276,0.9230111171213298
623.918478,0.9295106631184459
624.037681,0.928373638068075
624.156883,0.9256075002622193
624.276086,0.9264047915045708
624.395288,0.9275514633019518
624.51449,0.9254492349117475
624.633693,0.9245760230548331
624.752895,0.9236084985461591
624.872097,0.9255714022736243
624.9913,0.9249653515084283
625.110502,0.9210785118976472
625.229705,0.9285444745339525
625.348907,0.9330271302942094
625.468109,0.9339148611442329
625.587312,0.9355253835165745
625.706514,0.9307635576166724
625.825717,0.9310549322079512
625.944919,0.9323444043430172
626.064121,0.9251929209747961
