nu,[0]Ethyl2-2-2-trifluoroacetate-PNNL(x-sec)-X=0.01-T=278.13K-P=1.0atm-L=15cm
553.761075,0.986629194105981
553.881078,0.9875274353103793
554.00108,0.9860916276953461
554.121082,0.9875205226425265
554.241085,0.9880608441328672
554.361087,0.9891206132925581
554.48109,0.9888911639274297
554.601092,0.9870782125332449
554.721094,0.9897805768149914
554.841097,0.9879857543621605
554.961099,0.9894975400462095
555.081102,0.9854173716438599
555.201104,0.9892284333154915
555.321106,0.9898577827109738
555.441109,0.9885727922332387
555.561111,0.9885045830638179
555.681114,0.9892531643354608
555.801116,0.9876291558747354
555.921118,0.9873704309303439
556.041121,0.9903131230027169
556.161123,0.9875926142719919
556.281126,0.9874128887717111
556.401128,0.9886953828599374
556.52113,0.9884057375478698
556.641133,0.9894124469168225
556.761135,0.9880638083198459
556.881138,0.9881379158844688
557.00114,0.9885866323492105
557.121142,0.9884492283571127
557.241145,0.9893125213060122
557.361147,0.9914640399607179
557.48115,0.9874059769056812
557.601152,0.9895173301949113
557.721154,0.9893748499581865
557.841157,0.988201158734835
557.961159,0.9894035422448714
558.081162,0.9879669828111579
558.201164,0.9870347820473712
558.321166,0.988642983393244
558.441169,0.9891661138872752
558.561171,0.9869123973224071
558.681174,0.9880667725157171
558.801176,0.9885579637525691
558.921178,0.988140880302663
559.041181,0.9886983489505351
559.161183,0.9882614408441035
559.281186,0.9896489447520013
559.401188,0.9894074998669556
559.52119,0.9888911639274297
559.641193,0.9884680090708676
559.761195,0.990327779745397
559.881198,0.9895183197127362
560.0012,0.9905998601550264
560.121202,0.9876015026455179
560.241205,0.9892353579387608
560.361207,0.9885184222248548
560.48121,0.9905230916406828
560.601212,0.991230775916706
560.721214,0.9888110669871214
560.841217,0.9887744816544758
560.961219,0.9897390069037394
561.081222,0.9891651247216559
561.201224,0.9878267014598104
561.321226,0.9886716544554908
561.441229,0.9913133488794561
561.561231,0.989568786433932
561.681234,0.9880559038409973
561.801236,0.9889050085006365
