nu,[0]2-(Perfluoroheptyl)ethanol-HITRAN(x-sec)-X=0.01-T=296.0K-P=0.9211atm-L=15cm
597.825518,1.0
598.066576,1.0
598.307635,1.0
598.548694,1.0
598.789752,1.0
599.030811,1.0
599.27187,1.0
599.512928,1.0
599.753987,1.0
599.995046,1.0
600.236104,0.7532561020816693
600.477163,0.8222095412903557
600.718222,0.7662628667724547
600.95928,0.8333179641366912
601.200339,0.8161150021018013
601.441398,0.777664563570187
601.682456,0.7935966057891642
601.923515,0.7400333694124562
602.164573,0.7659794019559738
602.405632,0.7558895585865556
602.646691,0.7760952666752523
602.887749,0.7450678432377964
603.128808,0.8108517829125248
603.369867,0.791448870483247
603.610925,0.7784348327084332
603.851984,0.804463245285854
604.093043,0.7716686738745262
604.334101,0.7588508723563114
604.57516,0.7772602831191575
604.816219,0.7191610174136623
605.057277,0.7480840058706132
605.298336,0.7509321331074259
605.539395,0.6848811222096098
605.780453,0.7446879555173479
606.021512,0.7435122775777829
606.262571,0.7436163765834043
606.503629,0.7464251014428073
606.744688,0.7097162760569489
606.985747,0.7094750135400416
607.226805,0.7994910030437712
607.467864,0.8008593022213526
607.708923,0.7892043444266954
607.949981,0.7201541447179238
608.19104,0.7777656665350015
608.432099,0.7868560162271621
608.673157,0.7445092518533213
608.914216,0.806888327572048
609.155275,0.8246303942518627
609.396333,0.8186079526752806
609.637392,0.7761185498824988
609.878451,0.7655811962094237
610.119509,0.7335716528057565
610.360568,0.7598608154798485
610.601627,0.7331463046100298
610.842685,0.7845146756289663
611.083744,0.7504216728330758
611.324803,0.7622047946664804
611.565861,0.7500390553556809
611.80692,0.760773195777117
612.047979,0.7822350563775667
612.289037,0.75000905439349
612.530096,0.764823645874465
612.771155,0.7754513748559816
613.012213,0.8272072589004279
613.253272,0.7404108826885594
613.494331,0.8079945221510904
613.735389,0.8012678446349458
613.976448,0.7958297483472998
614.217507,0.8199597707404048
614.458565,0.815503145325197
614.699624,0.7726956760158146
614.940683,0.8180514884867279
615.181741,0.8112654227910135
615.4228,0.8126863802560396
615.663859,0.8307802163786882
615.904917,0.7707123977326605
616.145976,0.841465722491245
616.387035,0.7598912105203645
616.628093,0.8247128614145772
616.869152,0.8193696121880455
617.110211,0.8239544744935511
617.351269,0.7989155766999219
617.592328,0.7822037676010913
617.833387,0.7881475188364454
618.074445,0.7547263845402299
618.315504,0.8032494224523481
