nu,[0]Methylvinylether-HITRAN(x-sec)-X=0.01-T=278.1K-P=1.0atm-L=15cm
639.132783,0.9998805871302844
639.251785,0.9999104450102875
639.370787,0.9999666785551716
639.48979,0.999929978451623
639.608792,0.9998763176492926
639.727795,0.9998066686909066
639.846797,1.0
639.965799,0.9998160469214428
640.084802,0.9999816321686906
640.203804,0.9997929414395833
640.322806,0.9999622997106737
640.441809,0.9997568195731545
640.560811,0.9999825481522853
640.679814,0.9997583891925934
640.798816,0.9999011668843142
640.917818,0.9997896821199068
641.036821,0.9998719282018931
641.155823,0.9999971991039225
641.274825,0.9996401947454415
641.393828,0.9999796502070598
641.51283,0.9995747704357294
641.631833,0.9999795662087727
641.750835,0.9997751052926069
641.869837,0.9999121388600161
641.98884,0.9995716117844454
642.107842,0.9997828135883842
642.226845,0.9997264674168603
642.345847,0.9998443421159458
642.464849,0.9998513210538101
642.583852,0.9997343652871494
642.702854,0.9996951964620399
642.821856,0.9994327309579569
642.940859,0.9996462725763022
643.059861,0.999444084578269
643.178864,0.9996606076066329
643.297866,0.9994523300259792
643.416868,0.9996755026606541
643.535871,0.9994873914286899
643.654873,0.999515837244632
643.773875,0.9993717374396227
643.892878,0.9995371871309315
644.01188,0.9993237087880591
644.130883,0.9995682632251548
644.249885,0.9995177763072371
644.368887,0.9993951929695499
644.48789,0.9993185822705825
644.606892,0.9992482826811369
644.725895,0.9994566576639375
644.844897,0.9993470332756179
644.963899,0.9995629655273987
645.082902,0.9993461038833091
645.201904,0.9994698605735903
645.320906,0.999258704895077
645.439909,0.9994448341616136
645.558911,0.9992778508752806
645.677914,0.9994125426206945
645.796916,0.9993442151209576
645.915918,0.999370138446122
646.034921,0.9994623545831224
646.153923,0.999172742366426
646.272925,0.9993134557794049
646.391928,0.9992262894684713
646.51093,0.9993708579928807
646.629933,0.9992367214453881
646.748935,0.9993792627371383
646.867937,0.9991490922275147
646.98694,0.999179726608305
647.105942,0.9989916087684918
647.224944,0.9991635500194811
647.343947,0.9991847624868175
647.462949,0.9992063850790334
647.581952,0.9991411789980407
647.700954,0.9990174929764034
647.819956,0.9991842429108762
647.938959,0.9989224809410154
648.057961,0.9991152616120074
648.176964,0.9989115927453139
648.295966,0.9991962731615828
648.414968,0.9990363745854514
648.533971,0.9990877463565895
648.652973,0.9989108935074438
648.771975,0.998869939000383
648.890978,0.9988555553768238
649.00998,0.9989394627675365
649.128983,0.9989414606484599
649.247985,0.998916587315764
649.366987,0.9988629469352823
649.48599,0.9987167241036234
649.604992,0.9989055992937378
649.723994,0.9986187547984618
649.842997,0.9988733351639492
649.961999,0.9986788734570542
650.081002,0.9990870469954117
650.200004,0.9986143608856074
650.319006,0.9988621478452444
650.438009,0.9984747643559804
650.557011,0.9983959878048485
650.676014,0.9981415290996968
650.795016,0.9978157888682962
650.914018,0.9978151901790026
651.033021,0.9978643836804882
651.152023,0.9982848725150864
651.271025,0.9982268738488708
651.390028,0.9986883609514176
651.50903,0.9984023775596176
651.628033,0.9987184219234976
651.747035,0.998573917822969
651.866037,0.9987563739446145
651.98504,0.9985011244377109
652.104042,0.9986246466664962
652.223044,0.9984799564382544
652.342047,0.9984625830381614
652.461049,0.998465278890775
652.580052,0.9984885434028037
652.699054,0.9986992467138792
652.818056,0.9985530478461786
652.937059,0.9985802088584681
653.056061,0.9983764194352581
653.175064,0.9985490536419755
653.294066,0.9983117267393447
653.413068,0.9983939910148696
653.532071,0.9982244781072485
653.651073,0.9984399181947734
653.770075,0.998133444186055
653.889078,0.9982015192082804
654.00808,0.9982719947232929
654.127083,0.9980511015735891
654.246085,0.9978496153968953
654.365087,0.9978455242218591
654.48409,0.9979076919345223
654.603092,0.9978883327130839
654.722094,0.998046211135173
654.841097,0.9979561914268784
654.960099,0.9980880301475217
655.079102,0.9977332729146386
655.198104,0.9982061109458297
655.317106,0.9979260536049808
655.436109,0.9982901634389316
655.555111,0.997880848578654
655.674113,0.9980244539649242
655.793116,0.9978166869029104
655.912118,0.9977869524086869
656.031121,0.9979318415928768
656.150123,0.9976419844966757
656.269125,0.9979627779594774
656.388128,0.9975680619644882
