nu,[0]HFC-245cb-HITRAN(x-sec)-X=0.01-T=296.0K-P=0.9211atm-L=15cm
515.144623,0.8330096935235409
515.265152,0.8344937712153125
515.385682,0.8322686447119416
515.506212,0.8315282551403792
515.626741,0.8344937712153125
515.747271,0.832634923491037
515.867801,0.8307802163786882
515.98833,0.8311541516051745
516.10886,0.8322686447119416
516.22939,0.8330096935235409
516.349919,0.8322686447119416
516.470449,0.8311541516051745
516.590979,0.8322686447119416
516.711508,0.8344937712153125
516.832038,0.8356043863263639
516.952567,0.8348610292654932
517.073097,0.8344937712153125
517.193627,0.8344937712153125
517.314156,0.8344937712153125
517.434686,0.8352368012710228
517.555216,0.8371014576569985
517.675745,0.8360055727088296
517.796275,0.8352368012710228
517.916805,0.8389618872057177
518.037334,0.8404901881724499
518.157864,0.838617983337074
518.278394,0.8389618872057177
518.398923,0.8404901881724499
518.519453,0.84086008522663
518.639983,0.84086008522663
518.760512,0.8401120526746403
518.881042,0.837871945368045
519.001572,0.8393395050125946
519.122101,0.842358149059606
519.242631,0.8431081815272088
519.363161,0.8457427869007649
519.48369,0.8461234567991736
519.60422,0.8449904106775056
519.72475,0.849141024388735
519.845279,0.8533120260167527
519.965809,0.8536875659209202
520.086339,0.8529281219899295
520.206868,0.8575035157075082
520.327398,0.8617414459544692
520.447928,0.8602089105418279
520.568457,0.856766379697916
520.688987,0.8575035157075082
520.809517,0.856766379697916
520.930046,0.8575035157075082
521.050576,0.8628624383213754
521.171105,0.865974341163594
521.291635,0.8678989397149366
521.412165,0.866355453712318
521.532694,0.8644342778992561
521.653224,0.867517148181759
521.773754,0.8694451755692818
521.894283,0.8690627038419818
522.014813,0.8737159116880344
522.135343,0.874135395993824
522.255872,0.8710290066379002
522.376402,0.8752725109732089
522.496932,0.8784291705908325
522.617461,0.8796070546855169
522.737991,0.8811741495435155
522.858521,0.8803902534359334
522.97905,0.8811741495435155
523.09958,0.8839277062047981
523.22011,0.8862909467024873
523.340639,0.8882606982193737
523.461169,0.8886605054834601
523.581699,0.8898521087566975
523.702228,0.8934186455098495
523.822758,0.891865448739724
523.943288,0.8890516021408278
524.063817,0.8926238566488516
524.184347,0.8966138501210044
524.304877,0.8978430529073212
524.425406,0.8978430529073212
524.545936,0.8970353576770776
524.666466,0.899037978617143
524.786995,0.9006396913204819
524.907525,0.899037978617143
525.028055,0.9030476124405173
525.148584,0.9046655152578138
525.269114,0.9042585073595931
525.389643,0.9082941491807504
525.510173,0.9083259400323083
525.630703,0.9082941491807504
525.751232,0.909103799913508
525.871762,0.9115361734707715
525.992292,0.9156042950015247
526.112821,0.9172676258130484
526.233351,0.917676818417329
526.353881,0.9189036539904162
526.47441,0.9201321297112037
526.59494,0.9201321297112037
526.71547,0.917676818417329
526.835999,0.9189036539904162
526.956529,0.923826495874489
527.077059,0.9267114822450763
527.197588,0.9283634260142227
527.318118,0.9291900372508124
527.438648,0.9283949909073074
527.559177,0.9283634260142227
527.679707,0.9287766396720191
527.800237,0.9296045484365496
527.920766,0.9316761530018375
528.041296,0.934584718214736
528.161826,0.9358669126068254
528.282355,0.9317087622378508
528.402885,0.9316761530018375
528.523415,0.934584718214736
528.643944,0.9346174292523133
528.764474,0.9354496090294179
528.885004,0.9358669126068254
529.005533,0.9367002049191202
529.126063,0.9354496090294179
529.246593,0.9333696140929604
529.367122,0.9366683576535595
529.487652,0.9392064146717859
529.608181,0.9383699544546775
529.728711,0.9417193299715321
529.849241,0.9425587758121237
529.96977,0.9417193299715321
530.0903,0.9404620330080737
530.21083,0.9371180663866948
530.331359,0.9408806317440733
530.451889,0.94592215679693
530.572419,0.9471867533608176
530.692948,0.95099069587686
530.813478,0.9505999190110014
530.934008,0.9467975395940943
531.054537,0.9476083452633044
531.175067,0.9484530405548041
531.295597,0.9501437405414674
531.416126,0.9493307655025219
531.536656,0.9484530405548041
531.657186,0.9552349001531553
531.777715,0.9561189012232608
531.898245,0.9505999190110014
532.018775,0.95141398091046
532.139304,0.9548423792777577
532.259834,0.9552673786918926
532.380364,0.9565444688160718
532.500893,0.9561189012232608
532.621423,0.9548423792777577
532.741953,0.9535675616268515
532.862482,0.9544166145291963
532.983012,0.9591037733449016
533.103542,0.9612411163245457
533.224071,0.9608134591885512
533.344601,0.958676108438353
533.465131,0.9616699254797599
533.58566,0.9620979638280674
533.70619,0.9603859923176452
533.826719,0.9629555751229333
533.947249,0.9633841857126463
534.067779,0.9646721271380604
534.188308,0.9664014030220717
534.308838,0.9651015017634054
534.429368,0.9651015017634054
534.549897,0.9676904750679406
534.670427,0.9672725230668434
534.790957,0.9642419792994551
534.911486,0.9655310675029785
535.032016,0.9720024052380664
535.152546,0.972465188516642
535.273075,0.9647049265479699
535.393605,0.966388839885493
535.514135,0.9733086814364296
535.634664,0.9720325377796807
535.755194,0.9715864772235688
535.875724,0.974619636996812
535.996253,0.9741957696525496
536.116783,0.9741928470696245
536.237313,0.9759294304987679
536.357842,0.9772370752790108
536.478372,0.976809139164889
536.598902,0.9772370752790108
536.719431,0.976809139164889
536.839961,0.9768052319361469
536.960491,0.9755079200376073
537.08102,0.9716000795294659
537.20155,0.975046613898932
537.32208,0.9798517443864466
537.442609,0.9802986586705995
537.563139,0.9776857300549581
537.683669,0.9750670900928232
537.804198,0.978969295567645
537.924728,0.9837898222686854
538.045257,0.9824901114218063
538.165787,0.9833550832516431
538.286317,0.9837996602160978
538.406846,0.9820530005865977
538.527376,0.9811754375332065
538.647906,0.9811715128393057
538.768435,0.9829205363467864
538.888965,0.9820490723824518
539.009495,0.9837898222686854
539.130024,0.9851217907717145
539.250554,0.9798782007407042
539.371084,0.979411889707982
539.491613,0.9846628309631558
539.612143,0.9838104820718803
539.732673,0.9816151026068443
539.853202,0.9829146388412608
539.973732,0.9855504119690518
540.094262,0.9877506417321351
540.214791,0.9895153511622299
540.335321,0.9882041233427581
540.455851,0.9868818035122966
540.57638,0.9881942413509347
540.69691,0.9886410061092544
540.81744,0.9886410061092544
540.937969,0.9895183197127362
541.058499,0.99084139784318
541.179029,0.9939348676256194
541.299558,0.9952771877168205
541.420088,0.9904274117314442
541.540618,0.9877615070489533
541.661147,0.9886410061092544
541.781677,0.9873210636429899
541.902207,0.9908312913124654
542.022736,0.9939417257998667
542.143266,0.9882179582973294
542.263795,0.9899458839740831
542.384325,0.9999735013510954
542.504855,1.0
542.625384,0.9939654812909904
542.745914,0.9912963975661244
542.866444,0.9890879728508897
542.986973,0.9899557834824203
543.107503,0.9912895576445789
543.228033,0.9895292044741192
543.348562,0.9921625740439646
543.469092,0.9935059778978133
543.589622,0.9904173094233665
543.710151,0.9899627131971587
543.830681,0.9926079565435526
543.951211,0.9952635525127501
544.07174,0.9979359331218149
544.19227,0.9952874391246486
544.3128,0.9939451052074795
544.433329,0.9943878075231836
544.553859,0.9935059778978133
544.674389,0.9952704198549548
544.794918,0.9966094609030812
544.915448,0.993951864057175
545.035978,0.9999483803323409
545.156507,1.0
545.277037,1.0
545.397567,1.0
545.518096,1.0
545.638626,1.0
545.759156,1.0
545.879685,1.0
546.000215,1.0
546.120745,1.0
546.241274,1.0
546.361804,1.0
546.482333,1.0
546.602863,1.0
546.723393,1.0
546.843922,1.0
546.964452,1.0
547.084982,1.0
547.205511,1.0
547.326041,1.0
547.446571,1.0
547.5671,1.0
547.68763,1.0
547.80816,1.0
547.928689,1.0
548.049219,1.0
548.169749,1.0
548.290278,1.0
548.410808,1.0
548.531338,1.0
548.651867,1.0
548.772397,1.0
548.892927,1.0
549.013456,1.0
549.133986,1.0
549.254516,1.0
549.375045,1.0
549.495575,1.0
549.616105,1.0
549.736634,1.0
549.857164,1.0
549.977694,1.0
550.098223,1.0
550.218753,1.0
550.339283,1.0
550.459812,1.0
550.580342,1.0
550.700871,1.0
550.821401,1.0
550.941931,1.0
551.06246,1.0
551.18299,1.0
551.30352,1.0
551.424049,1.0
551.544579,1.0
551.665109,1.0
551.785638,1.0
551.906168,1.0
552.026698,1.0
552.147227,1.0
