nu,[0]Trichloromethanol-HITRAN(x-sec)-X=0.01-T=295.0K-P=0.9211atm-L=15cm
1156.115818,0.9668740888704204
1156.597935,0.9619719372497271
1157.080052,0.9636925179826064
1157.562168,0.966359848655167
1158.044285,0.96528392318552
1158.526402,0.9575847979701351
1159.008518,0.9593963446106217
1159.490635,0.9623029125206237
1159.972752,0.9653167433968488
1160.454868,0.9678656428961381
1160.936985,0.9733700018149317
1161.419101,0.9736640039475674
1161.901218,0.972560494775047
1162.383335,0.9685337006431539
1162.865451,0.9710075842103976
1163.347568,0.9743740637918121
1163.829685,0.9790975489457773
1164.311801,0.9824350935160824
1164.793918,0.9835153831943035
1165.276035,0.9773318718728734
1165.758151,0.9762173721500704
1166.240268,0.9735637217197842
1166.722384,0.971674895615972
1167.204501,0.9726042609820441
1167.686618,0.9803261074173228
1168.168734,0.98191159513595
1168.650851,0.982410532945753
1169.132968,0.9777893702351764
1169.615084,0.9738821291135582
1170.097201,0.9749032925810638
1170.579317,0.9781727388036389
1171.061434,0.9783703496549012
1171.543551,0.978788202999544
1172.025667,0.9747794877246808
1172.507784,0.9763589339320133
1172.989901,0.9740554955616966
1173.472017,0.9703232651143542
1173.954134,0.9621701238813227
1174.436251,0.9601881731792985
1174.918367,0.9648197332650933
1175.400484,0.9595613749740992
1175.8826,0.9488372418317358
1176.364717,0.9548567020208671
1176.846834,0.9627658915590785
1177.32895,0.9677659578687868
1177.811067,0.9735004421344812
1178.293184,0.9717915035997851
1178.7753,0.9667716056487068
1179.257417,0.9648197332650933
