nu,[0]3-3-3-Trifluoropropan-1-ol-HITRAN(x-sec)-X=0.01-T=298.0K-P=0.0atm-L=15cm
768.976167,0.9999997956100208
769.458284,0.999999703500044
769.9404,0.9999995795500883
770.422517,0.9999996038600785
770.904634,0.9999995285201111
771.386751,0.9999994458901535
771.868867,0.9999995285201111
772.350984,0.9999994872001314
772.833101,0.9999992952102483
773.315217,0.9999992563202765
773.797334,0.9999992781902605
774.279451,0.9999991639703495
774.761567,0.9999989987005014
775.243684,0.9999990424504585
775.725801,0.9999994629001442
776.207917,0.9999998240000155
776.690034,0.9999996986400455
777.172151,0.9999993170802332
777.654267,0.9999990959204087
778.136384,0.9999990035704964
778.618501,0.9999989428005588
779.100618,0.9999990837704197
779.582734,0.9999992514602801
780.064851,0.9999991736903414
780.546968,0.9999989938005062
781.029084,0.9999988893006169
781.511201,0.9999989331005691
781.993318,0.9999990230104773
782.475434,0.9999989695005309
782.957551,0.9999988845006221
783.439668,0.9999988966006087
783.921784,0.9999990035704964
784.403901,0.9999991129303935
784.886018,0.9999990157204844
785.368135,0.9999986925008548
785.850251,0.9999985345010739
786.332368,0.9999987022008422
786.814485,0.9999989185005849
787.296601,0.9999990108604891
787.778718,0.9999989963005037
788.260835,0.9999988942006114
788.742951,0.9999988286006861
789.225068,0.9999988116007061
789.707185,0.9999987022008422
790.189301,0.9999985224010917
790.671418,0.9999984349012248
791.153535,0.9999985005011243
791.635651,0.9999985442010597
792.117768,0.9999984835011498
792.599885,0.9999983693013296
793.082002,0.9999981384017328
793.564118,0.9999980144019713
794.046235,0.9999981408017283
794.528352,0.9999982866014678
795.010468,0.9999984081012671
795.492585,0.9999985369010703
795.974702,0.999998561201035
796.456818,0.9999984519011983
796.938935,0.9999983206014101
797.421052,0.9999982088016042
797.903168,0.9999982259015737
798.385285,0.9999984786011573
798.867402,0.9999986074009697
799.349518,0.9999982915014595
799.831635,0.9999979998020004
800.313752,0.9999981432017239
800.795869,0.9999983814013099
801.277985,0.9999983960012864
801.760102,0.9999982988014471
802.242219,0.9999981627016878
802.724335,0.9999979901020198
803.206452,0.9999980484019043
803.688569,0.9999983644013376
804.170685,0.9999985977009832
804.652802,0.9999986001009799
805.134919,0.999998546701056
805.617035,0.9999985783010106
806.099152,0.9999987532007772
806.581269,0.9999989015006033
807.063386,0.9999988869006194
807.545502,0.9999988140007033
808.027619,0.9999987411007925
808.509736,0.9999987970007236
808.991852,0.9999990570304446
809.473969,0.9999992295902967
809.956086,0.9999990594604423
810.438202,0.9999987508007803
810.920319,0.9999986755008772
811.402436,0.9999988699006386
811.884552,0.9999990205804796
812.366669,0.9999989768005235
812.848786,0.9999988820006249
813.330902,0.9999989428005588
813.813019,0.9999991323703764
814.295136,0.9999992004203196
814.777253,0.9999991202203871
815.259369,0.9999991032104021
815.741486,0.9999991785503374
816.223603,0.9999992514602801
816.705719,0.9999992490302819
817.187836,0.9999991664003475
817.669953,0.9999990959204087
818.152069,0.9999990424504585
818.634186,0.9999989963005037
819.116303,0.9999990035704964
819.598419,0.9999989695005309
820.080536,0.9999988213006946
820.562653,0.9999987046008391
821.044769,0.9999986706008837
821.526886,0.9999987216008172
822.009003,0.9999988602006495
822.49112,0.9999988820006249
822.973236,0.9999986512009096
823.455353,0.999998422701244
823.93747,0.9999984543011946
824.419586,0.9999985442010597
824.901703,0.9999985224010917
825.38382,0.9999985758010141
825.865936,0.9999986706008837
826.348053,0.999998561201035
826.83017,0.9999982939014553
827.312286,0.9999979804020394
827.794403,0.9999976717027105
828.27652,0.9999975867029121
828.758637,0.9999976499027615
829.240753,0.9999975454030126
829.72287,0.9999972975036517
830.204987,0.9999970836042527
830.687103,0.9999969111047706
831.16922,0.9999967579052556
831.651337,0.9999965708058797
832.133453,0.9999962719069494
832.61557,0.9999959900080401
833.097687,0.9999959292082857
833.579803,0.9999958296086962
834.06192,0.9999954018105717
834.544037,0.9999948501132607
835.026153,0.9999945099150706
835.50827,0.9999943665158681
835.990387,0.999994237716602
836.472504,0.9999940287178282
836.95462,0.9999938221190832
837.436737,0.9999935815205985
837.918854,0.999993260722709
838.40097,0.9999930055244615
838.883087,0.9999928548255269
839.365204,0.9999926288271672
839.84732,0.9999923493292665
840.329437,0.9999921962304495
840.811554,0.9999921063311552
841.29367,0.999992043131656
841.775787,0.999992043131656
842.257904,0.9999919799321609
842.74002,0.999991744234079
843.222137,0.9999914307367164
843.704254,0.9999911876388291
844.186371,0.9999910856397332
844.668487,0.9999910710398634
845.150604,0.999990998140517
845.632721,0.9999909519409339
846.114837,0.9999910175403426
846.596954,0.9999910418401246
847.079071,0.9999910102404082
847.561187,0.9999910637399286
848.043304,0.999991117239452
848.525421,0.9999909883406053
849.007537,0.9999906967432756
849.489654,0.9999904488456126
849.971771,0.9999903808462643
850.453888,0.9999904075460079
850.936004,0.9999902836472041
851.418121,0.9999900527494743
851.900238,0.9999899770502301
852.382354,0.9999900988490167
