nu,[0]Halon-1201-HITRAN(x-sec)-X=0.01-T=296.0K-P=0.9211atm-L=15cm
575.107481,0.9425587758121237
575.22801,0.9424937415003022
575.348538,0.9341371593336205
575.469066,0.9304322647637876
575.589594,0.9351615349155277
575.710122,0.9412354106138557
575.830651,0.9437216675581338
575.951179,0.9377273911389373
576.071707,0.9364435842216134
576.192235,0.9376317478229331
576.312764,0.9400755825335199
576.433292,0.9199738805947075
576.55382,0.8998744728467833
576.674348,0.9194698730188304
576.794876,0.917456602407887
576.915405,0.9010450703850249
577.035933,0.905499096002376
577.156461,0.9056231578765727
577.276989,0.8941247251045201
577.397518,0.8703759797985972
577.518046,0.8438926368512151
577.638574,0.8233861420034082
577.759102,0.8148021141068481
577.87963,0.8378970819034521
578.000159,0.8709680367414068
578.120687,0.8646936470860586
578.241215,0.8438335664341242
578.361743,0.8265870860501421
578.482272,0.8127676529576325
578.6028,0.8024786730257122
578.723328,0.7046317169264776
578.843856,0.6284555357961469
578.964384,0.7260691650726534
579.084913,0.8633371431943258
579.205441,0.9065228883145751
579.325969,0.919595849020593
579.446497,0.9255686255635825
579.567025,0.9495253982586258
579.687554,0.9744227837129896
579.808082,0.9746362056714742
579.92861,0.9733583214449923
580.049138,0.9833216497471854
580.169667,0.9822513953299107
580.290195,0.9550056712856829
580.410723,0.95099069587686
580.531251,0.9547764974265375
580.651779,0.9366037297665691
580.772308,0.9447886757885862
580.892836,0.9438179320776318
581.013364,0.9257907886922269
581.133892,0.9422355335912301
581.254421,0.9583482972681724
581.374949,0.941493344451686
581.495477,0.9412034091539228
581.616005,0.9521963647184599
581.736533,0.9450475833544689
581.857062,0.9365082010581799
581.97759,0.9364435842216134
582.098118,0.9317404408743006
582.218646,0.9186197566257348
582.339175,0.9196280354385677
582.459703,0.9279819470454289
582.580231,0.9221826251867085
582.700759,0.9150084305803918
582.821287,0.9267114822450763
582.941816,0.9375670534643145
583.062344,0.9305597427161005
583.182872,0.9186519088798779
583.3034,0.9196593033233238
583.423929,0.9338812408144013
583.544457,0.9341053992101283
583.664985,0.9221826251867085
583.785513,0.9279494682456647
583.906041,0.9316444765511381
584.02657,0.9209827247134298
584.147098,0.924396672703907
584.267626,0.9233203776438107
584.388154,0.918557292606085
584.508683,0.9185260621890565
584.629211,0.9126918217511489
584.749739,0.9022171906896499
584.870267,0.8929006129394214
584.990795,0.9019736249310207
585.111324,0.904475555446088
585.231852,0.8906711493976789
585.35238,0.8973493750020909
585.472908,0.9032372723527236
585.593437,0.9090101670442924
585.713965,0.9208252501319643
585.834493,0.9104438965496492
585.955021,0.9021540376966821
586.075549,0.9009549703830616
586.196078,0.9020638268035323
586.316606,0.9090101670442924
586.437134,0.9056539495873966
586.557662,0.9078591804666164
586.67819,0.9243014647499124
586.798719,0.9162949209732278
586.919247,0.9056539495873966
587.039775,0.9136926803581175
587.160303,0.9196593033233238
587.280832,0.9196905722712059
587.40136,0.9115361734707715
587.521888,0.9033005011747712
587.642416,0.9078591804666164
587.762944,0.9125667915363342
587.883473,0.9184626860772664
588.004001,0.917393300086276
588.124529,0.9126297608173655
588.245057,0.9184314588768053
588.365586,0.9220562948208855
588.486114,0.9150715683403295
588.606642,0.9079835656945339
588.72717,0.9242062666018319
588.847698,0.9423646287021452
588.968227,0.9306239535535964
589.088755,0.9197540331100663
589.209283,0.9255686255635825
589.329811,0.933944746897959
589.45034,0.9412034091539228
589.570868,0.9329534240623506
589.691396,0.9221826251867085
589.811924,0.9232262037682404
589.932452,0.9315485221117918
590.052981,0.932858267666155
590.173509,0.932793902666304
590.294037,0.9304964668050013
590.414565,0.9163260755301654
590.535094,0.924270039034351
590.655622,0.9411384683591744
590.77615,0.9460839233163856
590.896678,0.95099069587686
591.017206,0.9474141054627851
591.137735,0.9413323628541036
591.258263,0.9424937415003022
591.378791,0.9425257868322807
591.499319,0.9376955089496388
591.619848,0.9316761530018375
591.740376,0.9304322647637876
591.860904,0.936347135499633
591.981432,0.9472843186209384
592.10196,0.9437858428134617
592.222489,0.9388524005893022
592.343017,0.9460517570098231
592.463545,0.9462135456928099
592.584073,0.948550736249223
592.704602,0.9546781605117406
592.82513,0.9510877018750612
592.945658,0.9510230301101986
593.066186,0.9547115748321058
593.186714,0.9571673820015136
593.307243,0.9571999262457507
593.427771,0.9559544629143504
593.548299,0.9608461274015201
593.668827,0.9535999834751151
593.789355,0.9534369318192547
593.909884,0.9657299873909291
