nu,[0]HFE-227ea-HITRAN(x-sec)-X=0.01-T=298.0K-P=0.0atm-L=15cm
790.189297,0.9999984446012097
790.671414,0.9999986876008612
791.153531,0.9999988334006805
791.635647,0.9999990035704964
792.117764,0.9999990278704726
792.599881,0.999998566101028
793.081997,0.9999980314019377
793.564114,0.9999981530017057
794.046231,0.9999987848007383
794.528347,0.9999992709002657
795.010464,0.9999993195102316
795.492581,0.9999989307005717
795.974697,0.9999984446012097
796.456814,0.999998323101406
796.938931,0.9999988820006249
797.421048,0.9999996354500664
797.903164,0.9999998298800145
798.385281,0.9999997812700239
798.867398,0.9999999513930011
799.349514,0.9999997083600425
799.831631,0.9999993681101996
800.313748,0.9999993438102153
800.795864,0.9999999756970003
801.277981,0.9999993438102153
801.760098,0.999999465330143
802.242214,0.9999998298800145
802.724331,0.9999995139301181
803.206448,0.9999995382401066
803.688564,0.999999465330143
804.170681,0.9999994896301302
804.652798,0.9999994896301302
805.134914,0.9999992223003024
805.617031,0.9999991007804043
806.099148,0.9999992709002657
806.581265,0.9999994896301302
807.063381,0.9999998541800106
807.545498,0.9999997812700239
808.027615,0.9999998784800074
808.509731,0.9999996111500756
808.991848,0.9999992223003024
809.473965,0.9999990764804264
809.956081,0.9999992223003024
810.438198,0.9999996111500756
810.920315,0.9999999756970003
811.402431,0.9999995868400854
811.884548,0.9999992709002657
812.366665,0.9999994167201701
812.848781,0.9999999756970003
813.330898,0.9999996840600499
813.813015,0.9999996111500756
814.295131,0.9999997326600357
814.777248,0.9999999756970003
815.259365,0.9999999513930011
815.741482,0.9999998784800074
816.223598,0.9999996840600499
816.705715,0.999999465330143
817.187832,0.9999992709002657
817.669948,0.9999991979903217
818.152065,0.9999993438102153
818.634182,0.9999995625400957
819.116298,0.9999997326600357
819.598415,0.9999996111500756
820.080532,0.9999992466002838
820.562648,0.9999990521704492
821.044765,0.9999992466002838
821.526882,0.9999999027870047
822.008998,0.9999993924201845
822.491115,0.9999990521704492
822.973232,0.9999988820006249
823.455348,0.9999987848007383
823.937465,0.999998979300521
824.419582,0.9999996597500579
824.901699,0.9999997569700295
825.383815,0.9999999756970003
825.865932,0.9999992952102483
826.348049,0.9999990278704726
826.830165,0.9999995382401066
827.312282,0.9999995382401066
827.794399,0.9999990521704492
828.276515,0.9999992223003024
828.758632,0.9999996111500756
829.240749,0.9999999270900026
829.722865,0.9999999513930011
830.204982,0.9999999270900026
830.687099,0.9999991250803827
831.169215,0.9999983717013257
831.651332,0.9999984689011722
832.133449,0.9999991493903617
832.615565,0.9999997326600357
833.097682,0.9999996111500756
833.579799,0.9999990278704726
834.061915,0.9999988091007092
834.544032,0.9999987362007986
835.026149,0.9999982259015737
835.508266,0.9999980800018432
835.990382,0.9999990521704492
836.472499,0.9999999270900026
836.954616,0.9999996840600499
837.436732,0.9999991007804043
837.918849,0.9999990278704726
838.400966,0.9999994410201563
838.883082,0.9999999027870047
839.365199,0.9999999756970003
839.847316,0.9999998784800074
840.329432,0.9999998298800145
840.811549,0.9999993438102153
841.293666,0.9999992709002657
841.775782,0.9999998298800145
842.257899,0.9999995139301181
842.740016,0.999999465330143
843.222132,0.9999999270900026
843.704249,0.9999998298800145
844.186366,0.9999999027870047
844.668483,0.9999999027870047
845.150599,0.9999999756970003
845.632716,0.9999997326600357
846.114833,0.9999992709002657
846.596949,0.9999987605007682
847.079066,0.9999984203012477
847.561183,0.999998566101028
848.043299,0.999998955000546
