nu,[0]3-3-Dimethyl-2-pentanol-HITRAN(x-sec)-X=0.01-T=298.1K-P=1.0atm-L=15cm
552.170043,0.9225977007530405
552.304646,0.9160878617196648
552.439249,0.9140052166954674
552.573851,0.9151182381803856
552.708454,0.9164085485881951
552.843057,0.9131300189845121
552.97766,0.9201928604358566
553.112262,0.9387200317330427
553.246865,0.9374592394525905
553.381468,0.916837528162325
553.51607,0.9307402888185932
553.650673,0.9127602762047902
553.785276,0.9266966549799788
553.919878,0.9127447594119877
554.054481,0.9181908613542313
554.189084,0.9217198056862786
554.323686,0.9243865043964331
554.458289,0.91475409359117
554.592892,0.9193898826195106
554.727495,0.9182891130327673
554.862097,0.920168015564032
554.9967,0.9341810648118798
555.131303,0.9347520238527043
555.265905,0.9317050354102555
555.400508,0.9238237243991586
555.535111,0.916747682487075
555.669713,0.9275644491133385
555.804316,0.9297542268176343
555.938919,0.9325933735348848
556.073521,0.935298078467062
556.208124,0.9175749619436234
556.342727,0.9343781978133554
556.47733,0.9239521448218626
556.611932,0.9294976500602539
556.746535,0.9128415154844667
556.881138,0.9245057579471889
557.01574,0.9268597679447751
557.150343,0.9274642775621954
557.284946,0.9227148781016402
557.419548,0.9418747264808368
557.554151,0.933973699633878
557.688754,0.9319668813128321
557.823356,0.9394797635087823
557.957959,0.9245815705276139
558.092562,0.9229981950561448
558.227165,0.9302713139046342
558.361767,0.9389800931986829
558.49637,0.9244373470523352
558.630973,0.9300257546930055
558.765575,0.9205499645394217
558.900178,0.9363555626617747
559.034781,0.9315066033714755
559.169383,0.9304499431447623
559.303986,0.9239974195861815
559.438589,0.9444741135370702
559.573191,0.9305746317910963
559.707794,0.9356470097219638
559.842397,0.9353860006187144
559.977,0.9287292732712492
560.111602,0.9283959193027624
560.246205,0.9277323534735142
560.380808,0.9249514771322138
560.51541,0.9351288048345854
560.650013,0.9257954176577428
560.784616,0.9282882316221296
560.919218,0.9342969104461973
561.053821,0.9192942710436063
561.188424,0.9418615403269693
561.323026,0.9316472714887601
561.457629,0.938203877670968
561.592232,0.9339129933163784
561.726835,0.9240962925996892
561.861437,0.9210370642971898
561.99604,0.938294887861025
562.130643,0.9298444173518058
562.265245,0.9311061416374691
562.399848,0.9390326775562503
562.534451,0.9330504562640402
562.669053,0.9283912773347709
562.803656,0.9348268070058987
562.938259,0.9405720735031791
563.072861,0.9408806317440733
563.207464,0.9384422117230397
563.342067,0.9338821746961091
563.47667,0.9292643754272799
563.611272,0.931762802913225
563.745875,0.9336748758643483
563.880478,0.9290794702152487
564.01508,0.9432008769490737
564.149683,0.9421507362091464
564.284286,0.9361215030297824
564.418888,0.9341016627960043
564.553491,0.9330336615069806
564.688094,0.9431084477922353
564.822696,0.9378549307366283
564.957299,0.9417673588820874
565.091902,0.930083418077343
565.226505,0.9278752352575641
565.361107,0.9347305248033957
565.49571,0.9338037318880786
565.630313,0.9474681096059
565.764915,0.9392853113242313
565.899518,0.9385116590162254
566.034121,0.9383202221650088
566.168723,0.9409747245118076
566.303326,0.9440558041671397
566.437929,0.9404582711674654
566.572531,0.934900661240856
566.707134,0.9471251882227378
566.841737,0.9432103090050035
566.97634,0.940911681317236
567.110942,0.9355375454256125
567.245545,0.9382658011703473
567.380148,0.9474292642097423
567.51475,0.9408636960451237
567.649353,0.9378408630181754
567.783956,0.9387763566246765
567.918558,0.9319230798987518
