nu,[0]Trimethylamine-HITRAN(x-sec)-X=0.01-T=278.1K-P=1.0atm-L=15cm
714.226285,0.9984371225669163
714.344287,0.9985756154000722
714.462289,0.9989465552629005
714.580292,0.9988428699918229
714.698294,0.9988631467078917
714.816296,0.998891414934937
714.934299,0.9988305843000791
715.052301,0.9988968089631416
715.170303,0.9989855149382645
715.288306,0.9989621389507151
715.406308,0.9989199836379347
715.52431,0.9988044152815861
715.642313,0.998708634530921
715.760315,0.9989976027361263
715.878318,0.999016933526764
715.99632,0.9987325039525248
716.114322,0.9990424387546498
716.232325,0.9987634651400432
716.350327,0.9989759247233542
716.468329,0.9992779508030707
716.586332,0.9993956027216631
716.704334,0.9995397459494059
716.822336,0.9995376868996501
716.940339,0.9994005697301516
717.058341,0.9994399268995251
717.176344,0.9994204180225593
717.294346,0.9993392883661215
717.412348,0.9993317233963421
717.530351,0.9993588556209506
717.648353,0.9994339902439913
717.766355,0.9993895164209753
717.884358,0.9993122266246103
718.00236,0.9993745456781504
718.120362,0.9993644420525676
718.238365,0.9993419466121641
718.356367,0.9995154074529145
718.474369,0.9995394560829216
718.592372,0.9996068473047832
718.710374,0.9995314697945727
718.828377,0.9992867444877299
718.946379,0.9994498313982775
719.064381,0.9994029083302209
719.182384,0.9995186258977081
719.300386,0.9997554099170327
719.418388,0.9995573679904648
719.536391,0.9994066361100213
719.654393,0.9994528797249119
719.772395,0.9994502911453056
719.890398,0.9994938681279709
720.0084,0.9995328791349387
720.126403,0.9994732187979637
720.244405,0.9992576157036822
720.362407,0.9992919707710703
720.48041,0.9993282956944093
720.598412,0.9993650716523643
720.716414,0.9991754900952456
720.834417,0.9990597922725258
720.952419,0.9990582337404655
721.070421,0.9992475632226323
721.188424,0.9991107256390164
721.306426,0.9991069789808202
721.424428,0.9989124917661519
721.542431,0.9988984071993144
721.660433,0.999143147308102
721.778436,0.998848863067022
721.896438,0.998852059388498
722.01444,0.9985938895010417
722.132443,0.998311626908177
722.250445,0.9983729251239052
722.368447,0.9984819534001642
722.48645,0.9982609139656498
722.604452,0.9981542055776118
722.722454,0.9980364303302298
722.840457,0.9981204685356224
722.958459,0.9981599948887931
723.076462,0.9983316931735432
723.194464,0.9985481549482317
723.312466,0.9985676268271034
723.430469,0.99870803530592
723.548471,0.9989262768536552
723.666473,0.998729607632463
723.784476,0.9990158346087415
723.902478,0.9987306063625699
724.02048,0.9987513801752292
724.138483,0.9988134045617754
724.256485,0.9988162012432235
724.374487,0.9991302484533326
724.49249,0.9992196846045269
724.610492,0.9995207048986121
724.728495,0.9993117269686218
724.846497,0.9997256976277767
724.964499,0.9995393761197683
725.082502,0.999555788691071
725.200504,0.9994156507985352
725.318506,0.9995832868490534
725.436509,0.9995768295618773
725.554511,0.9995413152280389
725.672513,0.9996654159857196
725.790516,0.9995657543119628
725.908518,0.9992941792087661
726.026521,0.9992413079524656
726.144523,0.9994596160600226
726.262525,0.9989707300620517
726.380528,0.9990401409596831
726.49853,0.9991614617698438
726.616532,0.9991565359159795
726.734535,0.9990039963412433
