nu,[0]1-Ethoxy-1-1-2-3-3-3-hexafluoropropane-HITRAN(x-sec)-X=0.01-T=298.0K-P=0.0atm-L=15cm
798.385211,0.9999947578137403
798.867328,0.9999942985162535
799.349445,0.9999943349160466
799.831561,0.9999947262139065
800.313678,0.999995161211707
800.795795,0.9999955039101075
801.277911,0.9999955088100855
801.760028,0.9999952633112181
802.242145,0.9999952147114495
802.724261,0.9999954237104712
803.206378,0.9999956813093256
803.688495,0.9999958077087877
804.170612,0.9999955549098795
804.652728,0.9999950834120864
805.134845,0.9999948258133862
805.616962,0.9999948744131358
806.099078,0.999994862313198
806.581195,0.9999947505137786
807.063312,0.9999948550132355
807.545429,0.9999951029119908
808.027545,0.9999953022110346
808.509662,0.9999953143109779
808.991779,0.9999951029119908
809.473895,0.9999947724136639
809.956012,0.9999944200155682
810.438129,0.9999941624170388
810.920245,0.9999941915168693
811.402362,0.9999943568159229
811.884479,0.999994395715704
812.366596,0.9999942571164904
812.848712,0.9999940967174245
813.330829,0.9999942134167423
813.812946,0.9999945148150436
814.295062,0.9999943835157725
814.777179,0.9999939947180317
815.259296,0.9999939315184133
815.741412,0.9999940724175682
816.223529,0.9999939461183248
816.705646,0.999993763819445
817.187763,0.9999939266184431
817.669879,0.9999940700175824
818.151996,0.9999936714200256
818.634113,0.9999931951231533
819.116229,0.9999932388228568
819.598346,0.9999936568201181
820.080463,0.9999940238178574
820.562579,0.9999941065173666
821.044696,0.9999939461183248
821.526813,0.9999937322196426
822.00893,0.9999935985204895
822.491046,0.9999934454214814
822.973163,0.99999324132284
823.45528,0.9999931902231867
823.937396,0.9999932753226107
824.419513,0.9999930444241901
824.90163,0.9999924636283986
825.383746,0.9999919094327289
825.865863,0.9999914696363837
826.34798,0.9999910613399501
826.830097,0.9999906408437972
827.312213,0.9999901475485358
827.79433,0.9999895230548835
828.276447,0.9999887480633035
828.758563,0.9999879310728301
829.24068,0.9999871730822656
829.722797,0.9999864660915841
830.204913,0.9999858261004506
830.68703,0.9999852411089135
831.169147,0.9999843411226015
831.651264,0.9999833771381613
832.13338,0.9999828901463752
832.615497,0.9999825551521632
833.097614,0.9999819621626838
833.57973,0.9999813721735001
834.061847,0.9999806111879654
834.543964,0.9999794272116227
835.02608,0.9999782102374003
835.508197,0.999977167260671
835.990314,0.9999760372871104
836.472431,0.9999748703157558
836.954547,0.9999737523444757
837.436664,0.9999726103751027
837.918781,0.9999715654042708
838.400897,0.9999707874266955
838.883014,0.9999701074467913
839.365131,0.9999696944592221
839.847247,0.9999698404548082
840.329364,0.9999704964352387
840.811481,0.999971371409806
841.293598,0.9999720513905697
841.775714,0.9999722463851387
842.257831,0.9999724643791121
842.739948,0.999972950365848
843.222064,0.9999734123534577
843.704181,0.9999736553470264
844.186298,0.9999739473393765
844.668414,0.9999745063249692
845.150531,0.9999750163120975
845.632648,0.9999751623084606
846.114765,0.9999751383090569
846.596881,0.9999752113072448
847.078998,0.9999754783006618
847.561115,0.9999759642888624
848.043231,0.9999765862741056
848.525348,0.9999772472588475
849.007465,0.9999778622450437
849.489581,0.9999783992332999
849.971698,0.9999788372239347
850.453815,0.9999792432154251
850.935932,0.9999798432031509
851.418048,0.9999804601909046
851.900165,0.9999808881826331
852.382282,0.9999812861751058
852.864398,0.9999818891640032
853.346515,0.9999827031495923
853.828632,0.9999834981361573
854.310748,0.9999842251244246
854.792865,0.9999848791143218
855.274982,0.9999854471058944
855.757099,0.9999860860967993
856.239215,0.9999867210881656
856.721332,0.9999870830834241
857.203449,0.9999873960794301
857.685565,0.999987948072625
858.167682,0.9999886670642182
858.649799,0.9999893360568602
859.131915,0.9999896350537164
859.614032,0.9999894740553982
860.096149,0.9999891360590131
860.578266,0.9999889030615715
861.060382,0.9999888010627086
861.542499,0.999988580065208
862.024616,0.9999882370691838
862.506732,0.9999879120730596
862.988849,0.99998747407845
863.470966,0.9999869860846817
863.953082,0.999986633089338
864.435199,0.9999864850913271
864.917316,0.9999864170922486
865.399433,0.9999859360988976
865.881549,0.9999848811142915
866.363666,0.9999838041311545
866.845783,0.9999833281389771
867.327899,0.9999831681416573
867.810016,0.999982387155108
868.292133,0.999980771184876
868.774249,0.9999792772147199
869.256366,0.9999784482322427
869.738483,0.9999777482475739
870.2206,0.999976858267774
870.702716,0.9999760052878777
871.184833,0.9999751863078647
871.66695,0.9999743363293176
872.149066,0.9999735823489523
872.631183,0.9999727803704609
873.1133,0.9999719053946609
873.595416,0.9999712494133061
874.077533,0.9999707154288014
874.55965,0.9999698884533618
875.041767,0.9999689654815807
875.523883,0.9999682365044705
876.006,0.9999676045247448
876.488117,0.9999671665390298
876.970233,0.9999668755486267
877.45235,0.9999665105607838
877.934467,0.9999660245771778
878.416583,0.9999655875921205
878.8987,0.9999653685996808
879.380817,0.9999651986055825
879.862934,0.999964979613228
880.34505,0.9999649306149453
