nu,[0]Dichloromethanol-HITRAN(x-sec)-X=0.01-T=295.0K-P=0.9211atm-L=15cm
782.475425,1.0
782.957542,1.0
783.439659,1.0
783.921775,1.0
784.403892,1.0
784.886009,1.0
785.368125,1.0
785.850242,1.0
786.332358,1.0
786.814475,1.0
787.296592,1.0
787.778708,1.0
788.260825,1.0
788.742942,1.0
789.225058,1.0
789.707175,1.0
790.189292,1.0
790.671408,1.0
791.153525,1.0
791.635641,1.0
792.117758,1.0
792.599875,1.0
793.081991,1.0
793.564108,1.0
794.046225,1.0
794.528341,1.0
795.010458,1.0
795.492575,1.0
795.974691,1.0
796.456808,1.0
796.938924,1.0
797.421041,1.0
797.903158,1.0
798.385274,1.0
798.867391,1.0
799.349508,1.0
799.831624,1.0
800.313741,1.0
800.795858,1.0
801.277974,1.0
801.760091,1.0
802.242207,1.0
802.724324,1.0
803.206441,1.0
803.688557,1.0
804.170674,1.0
804.652791,1.0
805.134907,1.0
805.617024,1.0
806.099141,1.0
806.581257,1.0
807.063374,1.0
807.54549,1.0
808.027607,1.0
808.509724,1.0
808.99184,1.0
809.473957,1.0
809.956074,1.0
810.43819,1.0
810.920307,1.0
811.402424,1.0
811.88454,1.0
812.366657,1.0
812.848773,1.0
813.33089,1.0
813.813007,1.0
814.295123,1.0
814.77724,1.0
815.259357,1.0
815.741473,1.0
816.22359,1.0
816.705707,1.0
817.187823,1.0
817.66994,1.0
818.152056,1.0
818.634173,1.0
819.11629,1.0
819.598406,1.0
820.080523,1.0
820.56264,1.0
821.044756,1.0
821.526873,1.0
822.00899,1.0
822.491106,1.0
822.973223,1.0
823.455339,1.0
823.937456,1.0
824.419573,1.0
824.901689,1.0
825.383806,1.0
825.865923,1.0
826.348039,1.0
826.830156,1.0
827.312273,1.0
827.794389,1.0
828.276506,1.0
828.758622,1.0
829.240739,1.0
829.722856,1.0
830.204972,1.0
830.687089,1.0
831.169206,1.0
831.651322,1.0
832.133439,1.0
832.615556,1.0
833.097672,1.0
833.579789,1.0
834.061905,1.0
834.544022,1.0
835.026139,1.0
835.508255,1.0
835.990372,1.0
836.472489,1.0
836.954605,1.0
837.436722,1.0
837.918839,1.0
838.400955,1.0
838.883072,1.0
839.365188,1.0
839.847305,1.0
840.329422,1.0
840.811538,1.0
841.293655,1.0
841.775772,1.0
842.257888,1.0
842.740005,1.0
843.222122,1.0
843.704238,1.0
844.186355,1.0
844.668471,1.0
845.150588,1.0
845.632705,1.0
846.114821,1.0
846.596938,1.0
847.079055,1.0
847.561171,1.0
848.043288,1.0
848.525405,1.0
849.007521,1.0
849.489638,1.0
849.971754,1.0
850.453871,1.0
850.935988,1.0
851.418104,1.0
851.900221,1.0
852.382338,1.0
852.864454,1.0
853.346571,1.0
853.828688,1.0
854.310804,1.0
854.792921,1.0
855.275037,1.0
855.757154,1.0
856.239271,1.0
856.721387,1.0
857.203504,1.0
857.685621,1.0
858.167737,1.0
858.649854,1.0
859.131971,1.0
859.614087,1.0
860.096204,1.0
860.57832,1.0
861.060437,1.0
861.542554,1.0
862.02467,1.0
862.506787,1.0
862.988904,1.0
863.47102,1.0
863.953137,1.0
864.435254,1.0
864.91737,1.0
865.399487,1.0
865.881603,1.0
866.36372,1.0
866.845837,1.0
867.327953,1.0
867.81007,1.0
868.292187,1.0
868.774303,1.0
869.25642,1.0
869.738537,1.0
870.220653,1.0
870.70277,1.0
871.184886,1.0
871.667003,1.0
872.14912,1.0
872.631236,1.0
873.113353,1.0
873.59547,1.0
874.077586,1.0
874.559703,1.0
875.04182,1.0
875.523936,1.0
876.006053,1.0
876.488169,1.0
876.970286,1.0
877.452403,1.0
877.934519,1.0
878.416636,1.0
878.898753,1.0
879.380869,1.0
879.862986,1.0
880.345103,1.0
880.827219,1.0
