nu,[0]Propylenimine-PNNL(x-sec)-X=0.01-T=278.15K-P=1.0atm-L=15cm
630.378608,1.0000842165460142
630.50061,0.9996465324843669
630.622612,1.000284970596408
630.744615,1.0004224792192173
630.866617,1.000075826874712
630.98862,0.9998968053249369
631.110622,0.9996290088342477
631.232625,0.9998188864030481
631.354627,0.9993431258363569
631.47663,0.9999946956140683
631.598632,0.999941885688702
631.720634,0.9999841271259754
631.842637,0.9999985937009889
631.964639,0.9999852401089283
632.086642,1.000085851685045
632.208644,0.9999596568138083
632.330647,0.9999565359445894
632.452649,1.0002028205653102
632.574651,0.9992578055626472
632.696654,1.0003342258410144
632.818656,1.0000040557082244
632.940659,1.000262064332859
633.062661,1.0010172170146465
633.184664,0.9999743953278052
633.306666,0.9997087924091639
633.428669,1.000134118993148
633.550671,1.000176955654805
633.672673,0.9998748578309345
633.794676,0.9998326540039035
633.916678,0.9992432964446469
634.038681,0.9995693827422366
634.160683,0.9991342749563473
634.282686,1.0000956865776685
634.404688,0.9998833368056798
634.526691,0.9999031286923281
634.648693,0.9999858690998421
634.770695,1.0000360936513601
634.892698,0.9999861000966046
635.0147,0.9999682505040259
635.136703,0.9992276684017022
635.258705,1.000112536331738
635.380708,0.999953238093372
635.50271,0.9995084308597187
635.624712,0.9999637146583289
635.746715,0.9994936582342806
635.868717,1.0001829767382016
635.99072,0.9995327791816558
636.112722,1.0002274558641633
636.234725,1.0000643910730163
636.356727,0.9996011295699694
636.47873,1.0001086258993659
636.600732,1.000580058168711
636.722734,1.0000294144325959
636.844737,0.9995954218638151
636.966739,0.9998956554442718
637.088742,0.9999187672995545
637.210744,0.9988515599625931
637.332747,0.9992620424247249
637.454749,1.000227255818692
637.576752,0.9997142208426449
637.698754,1.000050352267633
637.820756,0.9997759251085293
637.942759,1.0003014354225293
638.064761,1.0000453000260152
638.186764,0.9998493713456351
638.308766,0.9992537785618052
638.430769,0.9995069915686146
638.552771,0.9997484416461101
638.674773,0.998891414934937
638.796776,0.9995583875395001
638.918778,0.999173761523143
639.040781,1.0002699364262821
639.162783,0.9996985854345001
639.284786,0.9995279214641533
639.406788,0.9998182865118962
639.528791,0.999033527335841
639.650793,0.999932727262912
639.772795,1.0006782399007355
639.894798,1.0002043708808837
640.0168,0.9996482318849166
640.138803,1.00014115996213
640.260805,0.9998362434095744
640.382808,0.9993839998060705
640.50481,0.9997112217044811
640.626813,1.0000427129121705
640.748815,1.000175275358931
640.870817,0.9995957917141896
640.99282,0.999319951337978
641.114822,1.000019426188686
641.236825,0.9996506010540336
641.358827,0.9998630493785926
641.48083,1.0001826566797003
641.602832,0.9996271295334775
641.724834,0.9991894686581319
641.846837,0.999497166463178
641.968839,0.9991690354424282
642.090842,0.9996540298614757
642.212844,0.9995518704400591
642.334847,0.9998372732414355
642.456849,0.9996439434032006
642.578852,0.9994176996027193
642.700854,0.9995707321618141
642.822856,0.9999156925540725
642.944859,0.9997540602481404
643.066861,0.999853250768722
643.188864,1.0002231648975817
643.310866,1.0002542623191852
643.432869,0.9999536670734032
643.554871,1.0001816164902781
643.676874,0.9994562978596055
643.798876,1.000329194172513
643.920878,1.0001000850081703
644.042881,1.0001248377915886
644.164883,1.0001997899553552
644.286886,0.9997517208263765
644.408888,0.9994792956136075
644.530891,0.9994370984885342
644.652893,0.9994044474118848
644.774895,0.9996561491302653
644.896898,0.999301923768665
645.0189,0.9997288467686842
645.140903,0.9999563079545252
645.262905,1.0001522015814857
645.384908,1.0002188739494082
645.50691,0.9992666490333587
645.628913,0.9997535703687709
645.750915,1.0000144011036949
645.872917,0.9998660289749194
645.99492,1.0003034160213322
646.116922,0.999815277063383
646.238925,0.9992306161276718
646.360927,0.9994637238474862
646.48293,0.9997153005345865
646.604932,0.9999496952653256
646.726935,0.9996465824666947
646.848937,0.9997256976277767
646.970939,0.9996885485110878
647.092942,0.9994778063905665
647.214944,0.9994450640339518
647.336947,0.9997187595555104
647.458949,0.9996974557757369
647.580952,0.9998712882840638
647.702954,1.0002289161973148
647.824956,0.9997057333049396
647.946959,0.9996131648400216
648.068961,0.999813337423627
648.190964,1.0000529584022466
648.312966,0.9993288553184116
648.434969,1.000266935620974
648.556971,0.9997733356922366
648.678974,0.999881866978255
648.800976,0.9993377293980477
648.922978,0.9992783205359809
649.044981,1.0002796991085035
649.166983,0.9994599858601491
649.288986,1.0002405089176332
649.410988,0.999732875684055
649.532991,0.9999532560925305
649.654993,0.9993151646068753
649.776996,0.9995070515390359
649.898998,0.9997270472583796
650.021,1.0002471205292485
650.143003,1.0002260955557483
650.265005,0.9997580992627025
650.387008,0.9998889461669335
650.50901,0.999676702271977
650.631013,1.0002669056129665
650.753015,0.9997625981842718
650.875018,1.000342718714644
650.99702,0.9998470916916672
651.119022,1.0003341758243043
651.241025,0.9998988651144773
651.363027,0.9996306182382475
651.48503,0.9995325392938176
651.607032,0.99985240089382
651.729035,1.0001344090320847
651.851037,0.9999445075397635
651.973039,0.9994369285842419
652.095042,0.9996179430023694
652.217044,0.9998524308893925
652.339047,1.0001647035621426
652.461049,1.000071408549469
652.583052,1.0001635633750303
652.705054,0.9997530704921106
652.827057,0.9994787758845088
652.949059,0.9995818274585199
653.071061,0.9995393161474075
653.193064,0.999809418163026
653.315066,0.9998963553714757
653.437069,0.9997045636499159
653.559071,0.999996649505613
653.681074,1.0000635910218234
653.803076,0.9997696465354344
653.925079,1.0002664354876312
654.047081,1.0005386750333143
654.169083,0.99959786087962
654.291086,0.9995170266691861
654.413088,0.9998661989521588
654.535091,0.9996819505884408
654.657093,0.9999972467037903
654.779096,0.9996733833508349
654.901098,1.0001466307492375
655.0231,0.999792611507967
655.145103,1.0000833284716242
655.267105,0.9998064587315282
655.389108,0.9996641264181647
655.51111,0.9995362975432308
655.633113,1.0000314544946822
655.755115,1.0000333725568513
655.877118,0.9992692471300237
655.99912,0.9997891422336243
656.121122,0.9995544592827561
656.243125,0.9998520609440615
656.365127,0.9996278392689916
656.48713,0.9999539980581218
656.609132,0.999845221979354
656.731135,0.9998371432625984
656.853137,0.9997816338453601
656.97514,0.9997883524005139
657.097142,1.0000947314867439
657.219144,0.9998728180883051
657.341147,1.0002717069056364
657.463149,0.9998619295326044
657.585152,1.0000242052929433
657.707154,1.0000246433036413
657.829157,1.0000359446459932
657.951159,0.9998394028970956
658.073161,1.000099261926139
658.195164,1.000060556833491
658.317166,1.0001362592824528
658.439169,1.0005564147412846
658.561171,1.00023530768051
658.683174,1.0000822183797458
658.805176,1.0000888449464784
658.927179,0.9998440621595691
659.049181,0.99969234733479
659.171183,1.0000723336159498
