nu,[0]HFC-1345zfc-HITRAN(x-sec)-X=0.01-T=298.0K-P=0.9211atm-L=15cm
777.689146,1.0
777.808148,1.0
777.92715,1.0
778.046152,1.0
778.165154,1.0
778.284156,1.0
778.403158,1.0
778.52216,1.0
778.641162,1.0
778.760164,1.0
778.879166,1.0
778.998168,1.0
779.11717,1.0
779.236172,1.0
779.355174,1.0
779.474176,1.0
779.593178,1.0
779.71218,1.0
779.831182,1.0
779.950184,1.0
780.069186,1.0
780.188188,1.0
780.30719,1.0
780.426192,1.0
780.545194,1.0
780.664196,1.0
780.783198,1.0
780.9022,1.0
781.021202,1.0
781.140204,1.0
781.259206,1.0
781.378208,1.0
781.49721,1.0
781.616212,1.0
781.735214,1.0
781.854216,1.0
781.973218,1.0
782.09222,1.0
782.211222,1.0
782.330224,1.0
782.449226,1.0
782.568228,1.0
782.68723,1.0
782.806232,1.0
782.925234,1.0
783.044236,1.0
783.163238,1.0
783.28224,1.0
783.401242,1.0
783.520244,1.0
783.639246,1.0
783.758248,1.0
783.87725,1.0
783.996252,1.0
784.115254,1.0
784.234256,1.0
784.353258,1.0
784.47226,1.0
784.591262,1.0
784.710264,1.0
784.829266,1.0
784.948268,1.0
785.06727,1.0
785.186272,1.0
785.305274,1.0
785.424276,1.0
785.543278,1.0
785.66228,1.0
785.781282,1.0
785.900284,1.0
786.019286,1.0
786.138288,1.0
786.25729,1.0
786.376292,1.0
786.495294,1.0
786.614296,1.0
786.733298,1.0
786.8523,1.0
786.971302,1.0
787.090304,1.0
787.209306,1.0
787.328308,1.0
787.44731,1.0
787.566312,1.0
787.685314,1.0
787.804316,1.0
787.923318,1.0
788.04232,1.0
788.161322,1.0
788.280324,1.0
788.399326,1.0
788.518328,1.0
788.63733,1.0
788.756332,1.0
788.875334,1.0
788.994336,1.0
789.113338,1.0
789.23234,1.0
789.351342,1.0
789.470344,1.0
789.589346,1.0
789.708348,1.0
789.82735,1.0
789.946352,1.0
790.065354,1.0
790.184356,1.0
790.303358,1.0
790.42236,1.0
790.541362,1.0
790.660364,1.0
790.779366,1.0
790.898368,1.0
791.01737,1.0
791.136372,1.0
791.255374,1.0
791.374376,1.0
791.493378,1.0
791.61238,1.0
791.731382,1.0
791.850384,1.0
791.969386,1.0
792.088388,1.0
792.20739,1.0
792.326392,1.0
792.445394,1.0
792.564396,1.0
792.683398,1.0
792.8024,1.0
792.921402,1.0
793.040404,1.0
793.159406,1.0
793.278408,1.0
793.39741,1.0
793.516412,1.0
793.635414,1.0
793.754416,1.0
793.873418,1.0
793.99242,1.0
794.111422,1.0
794.230424,1.0
794.349426,1.0
794.468428,1.0
794.58743,1.0
794.706432,1.0
794.825434,1.0
794.944436,1.0
795.063438,1.0
795.18244,1.0
795.301442,1.0
795.420444,1.0
795.539446,1.0
795.658448,1.0
795.77745,1.0
795.896452,1.0
796.015454,1.0
796.134456,1.0
796.253458,1.0
796.37246,1.0
796.491462,1.0
796.610464,1.0
796.729466,1.0
796.848468,1.0
796.96747,1.0
797.086472,1.0
797.205474,1.0
797.324476,1.0
797.443478,1.0
797.56248,1.0
797.681482,1.0
797.800484,1.0
797.919486,1.0
798.038488,1.0
798.15749,1.0
798.276492,1.0
798.395494,1.0
798.514496,1.0
798.633498,1.0
798.7525,1.0
798.871502,1.0
798.990504,1.0
799.109506,1.0
799.228508,1.0
799.34751,1.0
799.466512,1.0
799.585514,1.0
799.704516,1.0
799.823518,1.0
799.94252,1.0
800.061522,1.0
800.180524,1.0
800.299526,1.0
800.418528,1.0
800.53753,1.0
800.656532,1.0
800.775534,1.0
800.894536,1.0
801.013538,1.0
801.13254,1.0
801.251542,1.0
801.370544,1.0
801.489546,1.0
801.608548,1.0
801.72755,1.0
801.846552,1.0
801.965554,1.0
802.084556,1.0
802.203558,1.0
802.32256,1.0
802.441562,1.0
802.560564,1.0
802.679566,1.0
802.798568,1.0
802.91757,1.0
803.036572,1.0
803.155574,1.0
803.274576,1.0
803.393578,1.0
803.51258,1.0
803.631582,1.0
803.750584,1.0
803.869586,1.0
803.988588,1.0
804.10759,1.0
804.226592,1.0
804.345594,1.0
804.464596,1.0
804.583598,1.0
804.7026,1.0
804.821602,1.0
804.940604,1.0
805.059606,1.0
