nu,[0]CFC-113a-HITRAN(x-sec)-X=0.01-T=295.0K-P=0.0036atm-L=15cm
756.037908,1.0
756.15711,1.0
756.276312,1.0
756.395514,1.0
756.514716,1.0
756.633918,1.0
756.75312,1.0
756.872322,1.0
756.991524,1.0
757.110726,1.0
757.229928,1.0
757.34913,1.0
757.468332,1.0
757.587534,1.0
757.706736,1.0
757.825938,1.0
757.94514,1.0
758.064342,1.0
758.183544,1.0
758.302746,1.0
758.421948,1.0
758.54115,1.0
758.660352,1.0
758.779554,1.0
758.898756,1.0
759.017958,1.0
759.13716,1.0
759.256362,1.0
759.375564,1.0
759.494766,1.0
759.613968,1.0
759.73317,1.0
759.852372,1.0
759.971574,1.0
760.090776,1.0
760.209978,1.0
760.32918,1.0
760.448382,1.0
760.567584,1.0
760.686786,1.0
760.805988,1.0
760.92519,1.0
761.044392,1.0
761.163594,1.0
761.282796,1.0
761.401998,1.0
761.5212,1.0
761.640402,1.0
761.759604,1.0
761.878806,1.0
761.998008,1.0
762.11721,1.0
762.236412,1.0
762.355614,1.0
762.474816,1.0
762.594018,1.0
762.71322,1.0
762.832422,1.0
762.951624,1.0
763.070826,1.0
763.190028,1.0
763.30923,1.0
763.428432,1.0
763.547634,1.0
763.666836,1.0
763.786038,1.0
763.90524,1.0
764.024442,1.0
764.143644,1.0
764.262846,1.0
764.382048,1.0
764.50125,1.0
764.620452,1.0
764.739654,1.0
764.858856,1.0
764.978058,1.0
765.09726,1.0
765.216462,1.0
765.335664,1.0
765.454866,1.0
765.574068,1.0
765.69327,1.0
765.812472,1.0
765.931674,1.0
766.050876,1.0
766.170078,1.0
766.28928,1.0
766.408482,1.0
766.527684,1.0
766.646886,1.0
766.766088,1.0
766.88529,1.0
767.004492,1.0
767.123694,1.0
767.242896,1.0
767.362098,1.0
767.4813,1.0
767.600502,1.0
767.719704,1.0
767.838906,1.0
767.958108,1.0
768.07731,1.0
768.196512,1.0
768.315714,1.0
768.434916,1.0
768.554118,1.0
768.67332,1.0
768.792522,1.0
768.911724,1.0
769.030926,1.0
769.150128,1.0
769.26933,1.0
769.388532,1.0
769.507734,1.0
769.626936,1.0
769.746138,1.0
769.86534,1.0
769.984542,1.0
770.103744,1.0
770.222946,1.0
770.342148,1.0
770.46135,1.0
770.580552,1.0
770.699754,1.0
770.818956,1.0
770.938158,1.0
771.05736,1.0
771.176562,1.0
771.295764,1.0
771.414966,1.0
771.534168,1.0
771.65337,1.0
771.772572,1.0
771.891774,1.0
772.010976,1.0
772.130178,1.0
772.24938,1.0
772.368582,1.0
772.487784,1.0
772.606986,1.0
772.726188,1.0
772.84539,1.0
772.964592,1.0
773.083794,1.0
773.202996,1.0
773.322198,1.0
773.4414,1.0
773.560602,1.0
773.679804,1.0
773.799006,1.0
773.918208,1.0
774.03741,1.0
774.156612,1.0
774.275814,1.0
774.395016,1.0
774.514218,1.0
774.63342,1.0
774.752622,1.0
774.871824,1.0
774.991026,1.0
775.110228,1.0
775.22943,1.0
775.348632,1.0
775.467834,1.0
775.587036,1.0
775.706238,1.0
775.82544,1.0
775.944642,1.0
776.063844,1.0
776.183046,1.0
776.302248,1.0
776.42145,1.0
776.540652,1.0
776.659854,1.0
776.779056,1.0
776.898258,1.0
777.01746,1.0
777.136662,1.0
777.255864,1.0
777.375066,1.0
777.494268,1.0
777.61347,1.0
777.732672,1.0
777.851874,1.0
777.971076,1.0
778.090278,1.0
778.20948,1.0
778.328682,1.0
778.447884,1.0
778.567086,1.0
778.686288,1.0
778.80549,1.0
778.924692,1.0
779.043894,1.0
779.163096,1.0
779.282298,1.0
779.4015,1.0
779.520702,1.0
779.639904,1.0
779.759106,1.0
779.878308,1.0
779.99751,1.0
780.116712,1.0
780.235914,1.0
780.355116,1.0
780.474318,1.0
780.59352,1.0
780.712722,1.0
780.831924,1.0
780.951126,1.0
781.070328,1.0
781.18953,1.0
781.308732,1.0
781.427934,1.0
