nu,[0]Ethane-PNNL(x-sec)-X=0.01-T=278.24K-P=1.0atm-L=15cm
659.532984,0.999971007420293
659.653986,0.999638545340481
659.774988,0.9998333338903395
659.89599,0.9998106779236866
660.016992,0.9997938912433288
660.137994,0.9998732780299072
660.258996,0.9998134574012346
660.379998,0.9998127675301871
660.501,0.9996621870716407
660.622002,1.0001482309851268
660.743004,1.000179506109294
660.864006,0.9999671585392926
660.985008,1.0001831167638282
661.10601,1.0000565655997733
661.227012,1.0000430039246422
661.348014,0.9996909677603025
661.469016,0.9994709699857512
661.590018,1.0000283994032555
661.71102,0.9998461918296896
661.832022,0.9997470619942125
661.953024,1.0001513814570164
662.074026,0.9996665855949405
662.195028,1.0002060012153369
662.31603,0.9995628555754785
662.437032,0.9994546987308083
662.558034,0.9998508711208169
662.679036,1.0002171235679105
662.800038,0.9997691866415028
662.92104,1.0000993249323944
663.042042,0.9996819805788998
663.163044,0.9998814870232178
663.284046,1.0000080730325867
663.405048,1.0003559233256814
663.52605,1.000390856364451
663.647052,0.9997772448136215
663.768054,1.0000277693855621
663.889056,0.9996977556850185
664.010058,0.9996279792168988
664.13106,0.9998176266320449
664.252062,1.0001040754154704
664.373064,1.0001705245376562
664.494066,0.9999146046463908
664.615068,0.999452849741326
664.73607,0.9999756002976776
664.857072,0.9997649476291381
664.978074,0.9999428506330873
665.099076,1.0002699464289815
665.220078,1.000223935069715
665.34108,0.9999901123488831
665.462082,1.000164813580266
665.583084,0.9996337870723299
665.704086,1.0000487111863514
665.825088,0.9999340441751811
665.94609,0.9996324475639526
666.067092,0.9997092922636851
666.188094,0.9999709964206119
666.309096,0.999728966736153
666.430098,0.9999967670052261
666.5511,0.9996183428496265
666.672102,1.000011325064128
666.793104,0.9999052484892079
666.914106,0.9996785116884457
667.035108,0.9997766349496882
667.15611,0.9999631626785108
667.277112,0.9997199292271434
667.398114,0.9998597498359739
667.519116,0.9997204790732556
667.640118,0.9999321563014878
667.76112,1.000188537771012
667.882122,1.00058571146201
668.003124,1.0004680394963206
668.124126,1.0006644106230205
668.245128,1.0005725938693188
668.36613,1.0002703265316333
668.487132,1.0005804383892052
668.608134,1.0002182938226296
668.729136,1.0004229894348118
668.850138,1.0002009501877844
668.97114,1.0000678092989466
669.092142,1.000227955978016
669.213144,1.0002901820946808
669.334146,1.000210172083058
669.455148,0.9999238119024605
669.57615,1.0003031059273213
669.697152,1.0001682841581905
669.818154,0.9997695665538658
669.939156,0.9999373239642249
670.060158,0.9999865590903299
670.18116,0.9999790012204774
670.302162,0.9999984174012523
670.423164,1.0000269973644222
670.544166,0.9999787862250153
670.665168,1.000074196752443
670.78617,1.0001334389021783
670.907172,0.9999834681366527
671.028174,0.9999755672984834
671.149176,0.9998125575695279
671.270178,0.9999781642384037
