nu,[0]Furfurylalcohol-HITRAN(x-sec)-X=0.01-T=298.1K-P=1.0atm-L=15cm
628.706574,0.904294678423304
628.841577,0.9068765011910466
628.97658,0.9094165854167002
629.111582,0.9104311504243205
629.246585,0.9149416374029401
629.381588,0.9182229985967771
629.51659,0.9191756897313007
629.651593,0.9246241022580804
629.786596,0.9277963692144215
629.921598,0.9278548222269326
630.056601,0.9325700589919794
630.191604,0.9346510760854058
630.326607,0.9375108011286934
630.461609,0.9395990850155032
630.596612,0.9418907384872887
630.731615,0.9432565274424871
630.866617,0.9429292742091843
631.00162,0.9450778253610058
631.136623,0.9455835772741474
631.271625,0.9430556351979255
631.406628,0.9454852416956496
631.541631,0.9453046712595113
631.676634,0.944551563589789
631.811636,0.945092001634708
631.946639,0.9438802261168295
632.081642,0.9451695023563282
632.216644,0.9434536886593521
632.351647,0.943953851645825
632.48665,0.9446838100657289
632.621652,0.941832343071779
632.756655,0.9431923881793807
632.891658,0.942818015119243
633.026661,0.9411045879841639
633.161663,0.942061236140527
633.296666,0.9418022049190138
633.431669,0.941270236968332
633.566671,0.9408166540363814
633.701674,0.9414961689359561
633.836677,0.9429943385737994
633.971679,0.9408439381149657
634.106682,0.9418615403269693
634.241685,0.9425173041383714
634.376688,0.9401395098466362
634.51169,0.9420753671650516
634.646693,0.9420565258461221
634.781696,0.9415168820795164
634.916698,0.9429453041430998
635.051701,0.9423420122224553
635.186704,0.9436876941896261
635.321706,0.9424522726879967
635.456709,0.9429943385737994
635.591712,0.9450135622538517
635.726715,0.9434187815186578
635.861717,0.9461463669159406
635.99672,0.9452583524654394
636.131723,0.9445449517519854
636.266725,0.9457935201310972
636.401728,0.9466403842467763
636.536731,0.9464510751014725
636.671733,0.9467303193551299
636.806736,0.9482823343715215
636.941739,0.9509593137017047
637.076742,0.9478746606238792
637.211744,0.9504202726034285
637.346747,0.9509326872136937
637.48175,0.9499993296684095
637.616752,0.9530651639152986
637.751755,0.9529593795532447
637.886758,0.9527297440149662
638.02176,0.9540253839249937
638.156763,0.9536371745996928
638.291766,0.9556543403347062
638.426769,0.954895851948218
638.561771,0.9568726198435596
638.696774,0.9582304276767368
638.831777,0.9561734015538752
638.966779,0.9593167180185683
639.101782,0.959848326722365
639.236785,0.9593061655927085
639.371787,0.9612151631647741
639.50679,0.9607471653470311
639.641793,0.96219898941802
639.776796,0.9615372241866436
639.911798,0.9630152802194297
640.046801,0.9641147077582941
640.181804,0.9626715451247566
640.316806,0.9659318460517891
640.451809,0.9664903160410859
640.586812,0.965319639351423
640.721814,0.9676653154426653
640.856817,0.967822089922157
640.99182,0.9676759598196791
641.126823,0.9687865209306341
641.261825,0.969369905997521
641.396828,0.9703407310903196
641.531831,0.9684358836792288
641.666833,0.9707745703529683
641.801836,0.9726791543934992
641.936839,0.9699672218139991
642.071841,0.973464423284475
642.206844,0.9732960285058152
642.341847,0.9724603262028552
642.47685,0.974368217564968
642.611852,0.9734848662520145
642.746855,0.9754474404214525
642.881858,0.9748223789657411
643.01686,0.9755088955460152
643.151863,0.9764370457711599
643.286866,0.9756269392638771
643.421868,0.9779908155936043
643.556871,0.9786012723052208
643.691874,0.9768335596986235
643.826877,0.9795930976687975
643.961879,0.9791895884411667
644.096882,0.9787069669500378
644.231885,0.9792718438212733
644.366887,0.9795313852476061
644.50189,0.9813756177401501
644.636893,0.9799948131848951
644.771895,0.9820893372198429
644.906898,0.9827269200729553
645.041901,0.9804721868899785
645.176904,0.9835498068351255
645.311906,0.9827632816416828
645.446909,0.9829490414556625
645.581912,0.984219832371381
645.716914,0.9834406388655013
645.851917,0.9849622139676796
645.98692,0.983123038834314
646.121922,0.9852143965724515
646.256925,0.9859871075224773
646.391928,0.9842660917905903
646.526931,0.9864072275094857
646.661933,0.9862444837436766
646.796936,0.9850676105631914
646.931939,0.9877862013953076
647.066941,0.9877417520163633
647.201944,0.987675575535915
647.336947,0.9876745878608334
647.471949,0.9882001705341704
647.606952,0.9903308497662727
647.741955,0.986578877300171
647.876958,0.9891324828111345
648.01196,0.9900280528924159
648.146963,0.9884541706156101
648.281966,0.9910631729637276
648.416968,0.9909452434630894
648.551971,0.9900963671848815
648.686974,0.9912474287336248
648.821976,0.9914799035122652
648.956979,0.9923891106177848
649.091982,0.9900290429209638
649.226985,0.9920065191451071
649.361987,0.9932861393509369
649.49699,0.9912789509030583
649.631993,0.993583474386413
649.766995,0.9928973439390488
649.901998,0.9922185335911851
650.037001,0.993443289648443
650.172003,0.9932539574013723
650.307006,0.9938415415232785
650.442009,0.992817418919887
650.577012,0.9938509830627702
650.712014,0.9949449201390009
650.847017,0.9929080672882693
650.98202,0.9948362780856859
651.117022,0.9950660123040906
651.252025,0.9939853607994106
651.387028,0.9951903038108705
651.52203,0.9952304107882642
651.657033,0.9951853278717913
651.792036,0.9951091991061715
