nu,[0]3-Methoxyphenol-HITRAN(x-sec)-X=0.01-T=323.1K-P=1.0atm-L=15cm
668.357514,0.8737333861810126
668.598568,0.854123057620484
668.839622,0.8697234425458057
669.080676,0.8581554660892103
669.32173,0.8448214294940517
669.562784,0.8382490725907217
669.803838,0.8460219280762028
670.044892,0.8333512975219199
670.285946,0.8189436507492801
670.527,0.815682575753792
670.768054,0.8189108936583963
671.009108,0.8082450392811061
671.250162,0.8086250037342202
671.491216,0.8078571747571839
671.73227,0.7871314640333957
671.973324,0.7882499846740293
672.214378,0.7835268096239515
672.455432,0.7949548169246224
672.696486,0.7795955651400851
672.93754,0.7648465909280154
673.178594,0.7674591697183073
673.419648,0.7722708102428036
673.660702,0.7579559564311669
673.901756,0.75984561841551
674.14281,0.7672596562720524
674.383864,0.7545754543568433
674.624918,0.7611917361228387
674.865972,0.7495142117336308
675.107026,0.7533088318543355
675.34808,0.733887156444884
675.589134,0.7399519702188585
675.830188,0.7345626433051247
676.071242,0.7420861035700017
676.312296,0.7293876007485424
676.55335,0.7399889687423249
676.794404,0.7374109085731614
677.035458,0.7260473833244291
677.276512,0.7286294319598703
677.517566,0.7232719402125797
677.75862,0.7103126881868622
677.999674,0.6979275347632682
678.240728,0.7078875681123546
678.481782,0.6963659267393456
678.722836,0.6860807135097186
678.96389,0.6735453167137204
679.204944,0.682112962970846
679.445998,0.6461781753459414
679.687052,0.6348985859559344
679.928106,0.6253711284240293
680.16916,0.591590858753498
680.410214,0.5544547946730768
680.651268,0.5101400413880509
680.892322,0.48640192047159075
681.133376,0.4414502276269288
681.37443,0.41737507542731495
681.615484,0.38969924656935173
681.856538,0.38193302995455264
682.097592,0.38157418159154916
682.338646,0.4147206989109036
682.5797,0.45732087545234074
682.820754,0.4776390295878953
683.061808,0.5207631224618144
683.302862,0.5535739120368224
683.543916,0.5825093745638137
683.78497,0.5861790441380541
684.026024,0.616683100792004
684.267078,0.617423564702445
684.508132,0.6345621788611326
684.749186,0.6370226925163432
684.99024,0.6520656708272063
685.231294,0.651348792944417
685.472348,0.6511989999488947
685.713402,0.6550524304905377
685.954456,0.6689406080497466
686.19551,0.6743742871655938
686.436564,0.6549279823516921
686.677618,0.6733365500260476
686.918672,0.6687265813012767
687.159726,0.6674972557180526
687.40078,0.66359052430151
687.641834,0.6722533503901927
687.882888,0.6756433033268892
688.123942,0.6736867760829442
688.364996,0.688066354641174
688.60605,0.6892301699274368
688.847104,0.6933433139072204
689.088158,0.6903890497994388
689.329212,0.6975856340437513
689.570266,0.6913424443791183
689.81132,0.6950371372172301
690.052374,0.698793501694913
690.293428,0.7129956211723169
690.534482,0.6942938452125464
690.775536,0.7133593416799605
691.01659,0.7136946993734348
691.257644,0.7266139212044719
691.498698,0.7302779966525182
691.739752,0.7337844194347403
691.980806,0.7571529487865898
692.22186,0.745895327712712
692.462914,0.7577437584724668
692.703968,0.7612526338976071
692.945022,0.7716609572263707
693.186076,0.7637841927044459
693.42713,0.777672340254706
693.668184,0.7858494848439016
693.909238,0.7941761428166692
694.150292,0.790855506369741
694.391346,0.8104707721191062
694.6324,0.8161639704709638
694.873454,0.8133123897515625
695.114508,0.8298917569577197
695.355562,0.8398768542292104
695.596616,0.8502031143371457
695.83767,0.8396921016448095
696.078724,0.8501180982765859
696.319778,0.8584644576721503
696.560832,0.857923795390318
696.801886,0.8624138664922316
