nu,[0]Diethylamine-HITRAN(x-sec)-X=0.01-T=278.1K-P=1.0atm-L=15cm
613.204664,0.9849661538244151
613.332867,0.9842739659508213
613.461069,0.984853874082946
613.589272,0.9837475202158286
613.717474,0.9848804654965287
613.845677,0.9845742152961339
613.973879,0.9850213134734851
614.102082,0.9857889440299635
614.230285,0.9835980019564313
614.358487,0.9842621547340973
614.48669,0.9842592019520623
614.614892,0.9848154655308284
614.743095,0.9845791381795176
614.871297,0.9851316420388784
614.9995,0.9851858257692295
615.127703,0.9835852152655196
615.255905,0.9843084161425044
615.384108,0.9837140733687408
615.51231,0.9844078363131689
615.640513,0.9845476321511949
615.768715,0.984444260076948
615.896918,0.9845397558016432
616.025121,0.984116494714304
616.153323,0.9840613857336659
616.281526,0.9839019807013333
616.409728,0.9841529076982445
616.537931,0.984651999731587
616.666133,0.9847987238102194
616.794336,0.9841391296539832
616.922538,0.9825264642284517
617.050741,0.9839560967984509
617.178944,0.9839167393417333
617.307146,0.9841637334397706
617.435349,0.9843231808794818
617.563551,0.9836461994393558
617.691754,0.9838213040467038
617.819956,0.9834907956170696
617.948159,0.9843861795789949
618.076362,0.9838547545396965
618.204564,0.9841135423692484
618.332767,0.9843231808794818
618.460969,0.9837012851689105
618.589172,0.9833177164684529
618.717374,0.9832243057224691
618.845577,0.9840830353222966
618.973779,0.9843212122350886
619.101982,0.9834406388655013
619.230185,0.9842070375967265
619.358387,0.9830247314458819
619.48659,0.9830365278134373
619.614792,0.9825913131150805
619.742995,0.9836491503823805
619.871197,0.9839374018102146
619.9994,0.9823830258359317
620.127603,0.9837258780084489
620.255805,0.9829451096673604
620.384008,0.9827288855287608
620.51221,0.9828792545511836
620.640413,0.983662921566884
620.768615,0.9836835787051361
620.896818,0.9822612178929767
621.025021,0.9829578880368453
621.153223,0.9820893372198429
621.281426,0.9819263239203426
621.409628,0.9829883602036905
621.537831,0.9842099902222682
621.666033,0.9835153831943035
621.794236,0.9816416065724166
621.922438,0.9826266870390794
622.050641,0.9815414842348722
622.178844,0.9825883653455628
622.307046,0.9834101526782347
622.435249,0.9826011390773414
622.563451,0.9824056209053683
622.691654,0.9812765038080962
622.819856,0.9821197824611956
622.948059,0.9821551394097854
623.076262,0.9817044336456822
623.204464,0.9827652471702116
623.332667,0.9823525724341611
623.460869,0.9816494597366818
623.589072,0.9810783059729823
623.717274,0.9821590680382003
623.845477,0.9823545371412706
623.973679,0.981777082461745
624.101882,0.982964768766144
624.230085,0.9811803434226588
624.358287,0.9814551123846768
624.48649,0.9806928179520925
624.614692,0.982016665297783
624.742895,0.9818890114289756
624.871097,0.9808762246570419
624.9993,0.9823103321817183
625.127503,0.9803408124192214
625.255705,0.9803221861207359
625.383908,0.9802996389697483
625.51211,0.9811106820912824
625.640313,0.9813579531380127
625.768515,0.9806692816068989
625.896718,0.9814452978826255
626.02492,0.9794011162364494
626.153123,0.9802790528934845
626.281326,0.9803055207852275
626.409528,0.981749593088289
626.537731,0.9814668899166904
626.665933,0.9798713416173059
626.794136,0.9804790502193084
626.922338,0.9796224859025489
627.050541,0.9802065149275082
627.178744,0.9803849287483902
627.306946,0.980827182071884
627.435149,0.9806908565684179
627.563351,0.9793492093528334
627.691554,0.9798380265580502
627.819756,0.9789017490166336
627.947959,0.9794324575736277
628.076162,0.9798713416173059
628.204364,0.9800790963629538
628.332567,0.980964507489929
628.460769,0.9785239658583534
628.588972,0.9795578329520501
628.717174,0.9786443317085021
628.845377,0.9790202032946039
628.973579,0.9804653236086918
629.101782,0.9794363753112935
629.229985,0.9791230058129876
629.358187,0.9771911462158142
629.48639,0.9786247590175955
629.614592,0.9788459532071354
629.742795,0.9785562576820389
629.870997,0.9801281015428912
629.9992,0.9779957055599072
630.127403,0.9782011062243897
630.255605,0.9775684148064071
630.383808,0.9780778606496398
630.51201,0.9781551318528034
630.640213,0.9781649134530298
630.768415,0.9794099308861614
630.896618,0.9773181893224452
631.02482,0.9777962147847239
631.153023,0.9766167267177218
631.281226,0.978069057988506
631.409428,0.9782470827568224
631.537631,0.9771960321837602
631.665833,0.9776700872084203
631.794036,0.976274970674167
631.922238,0.9773670564535795
632.050441,0.9771422878799719
632.178644,0.9771911462158142
632.306846,0.9771618309211593
632.435049,0.9764956337515279
632.563251,0.9771784428134856
632.691454,0.9757918341498382
632.819656,0.9755196262028847
632.947859,0.9760338605347386
633.076062,0.976772021122848
633.204264,0.9776485787030961
633.332467,0.9756230367639251
633.460669,0.9758806352471344
633.588872,0.9750544143030447
633.717074,0.9754240299638091
633.845277,0.9761461108829714
633.973479,0.9759469973866184
634.101682,0.976142206306337
634.229885,0.9741821310072452
634.358087,0.9750280881892628
634.48629,0.9744179116112514
634.614492,0.9742834512174295
634.742695,0.9754201282754925
634.870897,0.9749081671097131
634.9991,0.9753791614904135
635.127303,0.974028222389647
635.255505,0.9745650598253152
635.383708,0.9741343972523123
