nu,[0]Hexafluorobenzene-PNNL(x-sec)-X=0.01-T=298.15K-P=1.0atm-L=15cm
650.449184,0.9994641436223384
650.568186,1.0000299774493147
650.687188,0.9999687214891828
650.80619,1.0005290899187202
650.925192,0.999582447199445
651.044194,0.9998978652161122
651.163196,1.0009519127816555
651.282198,0.9998760276852026
651.4012,1.000494302127053
651.520202,0.998592591329829
651.639204,1.00040736294976
651.758206,0.9993173331231354
651.877208,1.00006978643496
651.99621,0.9998026894682839
652.115212,1.0000437019549027
652.234214,0.9999091971228309
652.353216,0.9996756226217216
652.472218,0.9999176683894331
652.59122,0.9998733480210391
652.710222,0.9998154370338401
652.829224,0.9986766763659494
652.948226,0.9999131327731761
653.067228,0.9986255454290826
653.18623,1.00025971371977
653.305232,0.9993295748354465
653.424234,0.9998344936976794
653.543236,0.998901903349858
653.662238,1.0001226575218187
653.78124,0.9999417656956829
653.900242,1.0000015538012073
654.019244,1.000134839089973
654.138246,0.9999866180895386
654.257248,1.0001666138785508
654.37625,0.9995684531431429
654.495252,1.0000139960979444
654.614254,0.9997590090429869
654.733256,0.9999968165050673
654.852258,0.9995321294855605
654.97126,1.0002175336570152
655.090262,0.9995025137873226
655.209264,0.9995975709962824
655.328266,1.0002619443014187
655.447268,1.0003520719627903
655.56627,1.000005756216567
655.685272,1.0000235292768092
655.804274,0.9996689048241094
655.923276,0.9997019344303709
656.042278,0.9992140190449771
656.16128,0.9988731353893021
656.280282,1.0007684651181366
656.399284,0.9992923704879386
656.518286,1.0007729285554445
656.637288,0.9991051206435676
656.75629,1.0007112027848535
656.875292,0.9996363461381004
656.994294,0.9999444885408181
657.113296,0.9999646116261832
657.232298,1.000366677209659
657.3513,0.9995031834542312
657.470302,0.9991196077728484
657.589304,1.0007272943503702
657.708306,1.0000038492074081
657.827308,1.0001936687513717
657.94631,0.9996349266554967
658.065312,1.0000350786152403
658.184314,0.9996562690890105
658.303316,1.000200660129551
658.422318,0.999771966003705
658.54132,1.0003573738428218
658.660322,1.0000950575176795
658.779324,1.000100495049289
658.898326,1.000542667190592
659.017328,0.9997573794371303
659.13633,0.9999811891769258
659.255332,0.9998611296433808
659.374334,1.0006139383830692
659.493336,0.9995975210164051
659.612338,1.0001366293329372
659.73134,0.9995219842859332
659.850342,0.9999365670119571
659.969344,0.9998914558913381
660.088346,0.9997713061544251
660.207348,0.9991897184555303
660.32635,1.0007049783805302
660.445352,0.999053628092624
660.564354,0.9994339002949362
660.683356,0.9994020588381098
660.802358,0.9999627056954499
660.92136,0.9998195562819264
661.040362,0.9994308820091149
661.159364,1.0001767156123647
661.278366,1.0000378427160175
661.397368,0.9999369019907631
661.51637,0.9992165770361401
661.635372,1.0002977543200202
661.754374,0.9995793584944552
661.873376,1.0000465610839335
661.992378,1.000143230256474
