nu,[0]Methylbutylether-PNNL(x-sec)-X=0.01-T=278.12K-P=1.0atm-L=15cm
629.972599,1.0004567142622145
630.090602,0.999881527018478
630.208604,0.9999821351595781
630.326607,1.0003801822509601
630.444609,1.0002978143378871
630.562611,0.9999792982142849
630.680614,1.0008196056933347
630.798616,0.9997267873293811
630.916618,1.000156872303173
631.034621,0.9999539890585358
631.152623,0.9999018948126287
631.270625,1.0002358978195156
631.388628,1.0005590862304783
631.50663,1.0005551340298935
631.624632,1.0010680699809251
631.742635,0.9998326340072506
631.860637,0.9997852730571307
631.97864,1.0004740223130855
632.096642,1.0002077315732156
632.214644,1.0001501412700724
632.332647,0.9999566039416362
632.450649,1.0004901901039214
632.568651,1.000407883161724
632.686654,1.0000730446676318
632.804656,1.0002153131765552
632.922658,1.0003855643108184
633.040661,1.0001655737058133
633.158663,1.000268025912528
633.276666,1.00052005518183
633.394668,1.0002073314902031
633.51267,1.000534622859886
633.630673,0.9998697984769541
633.748675,1.0002139828910734
633.866677,1.000039741789684
633.98468,1.0005007953561442
634.102682,0.9997836234127911
634.220684,1.0006999048191512
634.338687,1.0005866119895557
634.456689,1.0000839625246556
634.574691,0.9998192263415272
634.692694,1.0006005502581405
634.810696,0.9999560499658311
634.928699,1.0003466800796537
635.046701,1.0002269857573693
635.164703,1.0001666038768846
635.282706,1.0002806093634438
635.400708,1.000152041557146
635.51871,1.0006213629660372
635.636713,0.9995923631065041
635.754715,1.0003385673009755
635.872717,1.000333145480634
635.99072,0.9996561591268269
636.108722,0.9998754377585203
636.226725,1.000376360805963
636.344727,1.0003998399146774
636.462729,1.0009175006464421
636.580732,1.000385404249141
636.698734,0.9999493942805127
636.816736,0.9999395158292412
636.934739,1.0001759954853886
637.052741,1.0003671473821079
637.170743,1.0002841103517033
637.288746,0.999904452564947
637.406748,0.999920620150747
637.52475,1.0000898440357338
637.642753,0.9999220980345157
637.760755,1.0000601428085063
637.878758,1.0000057068162838
637.99676,1.0001360592552209
638.114762,1.000015745123953
638.232765,1.0001921184523865
638.350767,1.000411174509074
638.468769,1.0002122225160126
638.586772,1.000120657278504
638.704774,0.9998823469216663
638.822776,1.0000616899027437
638.940779,1.000292392738426
639.058781,1.0006198720413173
639.176784,1.0001043554446507
