nu,[0]Propene-HITRAN(x-sec)-X=0.01-T=150.0K-P=0.5189atm-L=15cm
815.380889,0.9928239715364754
815.411021,0.9938113291996459
815.441154,0.9916335948080774
815.471286,0.9925026464261639
815.501418,0.9941937219665217
815.531551,0.9899656830897531
815.561683,0.991478713737095
815.591815,0.9964047783414304
815.621948,0.9957207820571461
815.65208,0.9992949086937831
815.682212,1.0
815.712345,0.9944890413547041
815.742477,0.9942277239732439
815.772609,0.9971484733474738
815.802742,0.9932173070065481
815.832874,0.993781018416347
815.863006,0.9973885158729676
815.893139,0.9956031943764744
815.923271,0.9950308870938199
815.953403,0.996920650951014
815.983536,0.997503621149146
816.013668,0.9963508743010395
816.0438,0.9940914246958161
816.073933,0.9953947368938321
816.104065,0.997381234963377
816.134197,0.9956524779543545
816.16433,0.9967235792195035
816.194462,0.9974427752840737
816.224594,0.9936864149665895
816.254727,0.9954857201306547
816.284859,0.9987721544199882
816.314991,0.9942391576578131
816.345124,0.9912182864876131
816.375256,0.9932361783146582
816.405388,0.9953681602091573
816.435521,0.9985366717104786
816.465653,0.9988508607667459
816.495785,0.9955236488591295
816.525918,0.9961949575900123
816.55605,0.9982625111843898
816.586182,0.9973114207204566
816.616315,0.9985244896373945
816.646447,0.9993032828202055
816.676579,0.9938264352466554
816.706712,0.9926273125874261
816.736844,1.0
816.766976,1.0
816.797109,0.993682638965387
816.827241,0.9932815702452048
816.857373,0.9988318827806827
816.887506,0.9972122928919717
816.917638,0.9955198658764515
816.94777,0.9964381584606187
816.977903,0.9932512756193077
817.008035,0.9914636433751811
817.038167,0.9932210812394858
817.0683,0.9925403622433241
817.098432,0.992154934421557
817.128564,0.9953075441339788
817.158697,0.9981572000447202
817.188829,0.9974101594385939
817.218961,0.9956524779543545
817.249094,0.9969696009566885
817.279226,0.997413550638901
817.309358,0.9947315273408269
817.339491,0.9936599832594946
817.369623,0.9920831050045612
