nu,[0]Methylbromide-PNNL(x-sec)-X=0.01-T=278.18K-P=1.0atm-L=15cm
619.49739,0.8082288745419685
619.616392,0.8494127929971976
619.735395,0.8642268385662759
619.854397,0.8393143252051432
619.973399,0.8021336813748318
620.092402,0.8154542166043538
620.211404,0.8557303193214173
620.330407,0.8572634483341107
620.449409,0.8215356058178043
620.568411,0.798372498775187
620.687414,0.827232075490442
620.806416,0.8578809002729354
620.925419,0.844204934898426
621.044421,0.806533374803252
621.163423,0.8044149789391417
621.282426,0.8410366843867905
621.401428,0.855302561110221
621.52043,0.8283081765026866
621.639433,0.8000188412732353
621.758435,0.8162864042488382
621.877438,0.8526381757221116
621.99644,0.8468429674861743
622.115442,0.8105923518531761
622.234445,0.8061382702581174
622.353447,0.8354205735815153
622.472449,0.8551828271332396
622.591452,0.8286478524838705
622.710454,0.8082612043435418
622.829457,0.8204600987850957
622.948459,0.8508665314653734
623.067461,0.8450664632367805
623.186464,0.8157152037093769
623.305466,0.8183296732815487
623.424468,0.8385508965819131
623.543471,0.8513601771970469
623.662473,0.8301739681282656
623.781476,0.8231885530409513
623.900478,0.8298834580816445
624.01948,0.8512750454359863
624.138483,0.8432599546590557
624.257485,0.8289296406549895
624.376488,0.8305642416003676
624.49549,0.8470038829364803
624.614492,0.8530646014075102
624.733495,0.8355375406493205
624.852497,0.8369591625046274
624.971499,0.8433189849219169
625.090502,0.8581554660892103
625.209504,0.8434370578447178
625.328507,0.8438420048119804
625.447509,0.8450073106547183
625.566511,0.859409288137075
625.685514,0.851215458268381
625.804516,0.8517518929662773
625.923518,0.8505092425580807
626.042521,0.8575120907855406
626.161523,0.8592116467304365
626.280526,0.8591944626693431
626.399528,0.8593835062451611
626.51853,0.8580782355726877
626.637533,0.8673263154015345
626.756535,0.8658011636136935
626.875538,0.8680204540723032
626.99454,0.8599164892266843
627.113542,0.8720312661843156
627.232545,0.8722405788047095
627.351547,0.8769897274170931
627.470549,0.86495309409529
627.589552,0.8755438875128009
627.708554,0.8802846129440773
627.827557,0.88588334662221
627.946559,0.8713077805214668
628.065561,0.8791058215293666
628.184564,0.8879587409176293
628.303566,0.8936152192341785
628.422568,0.8778144853363576
628.541571,0.8837421008757367
628.660573,0.897259644551188
628.779576,0.9009910093026505
628.898578,0.8844405329797853
629.01758,0.8901814149548273
629.136583,0.9054275643993274
629.255585,0.9074280497575443
629.374587,0.890849301442169
629.49359,0.8966945489989103
629.612592,0.9144522745431668
629.731595,0.9130597106799547
629.850597,0.8964883329683931
629.969599,0.9051333482536109
630.088602,0.923191121839058
630.207604,0.9171071180233724
630.326607,0.9012703598126263
630.445609,0.9144550179041054
630.564611,0.9310270009789555
630.683614,0.9206291352406635
630.802616,0.9070179849606795
630.921618,0.9263742206508729
631.040621,0.9363021919157837
631.159623,0.9218599177449897
631.278626,0.915148437580533
631.397628,0.9386533849767775
631.51663,0.9398293149933525
631.635633,0.9236519091657324
631.754635,0.9274188329259975
631.873637,0.9479514415809764
631.99264,0.9414594513013661
632.111642,0.9257426488228624
632.230645,0.9427359935199189
632.349647,0.9525173089694389
632.468649,0.9410556518179399
632.587652,0.934315596571267
632.706654,0.9547249408877155
632.825657,0.9538870602730317
632.944659,0.9404084281999437
633.063661,0.9493801319858455
633.182664,0.9607471653470311
633.301666,0.953319666288619
633.420668,0.9458909418808047
633.539671,0.9616372292581326
633.658673,0.9625213800768954
633.777676,0.9521973169153006
633.896678,0.9583942990904761
634.01568,0.9677020874233153
634.134683,0.9614776107267803
634.253685,0.9575819252200503
634.372687,0.969065571630034
634.49169,0.9691421308342416
634.610692,0.9614660730646777
634.729695,0.968474621889335
634.848697,0.9734819458017964
634.967699,0.9676411241121722
635.086702,0.9683167733909691
635.205704,0.9761812527755135
635.324706,0.973577351707298
635.443709,0.9708910702912672
635.562711,0.9773387132199212
635.681714,0.9781140501999863
635.800716,0.9744812508340085
635.919718,0.977965388162957
