nu,[0]HCFE-235ca2-HITRAN(x-sec)-X=0.01-T=298.0K-P=0.0atm-L=15cm
696.98663,0.9999945439148845
697.105632,0.9999944601153452
697.224634,0.9999944455154262
697.343636,0.9999944140156016
697.462638,0.999994337316033
697.58164,0.999994337316033
697.700642,0.9999943130161709
697.819644,0.9999943773158073
697.938646,0.9999944346154868
698.057648,0.9999943970156968
698.17665,0.999994355715929
698.295652,0.9999942780163706
698.414654,0.999994128717236
698.533656,0.9999940131179215
698.652658,0.9999939136185221
698.77166,0.9999938328190171
698.890662,0.9999939022185915
699.009664,0.9999938756187541
699.128666,0.9999939020185927
699.247668,0.9999939971180174
699.36667,0.9999939488183085
699.485672,0.9999939007186007
699.604674,0.9999938069191772
699.723676,0.9999936852199383
699.842678,0.9999937055198104
699.96168,0.9999936391202304
700.080682,0.9999936082204275
700.199684,0.9999936524201459
700.318686,0.9999937246196903
700.437688,0.9999937055198104
700.55669,0.9999936632200774
700.675692,0.9999935736206492
700.794694,0.9999934776212708
700.913696,0.9999933251222771
701.032698,0.9999931884231988
701.1517,0.9999931316235874
701.270702,0.9999930693240172
701.389704,0.9999930250243253
701.508706,0.9999929859245987
701.627708,0.9999928791253535
701.74671,0.9999929034251808
701.865712,0.9999928101258473
701.984714,0.9999927090265793
702.103716,0.9999926748268292
702.222718,0.9999926361271134
702.34172,0.999992603127357
702.460722,0.9999925551277132
702.579724,0.9999925071280718
702.698726,0.9999924834282495
702.817728,0.9999924049288427
702.93673,0.9999923388293469
703.055732,0.9999922908297159
703.174734,0.999992267229898
703.293736,0.9999921949304598
703.412738,0.9999921437308606
703.53174,0.999992023431813
703.650742,0.9999919799321609
703.769744,0.9999919030327806
703.888746,0.9999917855337389
704.007748,0.999991810033538
704.12675,0.9999919060327563
704.245752,0.9999919776321794
704.364754,0.9999920511315924
704.483756,0.9999919847321225
704.602758,0.9999920468316266
704.72176,0.9999920114319087
704.840762,0.9999919556323561
704.959764,0.9999918486332225
705.078766,0.9999917235342501
705.197768,0.9999916701346935
705.31677,0.9999916221350945
705.435772,0.9999915255359084
705.554774,0.9999915018361096
705.673776,0.9999913493374172
705.792778,0.9999913632372971
705.91178,0.9999913433374691
706.030782,0.9999912855379711
706.149784,0.9999912132386038
706.268786,0.9999911642390356
706.387788,0.9999909716407559
706.50679,0.9999909005414003
706.625792,0.9999903484465765
706.744794,0.999990237547653
706.863796,0.9999909631408327
706.982798,0.999991074439833
707.1018,0.9999913421374795
707.220802,0.9999915425357645
707.339804,0.9999917568339751
707.458806,0.9999923949289187
707.577808,0.999992079931364
707.69681,0.9999916259350626
707.815812,0.9999916500348611
707.934814,0.9999915506356961
708.053816,0.9999916085352085
708.172818,0.9999915481357172
708.29182,0.9999916110351875
708.410822,0.9999914923361903
708.529824,0.9999914929361853
708.648826,0.9999913959370151
708.767828,0.9999912999378457
708.88683,0.9999912751380619
709.005832,0.999991252338261
709.124834,0.9999912022387005
709.243836,0.9999912724380854
709.362838,0.9999912299384572
709.48184,0.9999912712380958
709.600842,0.999991319237678
709.719844,0.9999913915370531
709.838846,0.9999913781371684
709.957848,0.9999913966370091
710.07685,0.9999913723372185
710.195852,0.9999914709363726
710.314854,0.9999915745354945
710.433856,0.9999916154351507
710.552858,0.9999916207351063
710.67186,0.9999917025344242
710.790862,0.9999917640339158
710.909864,0.9999917725338457
711.028866,0.9999917369341393
711.147868,0.9999917369341393
711.26687,0.9999917258342311
711.385872,0.9999917126343404
711.504874,0.9999916685347069
711.623876,0.9999916732346678
711.742878,0.9999917542339966
711.86188,0.9999918421332755
711.980882,0.9999918901328851
712.099884,0.9999919449324423
712.218886,0.9999921018311907
712.337888,0.999992228530198
712.45689,0.9999922814297884
712.575892,0.999992401728867
712.694894,0.9999924417285638
712.813896,0.999992523927946
712.932898,0.9999926386270951
713.0519,0.9999926903267158
713.170902,0.999992857325509
713.289904,0.999992902825185
713.408906,0.9999928548255269
713.527908,0.9999929259250214
713.64691,0.999993069924013
713.765912,0.9999930529241311
713.884914,0.9999930468241734
714.003916,0.9999931160236947
714.122918,0.9999932326228989
714.24192,0.9999933609220387
714.360922,0.9999933652220102
714.479924,0.9999934215216383
714.598926,0.9999935655207014
714.717928,0.9999935907205395
714.83693,0.9999936421202114
714.955932,0.9999937218197078
715.074934,0.9999937298196576
715.193936,0.9999937541195056
715.312938,0.9999937298196576
715.43194,0.9999937956192473
715.550942,0.9999939020185927
715.669944,0.9999939242184577
715.788946,0.9999939845180931
715.907948,0.9999941527170955
716.02695,0.9999942832163409
716.145952,0.9999944548153746
716.264954,0.9999945022151129
716.383956,0.9999946646142333
716.502958,0.9999948157134385
716.62196,0.9999949436127835
716.740962,0.9999950563122201
