nu,[0]HFC-161-HITRAN(x-sec)-X=0.01-T=296.0K-P=0.9211atm-L=15cm
452.948662,0.9864249829993798
453.069189,0.9886410061092544
453.189716,0.9909263165896914
453.310242,0.9901357738044819
453.430769,0.9917310771816272
453.551296,0.9918364046148116
453.671822,0.9890276403247065
453.792349,0.9914355853510965
453.912876,0.9942788285916335
454.033402,0.9943605616705273
454.153929,0.9915816345690796
454.274456,0.9914899175098614
454.394982,0.9937170209795007
454.515509,0.9937817140633034
454.636036,0.9918364046148116
454.756562,0.9931521540882475
454.877089,0.9951647277487163
454.997615,0.9918907587390738
455.118142,0.9906717803155439
455.238669,0.9909398923732227
455.359195,0.9934209374258893
455.479722,0.9937817140633034
455.600249,0.99264190431617
455.720775,0.9945751678349081
455.841302,0.9927099026155308
455.961829,0.9920504660073209
456.082355,0.995945641195376
456.202882,0.9952465336515138
456.323409,0.9915816345690796
456.443935,0.9936727021886813
456.564462,0.9960138658084642
456.684989,0.9941323821062304
456.805515,0.992655503603414
456.926042,0.9934719012271896
457.046569,0.9904987250723384
457.167095,0.985719941219008
457.287622,0.9861419196507925
457.408149,0.9870367561189093
457.528675,0.9823957968982794
457.649202,0.9808928996945986
457.769729,0.9792816365886753
457.890255,0.9772839837844194
458.010782,0.9823790963116875
458.131308,0.987754592742604
458.251835,0.9908855903550094
458.372362,0.9917956409762805
458.492888,0.99151708470579
458.613415,0.993431070371129
458.733942,0.9924141191384784
458.854468,0.9915001299086055
458.974995,0.9959013226004388
459.095522,0.9988301847679253
459.216048,0.9958398773844388
459.336575,0.995151094085337
459.457102,0.9973857231890328
459.577628,0.9958160770957839
459.698155,0.9948988552556088
459.818682,0.9954613310292793
459.939208,0.9943605616705273
460.059735,0.995420418409334
460.180262,0.9960138658084642
460.300788,0.9949397464388678
460.421315,0.9943333165643972
460.541842,0.9957170978970682
460.662368,0.9952090135644532
460.782895,0.9954340557624819
460.903422,0.9962970728064807
461.023948,0.9944048117000776
461.144475,0.9929377556833205
461.265001,0.9956591488483043
461.385528,0.9968900459568188
461.506055,0.9952090135644532
461.626581,0.9970881476897059
